DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
APZR	APZR		APZR	an		Und dann fing 's auf einmal	an	zu rumoren im Lande , und an den Ecken klebten ganz andere Zettel , die mein Alter immer las und wobei er mit dem Kopf nickte .	genug ‹ , brummte mein Gottfried .Und dann fing 's auf einmal an zu rumoren im Lande , und an den Ecken klebten ganz andere Zettel , die mein Alter immer las und wobei er mit dem Kopf nickte .Sie läßt den regenfeuchten Mantel fallen ,	69	6	86993-Raabe__Wilhelm.tsv
APZR	PTKVZ		APZR	an		In der Tat fing Don Sylvio	an	zu merken , daß es bald Mittagessens-Zeit sein werde , und es war ihm überaus angenehm , einen Wegweiser bekommen zu haben , der ihn aus diesem Walde , worin er sich noch nie so weit vertieft hatte , wieder nach Hause führen konnte .	, die in Princessinnen verwandelt sind ?In der Tat fing Don Sylvio an zu merken , daß es bald Mittagessens-Zeit sein werde , und es war ihm überaus angenehm , einen Wegweiser bekommen zu haben , der ihn aus diesem Walde , worin er sich noch nie so weit vertieft hatte , wieder nach Hause führen konnte .Die Fee schmeichelte mir zwar , fuhr	1206	6	110270-Wieland__Christoph_Martin.tsv
APZR	APPR		APZR	aus		Vor Jahren als Sekundaner war ich einmal mit einem mir verwandten Studenten dort gewesen , den ich von der Schule	aus	besucht hatte .	meinen Füßen das Anrauschen des Wassers .Vor Jahren als Sekundaner war ich einmal mit einem mir verwandten Studenten dort gewesen , den ich von der Schule aus besucht hatte .Noch eine kurze Strecke , und ich	278	20	99873-Storm__Theodor.tsv
APZR	APZR		APZR	aus		Daß in Bausch und Bogen der Schloßsäckel kaum ein schlechteres Geschäft gemacht haben würde , hätte ich von Haus	aus	gesagt : » Hinz , hier schenke ich dir eine Hufe , « oder » Kunz , da hast du eine von meinen Wiesen , « daß die Freude des Empfängers und Gebers gegen die Unruhe des Schuldners und die Wachsamkeit des Gläubigers vertauscht wurden , das ward nicht in Rechnung gezogen und durfte es nicht werden .	Grundbuch in Bewegung gesetzt worden wären .Daß in Bausch und Bogen der Schloßsäckel kaum ein schlechteres Geschäft gemacht haben würde , hätte ich von Haus aus gesagt : » Hinz , hier schenke ich dir eine Hufe , « oder » Kunz , da hast du eine von meinen Wiesen , « daß die Freude des Empfängers und Gebers gegen die Unruhe des Schuldners und die Wachsamkeit des Gläubigers vertauscht wurden , das ward nicht in Rechnung gezogen und durfte es nicht werden .Jedweder sah sich zu einer Hoffnung berechtigt	4561	19	26910-Fran_ois__Louise_von.tsv
APZR	APZR		APZR	aus		Die Herzogin hatte es daher seiner Zeit kaum bemerkt , daß Angelika die Härte bedauerte , mit welcher sie Herbert von sich	aus	und aus ihrer Gesellschaft entfernt , und daß sie ihn wiederzusehen , ihm die Kränkung zu vergüten wünschte , die sie ihm zugefügt , so war sie auch schnell bereit , den Fehler ungeschehen zu machen , den sie mit ihrem ersten Rathschlusse begangen zu haben fühlte .	was hier zu thun ihm zieme .Die Herzogin hatte es daher seiner Zeit kaum bemerkt , daß Angelika die Härte bedauerte , mit welcher sie Herbert von sich aus und aus ihrer Gesellschaft entfernt , und daß sie ihn wiederzusehen , ihm die Kränkung zu vergüten wünschte , die sie ihm zugefügt , so war sie auch schnell bereit , den Fehler ungeschehen zu machen , den sie mit ihrem ersten Rathschlusse begangen zu haben fühlte .Nur darüber war er mit sich nicht	768	22	73679-Lewald__Fanny.tsv
APZR	ADV		APZR	her		) Geistreiche Freundschaft , geistreiche Liebe , geistreicher Wein und ein Lied an die Freude von Schiller , an deiner Hand , in Jodunos Arm , in meinem Glase , von Molly gesungen , schöne Natur um mich	her	, und der Eichbaum über uns .	ich bin der Freund der Gräfin .) Geistreiche Freundschaft , geistreiche Liebe , geistreicher Wein und ein Lied an die Freude von Schiller , an deiner Hand , in Jodunos Arm , in meinem Glase , von Molly gesungen , schöne Natur um mich her , und der Eichbaum über uns .Ich habe mir eins seiner Lieder gemerkt	936	38	14636-Brentano__Clemens.tsv
APZR	ADV		APZR	her		Denn der Nordwester staute nicht nur den Strom zurück , sondern trieb auch das Flutwasser mit solcher Gewalt von draußen	her	in den Strom hinein , daß es am Kai hin oft nur noch zollbreit unter der obersten Balkenlage stand .	wie Kiesel aus der Westermole wusch .Denn der Nordwester staute nicht nur den Strom zurück , sondern trieb auch das Flutwasser mit solcher Gewalt von draußen her in den Strom hinein , daß es am Kai hin oft nur noch zollbreit unter der obersten Balkenlage stand .Oh , noch jetzt überrieselt's mich ,	1747	20	26852-Fontane__Theodor.tsv
APZR	ADV		APZR	her		« Ueber uns schwammen Körper , die aus allen Gegenden	her	kamen , und häuften sich mitten in diesen bräunlichen Kräutern , Baumstämme aus den Anden oder den Felsengebirgen , welche durch den Amazonenstrom oder den Mississippi herbeigeschwemmt waren , zahlloses Strandgut , Stücke von Kielen und Brettern , dermaßen von Muschelwerk beschwert , daß es nicht wieder auf die Meeresoberfläche aufsteigen konnte .	sagte er mit Kopfschütteln .« Ueber uns schwammen Körper , die aus allen Gegenden her kamen , und häuften sich mitten in diesen bräunlichen Kräutern , Baumstämme aus den Anden oder den Felsengebirgen , welche durch den Amazonenstrom oder den Mississippi herbeigeschwemmt waren , zahlloses Strandgut , Stücke von Kielen und Brettern , dermaßen von Muschelwerk beschwert , daß es nicht wieder auf die Meeresoberfläche aufsteigen konnte .» Die bewohnte Welt !	2413	10	107494-Verne__Jules.tsv
APZR	ADV		APZR	her		Dann legte der Bauer die Bücher wieder in den Schrank zurück und zog ein Paket	her	vor .	, ob ich bleib' oder geh' .Dann legte der Bauer die Bücher wieder in den Schrank zurück und zog ein Paket her vor .Er geht des Abends stets punkt Acht	1918	15	79348-May__Karl.tsv
APZR	APZR		PTKVZ	her		Wie nun die böse Geister sich der Menschen Unglücks und Threnen eben so sehr erfreuen / als wie die Fische deß Wassers / und den Erschrockenen gern ihren Schrecken vergrössern : also erzeigten sie sich auch / bey solchem kläglichem Zustande der Sterblichen / nicht müssig / dessen sie auch / von Anfange	her	/ die rechte Haupt-Stiffter / nemlich deß Todes Diener und Einführer seynd .	Quartier ge schlagen und verjagt haben .Wie nun die böse Geister sich der Menschen Unglücks und Threnen eben so sehr erfreuen / als wie die Fische deß Wassers / und den Erschrockenen gern ihren Schrecken vergrössern : also erzeigten sie sich auch / bey solchem kläglichem Zustande der Sterblichen / nicht müssig / dessen sie auch / von Anfange her / die rechte Haupt-Stiffter / nemlich deß Todes Diener und Einführer seynd .9 Und ein andrer Vorgeher / in	2545	53	26907-Francisci__Erasmus.tsv
