DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
ART	ART		ART	d		« – Nun bemerkte sie	das	heftige Heben meiner Brust , und die Zähren , die über meine Wangen rollten .	Unschuld von den Kindern meines Herzens !« – Nun bemerkte sie das heftige Heben meiner Brust , und die Zähren , die über meine Wangen rollten .Ich drücke noch die Hand einer zärtlichen	10701	5	72270-La_Roche__Sophie_von.tsv
ART	ART		ART	d		Es wurde sogar	das	Gerücht verbreitet , die Soldaten rissen die Häuser nieder , nicht um dem Feuer Einhalt zu tun , sondern um nichts von der Stadt übrig zu lassen .	römischen Vergangenheit und des römischen Ruhmes .Es wurde sogar das Gerücht verbreitet , die Soldaten rissen die Häuser nieder , nicht um dem Feuer Einhalt zu tun , sondern um nichts von der Stadt übrig zu lassen .« Inzwischen fuhren die Soldaten , unterstützt	4656	3	98460-Sienkiewicz__Henryk.tsv
ART	ART		ART	d		Er trug	das	Glöckchen in der Hand .	» Ja .Er trug das Glöckchen in der Hand .« » Ja , « antwortete ich	1606	2	79398-May__Karl.tsv
ART	ART		ART	d		Alt ist die Historie , bekannt ist die Geschicht ' , ausgeschrien ist die Begebenheit , welche sich mit	dem	guten Alt-Vater Noe zugetragen .	O wehe , o wehe solchen !Alt ist die Historie , bekannt ist die Geschicht ' , ausgeschrien ist die Begebenheit , welche sich mit dem guten Alt-Vater Noe zugetragen .Volsäus zu Londen , Albericus zu Prag	3249	19	4-Abraham_a_Sancta_Clara.tsv
ART	ART		ART	d		Es wurde sogar das Gerücht verbreitet , die Soldaten rissen die Häuser nieder , nicht um	dem	Feuer Einhalt zu tun , sondern um nichts von der Stadt übrig zu lassen .	römischen Vergangenheit und des römischen Ruhmes .Es wurde sogar das Gerücht verbreitet , die Soldaten rissen die Häuser nieder , nicht um dem Feuer Einhalt zu tun , sondern um nichts von der Stadt übrig zu lassen .« Inzwischen fuhren die Soldaten , unterstützt	4656	16	98460-Sienkiewicz__Henryk.tsv
ART	ART		ART	d		Der Kutscher , ein Paar der andern Leute eilten nach	der	Rampe .	erlangt eine Gewalt über die Anderen .Der Kutscher , ein Paar der andern Leute eilten nach der Rampe .Wie aber war sie zu der Selbstbeherrschung	2382	10	73679-Lewald__Fanny.tsv
ART	ART		ART	d		Inzwischen warteten die Schauspieler ; doch Bordenave sagte ihnen , daß heute	der	dritte Akt nicht mehr probiert werde .	er ihn wieder zu Boden setzte .Inzwischen warteten die Schauspieler ; doch Bordenave sagte ihnen , daß heute der dritte Akt nicht mehr probiert werde .Nicht wahr , mein Freund : Man	7957	12	112135-Zola___mile.tsv
ART	PDS		ART	d		Ich möchte gestorben sein – ein Engel – ein Geist von	der	, die Du so geliebt hast .	« seufzte Elmerice .Ich möchte gestorben sein – ein Engel – ein Geist von der , die Du so geliebt hast .« – » Könnte ich Dir doch	3234	11	83757-Paalzow__Henriette_von.tsv
ART	ART		ART	d		rief	der	Doctor .	.. .rief der Doctor .– Es gäbe noch eins !	1906	1	107490-Verne__Jules.tsv
ART	ART		ART	d		entgegnete	der	Letztere abwehrend .	Gewiß ... wenn wir sofort aufbrechen !entgegnete der Letztere abwehrend .« wiederholte Jacques Helloch , der den	3325	1	107530-Verne__Jules.tsv
ART	ART		ART	d		Quid est – Es verdroß mich , daß ich in einem fremden Lande , wo ich mein Geld und , im Fall	der	Noth , mein ἀνέχου καὶ ἀπέχου auszugeben Willens war , und wo es keinen was anging , ob ich als Edelmann oder als Bürger äß' und tränke , durchaus Adel oder Unadel documentiren sollte – und wie ?	Auch bei Erholungen will man Zweck .Quid est – Es verdroß mich , daß ich in einem fremden Lande , wo ich mein Geld und , im Fall der Noth , mein ἀνέχου καὶ ἀπέχου auszugeben Willens war , und wo es keinen was anging , ob ich als Edelmann oder als Bürger äß' und tränke , durchaus Adel oder Unadel documentiren sollte – und wie ?Sonst aber glaub' ich , je weiter	5513	22	62295-Hippel__Theodor_Gottlieb_von.tsv
ART	ART		ART	d		Es wurde sogar das Gerücht verbreitet , die Soldaten rissen die Häuser nieder , nicht um dem Feuer Einhalt zu tun , sondern um nichts von	der	Stadt übrig zu lassen .	römischen Vergangenheit und des römischen Ruhmes .Es wurde sogar das Gerücht verbreitet , die Soldaten rissen die Häuser nieder , nicht um dem Feuer Einhalt zu tun , sondern um nichts von der Stadt übrig zu lassen .« Inzwischen fuhren die Soldaten , unterstützt	4656	26	98460-Sienkiewicz__Henryk.tsv
ART	ART		ART	d		Er trug das Glöckchen in	der	Hand .	» Ja .Er trug das Glöckchen in der Hand .« » Ja , « antwortete ich	1606	5	79398-May__Karl.tsv
ART	ART		ART	d		Inzwischen warteten	die	Schauspieler ; doch Bordenave sagte ihnen , daß heute der dritte Akt nicht mehr probiert werde .	er ihn wieder zu Boden setzte .Inzwischen warteten die Schauspieler ; doch Bordenave sagte ihnen , daß heute der dritte Akt nicht mehr probiert werde .Nicht wahr , mein Freund : Man	7957	2	112135-Zola___mile.tsv
ART	ART		ART	d		« – Nun bemerkte sie das heftige Heben meiner Brust , und	die	Zähren , die über meine Wangen rollten .	Unschuld von den Kindern meines Herzens !« – Nun bemerkte sie das heftige Heben meiner Brust , und die Zähren , die über meine Wangen rollten .Ich drücke noch die Hand einer zärtlichen	10701	12	72270-La_Roche__Sophie_von.tsv
ART	ART		ART	d		Alt ist	die	Historie , bekannt ist die Geschicht ' , ausgeschrien ist die Begebenheit , welche sich mit dem guten Alt-Vater Noe zugetragen .	O wehe , o wehe solchen !Alt ist die Historie , bekannt ist die Geschicht ' , ausgeschrien ist die Begebenheit , welche sich mit dem guten Alt-Vater Noe zugetragen .Volsäus zu Londen , Albericus zu Prag	3249	2	4-Abraham_a_Sancta_Clara.tsv
ART	ART		ART	d		Alt ist die Historie , bekannt ist	die	Geschicht ' , ausgeschrien ist die Begebenheit , welche sich mit dem guten Alt-Vater Noe zugetragen .	O wehe , o wehe solchen !Alt ist die Historie , bekannt ist die Geschicht ' , ausgeschrien ist die Begebenheit , welche sich mit dem guten Alt-Vater Noe zugetragen .Volsäus zu Londen , Albericus zu Prag	3249	7	4-Abraham_a_Sancta_Clara.tsv
