DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
CARD	CARD		CARD	1			1	Mein Vater konnte sich nie zur Herausgabe dieses Lebens entschließen ; das Manuskript nebst einigen andern Abhandlungen befindet sich in den Händen der Familie und soll seiner Zeit dem Publikum nicht vorenthalten werden .	– krink – kronk – krank .1 Mein Vater konnte sich nie zur Herausgabe dieses Lebens entschließen ; das Manuskript nebst einigen andern Abhandlungen befindet sich in den Händen der Familie und soll seiner Zeit dem Publikum nicht vorenthalten werden .Lieber wollte ich der Calliope selbst ein	4789	0	99260-Sterne__Laurence.tsv
CARD	CARD		CARD	151		«	151	Fürst der Schatten .	» Weil du ein Christ bist .« 151 Fürst der Schatten .Vielleicht bewährt sich auch hier ein gutes	2728	1	79317-May__Karl.tsv
CARD	CARD		CARD	16			16	Denn etliche da sie höreten / richteten eine verbitterung an / Aber nicht alle / die von Egypten ausgiengen durch Mosen .	/ bis ans ende feste behalten .16 Denn etliche da sie höreten / richteten eine verbitterung an / Aber nicht alle / die von Egypten ausgiengen durch Mosen .2 Darumb so die Bösen / meine	14083	0	78101-Luther__Martin.tsv
CARD	CARD		CARD	2			2	Dringen vnd wuchern sind zweierley .	stellet sie vmb die Hütten her .2 Dringen vnd wuchern sind zweierley .Gen. 41. ; Gen. 42. ; Gen.	37932	0	78101-Luther__Martin.tsv
CARD	CARD		CARD	236			236	Auch / die Lebern vnnd Hertzen / sampt anderen stuckē Menschliches Leibs gefressen .	den Frantzosen / so Anno 1572 .236 Auch / die Lebern vnnd Hertzen / sampt anderen stuckē Menschliches Leibs gefressen .261 Sein die Presumtionen schwach 262 da	2352	0	14106-Bodin__Jean.tsv
CARD	CARD		CARD	6			6	Das Gesetz der warheit war in seinem Munde / vnd war kein böses in seinen Lippen funden / Er wandelte fur mir friedsam vnd auffrichtig /vnd bekeret viele von sunden .	zu bezalen / mit solchem lohn .6 Das Gesetz der warheit war in seinem Munde / vnd war kein böses in seinen Lippen funden / Er wandelte fur mir friedsam vnd auffrichtig /vnd bekeret viele von sunden .Wie es denn der Welt lauff ist	34954	0	78101-Luther__Martin.tsv
CARD	CARD		CARD	726		Hesiodi theogonia ,	726	.	bei diesem Namen mit eingewirkt haben .Hesiodi theogonia , 726 .Der Umstand , daß sie sich im	8	3	70358-Kuhn__Adalbert.tsv
CARD	CARD		CARD	drei		LOUIS : Hier hat der Impf-Doktor seiner Zeit seine Lanzette eingesenkt : Eins , Zwei ,	Drei	, – o hier !	nu hatse doch nichts gemerkt !LOUIS : Hier hat der Impf-Doktor seiner Zeit seine Lanzette eingesenkt : Eins , Zwei , Drei , – o hier !ELLA : Der liegt ganz hinten –	516	16	83788-Panizza__Oskar.tsv
CARD	CARD		CARD	drei		» Die	drei	Schneider « .	» Unerhörte Liebe « .» Die drei Schneider « .( 53. ) Den Schlag wiederholendes zweckmäßiges	141	2	32581-Goethe__Johann_Wolfgang.tsv
CARD	PRELAT		NE	drei		Uber dieses alles trifft David auf die fünfftehalb Centner ungemüntzet Gold , 14. Centner Silber , 2. Schlag- Fässer voll Perlen , und	drey	Kisten voll gemüntztes Gold und Silber an , von dessen Glantze , indem er an seiner Jugend-Jahre gedenckt , seine Augen gantz verblendet werden .	sich ferner zu fürchten Ursach hätten .Uber dieses alles trifft David auf die fünfftehalb Centner ungemüntzet Gold , 14. Centner Silber , 2. Schlag- Fässer voll Perlen , und drey Kisten voll gemüntztes Gold und Silber an , von dessen Glantze , indem er an seiner Jugend-Jahre gedenckt , seine Augen gantz verblendet werden .Langrogge , der Musicus , mit einer	3213	23	97159-Schnabel__Johann_Gottfried.tsv
