DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
KOKOM	KOKOM		KOKOM	als		Nur Pitt Holbers schien im voraus von der Art und Weise des Ausganges überzeugt zu sein , schob die hageren Finger gemütlich zwischen Leib und Gürtel und streckte die unendlichen Beine so weit wie möglich von sich ,	als	seien sie ihm bei der Beobachtung seines schweigsamen Freundes im Wege .	er die Aufforderung wirklich vernommen habe .Nur Pitt Holbers schien im voraus von der Art und Weise des Ausganges überzeugt zu sein , schob die hageren Finger gemütlich zwischen Leib und Gürtel und streckte die unendlichen Beine so weit wie möglich von sich , als seien sie ihm bei der Beobachtung seines schweigsamen Freundes im Wege .Willst du die Höhle des Königsschatzes sehen	10666	38	79314-May__Karl.tsv
KOKOM	KOKOM		KOKOM	als		Die düstre Schulstube , mit ihren getäfelten Wänden von durch die Zeit gebräuntem Eichenholz , in der wir dennoch so fröhliche Stunden verlebten , das große , aus mehr	als	hundert kleinen runden Scheiben zusammengesetzte Fenster stehen noch sehr lebhaft in meiner Erinnerung .	, uns unaufhörlich zum Lachen reizte .Die düstre Schulstube , mit ihren getäfelten Wänden von durch die Zeit gebräuntem Eichenholz , in der wir dennoch so fröhliche Stunden verlebten , das große , aus mehr als hundert kleinen runden Scheiben zusammengesetzte Fenster stehen noch sehr lebhaft in meiner Erinnerung .Leisen Schrittes näherte ich mich dem Armsessel	574	29	97248-Schopenhauer__Johanna.tsv
KOKOM	KOKOM		APPR	als		Weil aber die Ada / wegen dessen / daß sie die Judith weit mehr	als	sich geliebet sahe / auch derselben die oberstelle lassen muste / endlich in die h \ chste ungedult geriehte : als wolte sie nicht långer zu Gerar verbleiben / sondern name ihr fůr / nach Sichem zu ihrem vatter zu reisen .	sich bei diesem seinem schwager aufhielte .Weil aber die Ada / wegen dessen / daß sie die Judith weit mehr als sich geliebet sahe / auch derselben die oberstelle lassen muste / endlich in die h \ chste ungedult geriehte : als wolte sie nicht långer zu Gerar verbleiben / sondern name ihr fůr / nach Sichem zu ihrem vatter zu reisen .Diesem nun fürzukommen / brachte sie die	24359	14	3459-Anton_Ulrich_Herzog_von_Braunschweig.tsv
KOKOM	KOKOM		KOKOM	als		Warum fällst du so über Helenen her ,	als	ob du sie erdrosseln wolltest ?	ÄAKUS .Warum fällst du so über Helenen her , als ob du sie erdrosseln wolltest ?Oder hast du die Rolle eines Mannes	52	8	78055-Lukian.tsv
KOKOM	KOKOM		KOKOM	als		– Eine Woche später war bereits mehr	als	die Hälfte der Menschheit tot .	die beide vor kurzem durchschritten hatten .– Eine Woche später war bereits mehr als die Hälfte der Menschheit tot .– Es bleibt also nur sein europäischer	70	7	79864-Meyrink__Gustav.tsv
KOKOM	KOKOM		KOKOM	als		Alles dauerte 6 bis 8 Minuten , und nach einigen Stunden verzog sich auch der Nebel , so , daß gegen Mittag alles wieder hell und ruhig war ,	als	wenn nichts vorgegangen wäre .	noch in der Erde verborgen liegen .Alles dauerte 6 bis 8 Minuten , und nach einigen Stunden verzog sich auch der Nebel , so , daß gegen Mittag alles wieder hell und ruhig war , als wenn nichts vorgegangen wäre .Die Zahl derselben kann niemand angehen .	18	29	58913-Hebel__Johann_Peter.tsv
KOKOM	APPR		APPR	als		« erwiederte die Königin , nicht anstehend , diese schnell hervorgebrachte Antwort	als	einen Tribut für sich anzunehmen – » nun , dann will ich schon für Euch Zeit finden und die Wahl besorgen !	Alle , » Du sahst sie ?« erwiederte die Königin , nicht anstehend , diese schnell hervorgebrachte Antwort als einen Tribut für sich anzunehmen – » nun , dann will ich schon für Euch Zeit finden und die Wahl besorgen !» So ist es , meine theure	5210	12	83757-Paalzow__Henriette_von.tsv
KOKOM	KOKOM		KOKOM	als		Ich scheide mit dem leib : Das beständige gelübde dieser Prinzessin / ( sagte Thebah ferner ) hat sie solang unter mannskleidern versteckt gehalten : und kan ich nicht anderst gläuben /	als	daß sie nach Ninive / dahin iederzeit ihr verlangen gestanden / entkommen seyn werde .	/ ) oder mit ihr sterben !Ich scheide mit dem leib : Das beständige gelübde dieser Prinzessin / ( sagte Thebah ferner ) hat sie solang unter mannskleidern versteckt gehalten : und kan ich nicht anderst gläuben / als daß sie nach Ninive / dahin iederzeit ihr verlangen gestanden / entkommen seyn werde .fragte endlich die bestůrzte Königin von Tyro	27950	32	3459-Anton_Ulrich_Herzog_von_Braunschweig.tsv
KOKOM	KOKOM		KOKOM	als		Sie glaubte den Gemahl und seine Eigenheiten zu kennen , und doch erschien er ihr jetzt in einem ganz neuen Lichte ,	als	wenn sie gewissermaßen jetzt zuerst seine Bekanntschaft machte .	dich in die Lehre zu nehmen .Sie glaubte den Gemahl und seine Eigenheiten zu kennen , und doch erschien er ihr jetzt in einem ganz neuen Lichte , als wenn sie gewissermaßen jetzt zuerst seine Bekanntschaft machte .« » Schön !	4418	22	104894-Tieck__Ludwig.tsv
KOKOM	KOKOM		KOKOM	als		Ebenso machen es die Bedienten und nehmen ihre Freunde und Freundinnen hinten auf den Wagen , und es fehlt nichts ,	als	daß sie sich noch wie auf die englischen Landkutschen oben auf den Kasten setzten .	Sonntag , den 11. März 1787 .Ebenso machen es die Bedienten und nehmen ihre Freunde und Freundinnen hinten auf den Wagen , und es fehlt nichts , als daß sie sich noch wie auf die englischen Landkutschen oben auf den Kasten setzten .Einige gehen herum mit Fäßchen Eiswasser ,	1950	21	32620-Goethe__Johann_Wolfgang.tsv
