DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PAV	PROAV		PROAV	dagegen		Der weichliche , sanft einschmeichelnde Pietismus	dagegen	, zumal wenn er Mode wird und zeitliche Vorteile in Aussicht stellt , erzeugt gar leicht heuchlerische Tartüffe , oder , wo er tiefer gegriffen , einen geistlichen Dünkel und Fanatismus , der das ganze folgende Leben vergiftet .	eben zum sonderlichen Heile der Jugend .Der weichliche , sanft einschmeichelnde Pietismus dagegen , zumal wenn er Mode wird und zeitliche Vorteile in Aussicht stellt , erzeugt gar leicht heuchlerische Tartüffe , oder , wo er tiefer gegriffen , einen geistlichen Dünkel und Fanatismus , der das ganze folgende Leben vergiftet .Daher der absonderliche Haß der Pietisten gegen	19	6	24830-Eichendorff__Joseph_von.tsv
PAV	PROAV		PROAV	daher		Aus seinen Sitten urteileten sie bald / daß er nicht unter gemeinen Leuten aufferzogen wahr / wiewol seine Kleider etwz geringer / doch ritterlich schienen ; ehreten ihn auch	daher	nicht umb das geringste minder .	/ und hieß sie wilkommen seyn .Aus seinen Sitten urteileten sie bald / daß er nicht unter gemeinen Leuten aufferzogen wahr / wiewol seine Kleider etwz geringer / doch ritterlich schienen ; ehreten ihn auch daher nicht umb das geringste minder .Und als Valikules hierauff anzeigete / daß	16271	29	15210-Buchholtz__Andreas_Heinrich.tsv
PAV	PROAV		PROAV	dahin		Ich scheide mit dem leib : Das beständige gelübde dieser Prinzessin / ( sagte Thebah ferner ) hat sie solang unter mannskleidern versteckt gehalten : und kan ich nicht anderst gläuben / als daß sie nach Ninive /	dahin	iederzeit ihr verlangen gestanden / entkommen seyn werde .	/ ) oder mit ihr sterben !Ich scheide mit dem leib : Das beständige gelübde dieser Prinzessin / ( sagte Thebah ferner ) hat sie solang unter mannskleidern versteckt gehalten : und kan ich nicht anderst gläuben / als daß sie nach Ninive / dahin iederzeit ihr verlangen gestanden / entkommen seyn werde .fragte endlich die bestůrzte Königin von Tyro	27950	38	3459-Anton_Ulrich_Herzog_von_Braunschweig.tsv
PAV	PROAV		PROAV	damit		›	Damit	drücke ich mit einfachen Worten aus , ‹ sagte er , › meine Herrn , daß ich das größte Vertrauen in Mrs. Strong setze und ihr hiermit alles bedingunglos verschreibe .	Ich öffnete die Tür .› Damit drücke ich mit einfachen Worten aus , ‹ sagte er , › meine Herrn , daß ich das größte Vertrauen in Mrs. Strong setze und ihr hiermit alles bedingunglos verschreibe .Das führte mich dorthin , zumal ich	13054	1	22325-Dickens__Charles.tsv
PAV	PROAV		PROAV	damit		Das braune Kind wußte	damit	nichts anzufangen .	sagte : » Ihr armen Dinge !Das braune Kind wußte damit nichts anzufangen .» Er wird bei der Großmutter sein	610	4	99459-Stifter__Adalbert.tsv
PAV	NE		PROAV	danach			Darnach	machte er das Loch zu und ging weiter , da kam er in das Zimmer , wo die Prinzessin lag und schlief und die war gar schön , so daß er still stand und sie betrachtete und den Athem anhielt .	duns 1 ihn dann vollends herein .Darnach machte er das Loch zu und ging weiter , da kam er in das Zimmer , wo die Prinzessin lag und schlief und die war gar schön , so daß er still stand und sie betrachtete und den Athem anhielt .Da nahm er den Säbel von der	68	0	50771-Grimm__Jacob_und_Wilhelm.tsv
PAV	PROAV		PROAV	daneben		Indem sie	daneben	aber auch fortwährend ihre guten Dienste anboten , mußte man vermuten , daß sie die Absicht hätten , recht oft wiederzukommen .	einen unangenehmen Eindruck auf meine Schwägerin .Indem sie daneben aber auch fortwährend ihre guten Dienste anboten , mußte man vermuten , daß sie die Absicht hätten , recht oft wiederzukommen .Ohne meine Schwägerin zu benachrichtigen , hatte	3246	2	79882-Meysenbug__Malwida_Freiin_von.tsv
PAV	PROAV		PROAV	daran		» Sihdi , man denkt gar nicht	daran	, die Vorzüge unseres Geistes mit zu Hilfe zu nehmen .	Tieren Ruhe und Nahrung zu gönnen .» Sihdi , man denkt gar nicht daran , die Vorzüge unseres Geistes mit zu Hilfe zu nehmen .Leider aber war dies nicht der Fall	6609	7	79309-May__Karl.tsv
PAV	PROAV		PROAV	darauf		Die Damen , von Arm zu Arm hinüber befördert , betraten das Land , ohne auch nur eine Falte ihrer Kleider benetzt zu haben , und bald	darauf	hatten Alle sammt Waffen und Lebensmitteln auf dem gefürchteten Ufer von Neu-Seeland festen Fuß gefaßt .	Mitschuldigen des Ben Joyce bewacht werden .Die Damen , von Arm zu Arm hinüber befördert , betraten das Land , ohne auch nur eine Falte ihrer Kleider benetzt zu haben , und bald darauf hatten Alle sammt Waffen und Lebensmitteln auf dem gefürchteten Ufer von Neu-Seeland festen Fuß gefaßt .– Aber das ist ein gefährlicher Versuch	7745	27	107493-Verne__Jules.tsv
PAV	PROAV		PROAV	darauf		Wer hat mich	darauf	hingewiesen , die Herstellung künstlicher Diamanten zu versuchen ?	fuhr Cyprien fort .Wer hat mich darauf hingewiesen , die Herstellung künstlicher Diamanten zu versuchen ?» Ihnen , nur Ihnen , Fräulein	1176	3	107513-Verne__Jules.tsv
PAV	PROAV		PROAV	darauf		Vor Gram erkrankte er sogleich und starb in den Tagen	darauf	.	nicht hinzugehen und blieb zu Hause .Vor Gram erkrankte er sogleich und starb in den Tagen darauf .Der Tag kam , das Urteil sollte	12	10	80666-M_llenhoff__Karl.tsv
PAV	PROAV		PROAV	darin		– Nehmen wir sie zuerst , wie sie gerade ist , warf Gordon ein ; selbst wenn es	darin	etwas eng herginge .	Jolle kaum eine Meile stromaufwärts weiter .– Nehmen wir sie zuerst , wie sie gerade ist , warf Gordon ein ; selbst wenn es darin etwas eng herginge .Sobald diese vom Land gelöst war ,	80	18	107519-Verne__Jules.tsv
PAV	PROAV		PROAV	darin		Und	darin	hatten Sie vollkommen Recht , sagte der Baron ; ich denke und fühle so auch nur , wenn ich , wie jetzt , complet betrunken bin .	Scene , in sein Zimmer zurückschritt .Und darin hatten Sie vollkommen Recht , sagte der Baron ; ich denke und fühle so auch nur , wenn ich , wie jetzt , complet betrunken bin .Hat er Dich wirklich gesehen , oder	3972	1	99023-Spielhagen__Friedrich.tsv
PAV	NN		PROAV	darum			Darum	hab' ich mir gedacht , ob du uns nicht die Liebe erweisen und mit Dorsday reden könntest ‹ – Was ?	schon früher einmal dem Papa beigesprungen .Darum hab' ich mir gedacht , ob du uns nicht die Liebe erweisen und mit Dorsday reden könntest ‹ – Was ?‹ – › Im Residenzklub hat Papa	364	0	97230-Schnitzler__Arthur.tsv
PAV	NN		PROAV	darum			Darum	getraue man sich auch nicht , mit einem Kahn das rätselhafte und verrufene Wasser zu befahren .	er sei eine Ader des Meeres .Darum getraue man sich auch nicht , mit einem Kahn das rätselhafte und verrufene Wasser zu befahren .Neue Versuche haben freilich gerade das Gegenteil	9	0	11015-Bechstein__Ludwig.tsv
PAV	PROAV		PROAV	darum		FAUST : Nicht aus Furcht , ich war gegen einen Mächtigern kühn , und	darum	bin ich hier .	weiß man nichts als das Gerücht .FAUST : Nicht aus Furcht , ich war gegen einen Mächtigern kühn , und darum bin ich hier .Man sagt , er habe aus feindlichen	2548	14	67770-Klinger__Friedrich_Maximilian.tsv
