DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PRELAT	PRELAT		PRELAT	die		In dem verhaßten Verhältnisse , worin Sie mich gefunden , und das mich geistige Qualen erdulden läßt ,	deren	mein körperliches Wohlsein spottet , büße ich eine schwere Schuld – doch nun nichts mehr – leben Sie wohl !	dunkler Schleier liegt über meinem Leben !In dem verhaßten Verhältnisse , worin Sie mich gefunden , und das mich geistige Qualen erdulden läßt , deren mein körperliches Wohlsein spottet , büße ich eine schwere Schuld – doch nun nichts mehr – leben Sie wohl !« – » Viktor , « fiel	78	18	62365-Hoffmann__E__T__A_.tsv
PRELAT	PRELAT		PRELAT	die		Auf diese endlosen Prairien ,	deren	Monotonie nicht ein einziger Hügel unterbricht , folgt eine Sandwüste , die sich gegen vierhundert Meilen weit in sanfter Steigung bis zu den Felsengebirgen hinzieht .	einem Lande zum Verwechseln ähnlich aussieht .Auf diese endlosen Prairien , deren Monotonie nicht ein einziger Hügel unterbricht , folgt eine Sandwüste , die sich gegen vierhundert Meilen weit in sanfter Steigung bis zu den Felsengebirgen hinzieht .Nicht fern von hier hatte Powell die	3251	5	107559-Verne__Jules.tsv
PRELAT	PRELAT		PRELAT	die		Unter den von Iwan Ogareff nach dem tartarischen Lager geschleppten Gefangenen befand sich auch eine bejahrte Frau ,	deren	Schweigsamkeit sie von allen Uebrigen , welche ihr Loos theilten , auffallend unterschied .	Versprechen Sie mir das ?Unter den von Iwan Ogareff nach dem tartarischen Lager geschleppten Gefangenen befand sich auch eine bejahrte Frau , deren Schweigsamkeit sie von allen Uebrigen , welche ihr Loos theilten , auffallend unterschied .Ich ersuche Sie , mein Geheimniß zu	2546	18	107503-Verne__Jules.tsv
PRELAT	PDS		PDS	die		Dies lehnte aber Arthur eifrigst ab , und nach einigem Hin- und Herreden , Nöthigen und Weigern entschloß er sich endlich , einen Bissen von dem Teller der Tänzerin und zwar mit	deren	Gabel zu nehmen .	– Und an wen ?Dies lehnte aber Arthur eifrigst ab , und nach einigem Hin- und Herreden , Nöthigen und Weigern entschloß er sich endlich , einen Bissen von dem Teller der Tänzerin und zwar mit deren Gabel zu nehmen .« » Ich empfohlen ?	6507	32	56361-Hackl_nder__Friedrich_Wilhelm_von.tsv
PRELAT	PRELAT		PRELAT	die		Seine Neugier , die Herzogin wiederzusehen ,	deren	Bild ihm auch nur schattenhaft in der Erinnerung geblieben war , trug daher ohne große Mühe über die flüchtigen Bedenken seiner Kindesliebe den Sieg davon , und er hatte obenein eine schwere , doppelte Versäumniß nachzuholen .	die alte Freundin seines Vaters aufzusuchen .Seine Neugier , die Herzogin wiederzusehen , deren Bild ihm auch nur schattenhaft in der Erinnerung geblieben war , trug daher ohne große Mühe über die flüchtigen Bedenken seiner Kindesliebe den Sieg davon , und er hatte obenein eine schwere , doppelte Versäumniß nachzuholen .Sie ist also hier , sie ist	9625	7	73679-Lewald__Fanny.tsv
PRELAT	PRELAT		PRELAT	die		– Hatt' ich ja itzt freylich eine erstaunliche kindische Freud , mit der grossen Anzahl Bücher ,	deren	ich in meinem Leben nie so viele beysammen gesehn , und an welchen allen ich nun Antheil hatte .	was nützt dem Narrn sein Schreiben ?– Hatt' ich ja itzt freylich eine erstaunliche kindische Freud , mit der grossen Anzahl Bücher , deren ich in meinem Leben nie so viele beysammen gesehn , und an welchen allen ich nun Antheil hatte .PETER .	3403	17	14948-Br_ker__Ulrich.tsv
PRELAT	PRELAT		PRELAT	die		Den jetzt gemeldten drei geistlichen Herrn sind noch drei Ratsherrn an die Seite gesetzt , ohne	deren	Konsens nichts darf geschlossen werden , wie man sich denn allhier , den äußerlichen Schein ausgenommen , überhaupt nicht viel aus der Religion macht .	da etwa in Compagnie geredet wird .Den jetzt gemeldten drei geistlichen Herrn sind noch drei Ratsherrn an die Seite gesetzt , ohne deren Konsens nichts darf geschlossen werden , wie man sich denn allhier , den äußerlichen Schein ausgenommen , überhaupt nicht viel aus der Religion macht .Hier ist vor einen Verbrecher oder schuldig	66	16	97160-Schnabel__Johann_Gottfried.tsv
PRELAT	PRELAT		PRELAT	die		Diese Person , über	deren	Geschlecht er sich nicht näher erklären wollte , habe er mit den abreisenden Freunden vorausgeschickt und hoffe zu seinen Zwecken in den ununtersuchten Gegenden sehr viel von ihr .	sobald sie nur den Boden wechsele .Diese Person , über deren Geschlecht er sich nicht näher erklären wollte , habe er mit den abreisenden Freunden vorausgeschickt und hoffe zu seinen Zwecken in den ununtersuchten Gegenden sehr viel von ihr .« Hersilie an Wilhelm Was jedoch weniger	4935	4	32554-Goethe__Johann_Wolfgang.tsv
PRELAT	PDS		PDS	die		« Als die Täge schon länger wurden , als die eigentliche Stadtlust schon aufgehört hatte , und die stillen Wochen der Fastenzeit liefen , fragte ich eines Tages Preborn , weshalb er mir denn die Gräfin Tarona nicht gezeigt habe , die er so liebe , die so schön sein soll , und zu	deren	Gewinnung er meinen Beistand angerufen habe .	ich dich heute ehre und liebe .« Als die Täge schon länger wurden , als die eigentliche Stadtlust schon aufgehört hatte , und die stillen Wochen der Fastenzeit liefen , fragte ich eines Tages Preborn , weshalb er mir denn die Gräfin Tarona nicht gezeigt habe , die er so liebe , die so schön sein soll , und zu deren Gewinnung er meinen Beistand angerufen habe .Die Sonne tut mir nicht so weh	1040	54	99434-Stifter__Adalbert.tsv
PRELAT	PRELAT		PRELAT	die		– Er hatte sie außerdem , in einem großen Umkreise , mit verborgenen Schlingen von Draht umgeben , die mit einigen kleinen Glocken in seiner Höle in Verbindung standen ,	deren	Geklirr ihm die Gegend bezeichnete , in die er hineilte , um auch die einzeln vorbeigehenden Wanderer zu berauben .	, nicht immer schlief die Rache !– Er hatte sie außerdem , in einem großen Umkreise , mit verborgenen Schlingen von Draht umgeben , die mit einigen kleinen Glocken in seiner Höle in Verbindung standen , deren Geklirr ihm die Gegend bezeichnete , in die er hineilte , um auch die einzeln vorbeigehenden Wanderer zu berauben .Die letzten Spuren verdeckte der Rasen ,	11	30	82985-Nachtigal__Johann_Carl_Christoph.tsv
