DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PTKNEG	PTKNEG		PTKNEG	nicht			Nicht	als ob wir des frommen Glaubens lebten , auch nur eine von Ihnen für uns gewinnen zu können .	machten wir unserem Arzt die Abschiedsvisite .Nicht als ob wir des frommen Glaubens lebten , auch nur eine von Ihnen für uns gewinnen zu können .Aus den vertiertesten Gesichtern brach ein Schein	7934	0	14315-Braun__Lily.tsv
PTKNEG	PTKNEG		PTKNEG	nicht		Warum war aber meine Seele	nicht	von ebenso tiefen Gefühlen ergriffen , als ich jüngst zum ersten Male über den entsetzlichen Platz ging , wo Ludwig XVI. gestorben ?	mals mit ihren heitersten Farben geschmückt .Warum war aber meine Seele nicht von ebenso tiefen Gefühlen ergriffen , als ich jüngst zum ersten Male über den entsetzlichen Platz ging , wo Ludwig XVI. gestorben ?Da liegt sie , die Herrlichkeit des	63	5	59696-Heine__Heinrich.tsv
PTKNEG	PTKNEG		PTKNEG	nicht		Beyleibe	nicht	, sprach der Bauer , potztausend , nur das nicht , Meister Schuster !	du sie vornen in Busen stecken .Beyleibe nicht , sprach der Bauer , potztausend , nur das nicht , Meister Schuster !Der Bauer bedankte sich , und nahm	2140	1	97256-Schreger__Odilo.tsv
PTKNEG	PTKNEG		PTKNEG	nicht		Beyleibe nicht , sprach der Bauer , potztausend , nur das	nicht	, Meister Schuster !	du sie vornen in Busen stecken .Beyleibe nicht , sprach der Bauer , potztausend , nur das nicht , Meister Schuster !Der Bauer bedankte sich , und nahm	2140	11	97256-Schreger__Odilo.tsv
PTKNEG	PTKNEG		PTKNEG	nicht		Lange , nachdem sie Frau geworden , hatte sie	nicht	verstanden , woher ihr gegen den Mann , den sie frei gewählt hatte , wie er sie , oftmals dieses grollende Gefühl kam , dieser sprungbereite Haß , der sich in tausend kleinen Szenen entlud , – da es zur großen Aussprache zwischen ihnen niemals kam , – der hundert eingebildete und konstruierte Vorwände heftiger Entladungen er fand , – bis der wahre Grund ihrer geheimen Feindschaft , ihrem bohrenden Spähen , ihrer wachgehetzten Weibheit klargeworden war : die Versprechungen ihres Körpers schienen für diesen Mann erfüllt .	, welche Juden untereinander oft abstößt .Lange , nachdem sie Frau geworden , hatte sie nicht verstanden , woher ihr gegen den Mann , den sie frei gewählt hatte , wie er sie , oftmals dieses grollende Gefühl kam , dieser sprungbereite Haß , der sich in tausend kleinen Szenen entlud , – da es zur großen Aussprache zwischen ihnen niemals kam , – der hundert eingebildete und konstruierte Vorwände heftiger Entladungen er fand , – bis der wahre Grund ihrer geheimen Feindschaft , ihrem bohrenden Spähen , ihrer wachgehetzten Weibheit klargeworden war : die Versprechungen ihres Körpers schienen für diesen Mann erfüllt .Und Frau Edda fuhr dahin , Einkäufe	5360	9	79543-Meisel_Hess__Grete.tsv
PTKNEG	PTKNEG		PTKNEG	nicht		Er benahm sich wie einer , der	nicht	gehört haben will , und sagte : » Willst du für deinen Buben das Erbgut aufrecht halten , so mußt du für ihn zur Holdenwehr im Winter einen Ersatzmann stellen .	Der Heiner macht schon alles .Er benahm sich wie einer , der nicht gehört haben will , und sagte : » Willst du für deinen Buben das Erbgut aufrecht halten , so mußt du für ihn zur Holdenwehr im Winter einen Ersatzmann stellen .Da geh mit dem Jakob vom Käser	4783	7	27055-Ganghofer__Ludwig.tsv
PTKNEG	PTKNEG		PTKNEG	nicht		Es waren aber sechs Dutzet altfränkische silberne Tischbecher , ein groß gulden Pokal , etliche Duplet , vier silberne und ein guldenes Salzfaß , eine altfränkische guldne Kette , unterschiedliche Diamanten , Rubinen , Saphiren und Schmaragden , beides in Ringen und andern Kleinodien gefasset ; item ein ganz Lädlein voll großer Perlen , aber alle verdorben oder abgestanden , und dann in einem versporten ledernen Sack achtzig von den ältisten Joachimstalern aus feinem Silber , sodann 893 Goldstücke mit dem französischen Wappen und einem Adler , welche Münze niemand kennen wollte , weil man , wie sie sagten , die Schrift	nicht	lesen konnte .	erst durch den Schuß geöffnet hatte .Es waren aber sechs Dutzet altfränkische silberne Tischbecher , ein groß gulden Pokal , etliche Duplet , vier silberne und ein guldenes Salzfaß , eine altfränkische guldne Kette , unterschiedliche Diamanten , Rubinen , Saphiren und Schmaragden , beides in Ringen und andern Kleinodien gefasset ; item ein ganz Lädlein voll großer Perlen , aber alle verdorben oder abgestanden , und dann in einem versporten ledernen Sack achtzig von den ältisten Joachimstalern aus feinem Silber , sodann 893 Goldstücke mit dem französischen Wappen und einem Adler , welche Münze niemand kennen wollte , weil man , wie sie sagten , die Schrift nicht lesen konnte .Als der Schuß geschehen , wieherte mein	4148	102	50637-Grimmelshausen__Hans_Jakob_Christoffel_von.tsv
PTKNEG	PTKNEG		PTKNEG	nicht		Länger werde ich	nicht	abwesend sein .	Quai besorgen , was wir brauchen .Länger werde ich nicht abwesend sein .– Also , Mr. Treskow , es	2841	3	79314-May__Karl.tsv
PTKNEG	PTKNEG		PTKNEG	nicht		Die letzten funfzig Jahre , die alles umgeworfen oder erschüttert , haben nur eins	nicht	erschüttert – Lafayettes Tugend .	, das kann er nicht fassen .Die letzten funfzig Jahre , die alles umgeworfen oder erschüttert , haben nur eins nicht erschüttert – Lafayettes Tugend .Ein ehrlicher Mann !	1498	14	6286-B_rne__Ludwig.tsv
PTKNEG	PTKNEG		PTKNEG	nicht		Wo die Fichten sich beugten wie Rohr , was sollte man da	nicht	kreideweiße Gesichter sehen und von den blassen Lippen Stoßgebete murmeln und die Heiligen angerufen hören .	, wie ein Schneetreiben flog es .Wo die Fichten sich beugten wie Rohr , was sollte man da nicht kreideweiße Gesichter sehen und von den blassen Lippen Stoßgebete murmeln und die Heiligen angerufen hören .Die eine Wand des letzten Zeltes war	3103	12	965-Alexis__Willibald.tsv
