DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PWAV	PPOSAT		NN	deswillen		Da nun dieses etwas ungewisses ist , wie kan man denn um	deßwillen	dem 29. Augusti eine solche Eigenschafft gewiß zuschreiben , die er von der Enthäuptung Johannis des Täuffers soll erlanget haben , da doch sint der Enthauptung Johannis eine so merckliche Veränderung der Zeit und Calender vorgangen ist ?	unsers Calenders , sey enthauptet worden ?Da nun dieses etwas ungewisses ist , wie kan man denn um deßwillen dem 29. Augusti eine solche Eigenschafft gewiß zuschreiben , die er von der Enthäuptung Johannis des Täuffers soll erlanget haben , da doch sint der Enthauptung Johannis eine so merckliche Veränderung der Zeit und Calender vorgangen ist ?Und ob ich zwar dieses gar eigentlich	1953	12	97156-Schmidt__Johann_Georg.tsv
PWAV	PWAV		PWAV	warum		« »	Warum	?	« rief Julian erschrocken .« » Warum ?» Allmächtiger !	4500	2	99250-Stendhal.tsv
PWAV	PWAV		PWAV	warum			Warum	hatten sie die sechshunderteinundsechzigtausend Einwohner des Staates , der die Hälfte des gewöhnlich Neuengland genannten Gebietes einnimmt , um zwei Einheiten vermehrt ?	Wie steht es mit Lissy Wag ?Warum hatten sie die sechshunderteinundsechzigtausend Einwohner des Staates , der die Hälfte des gewöhnlich Neuengland genannten Gebietes einnimmt , um zwei Einheiten vermehrt ?« entgegnete Jovita , als sie auf	5865	0	107536-Verne__Jules.tsv
PWAV	PWAV		PWAV	wie			Wie	pflegen die Franzosen ihr » großes Jahrhundert « !	sind , die wir ausgewählt haben ?Wie pflegen die Franzosen ihr » großes Jahrhundert « !Aus dieser Zeit haben wir nun prosaische	46	0	63654-Hofmannsthal__Hugo_von.tsv
PWAV	PWAV		PWAV	wie		9 )	Wie	man Abrechnung mit seiner Moralität halten solle .	sondern ein aufrichtiger und gerechter Freund !9 ) Wie man Abrechnung mit seiner Moralität halten solle .7 ) Sei Dir ein angenehmer Gesellschafter	2468	2	68043-Knigge__Adolph_Freiherr_von.tsv
PWAV	PWAV		PWAV	wie		über welches abgelaufene Zeitalter schwebte ihr Geist – auf welcher Staffel der Vergangenheit mußte sie mich stehen sehen , als ihre ausgestreckte Hand mir das Bild des sterbenden Heilandes mit der herzzerreißenden Frage vorhielt : Nun diesen Fittich senkt , und kindisch sich verweilt , Auf einen Hügel hebt ,	Wie	sie den bescheidnen Wänden Auf Blumen schwebend sich nur von ihrem Aushauche nährt .	So höre wenigstens mich ihr nachlallen .über welches abgelaufene Zeitalter schwebte ihr Geist – auf welcher Staffel der Vergangenheit mußte sie mich stehen sehen , als ihre ausgestreckte Hand mir das Bild des sterbenden Heilandes mit der herzzerreißenden Frage vorhielt : Nun diesen Fittich senkt , und kindisch sich verweilt , Auf einen Hügel hebt , Wie sie den bescheidnen Wänden Auf Blumen schwebend sich nur von ihrem Aushauche nährt .die geübtesten Wortführer der Natur würden daran	915	50	104263-Th_mmel__Moritz_August_von.tsv
PWAV	PWAV		PWAV	wie			Wie	sie nun im Anfange keine fremde Götter aufnahmen , ob sie wohl die Götter jedes fremden Landes schoneten , so sollte auch ihren Göttern der alte Dienst , durch den sie Römer geworden waren , bleiben .	war dies die ganze Sache nicht .Wie sie nun im Anfange keine fremde Götter aufnahmen , ob sie wohl die Götter jedes fremden Landes schoneten , so sollte auch ihren Göttern der alte Dienst , durch den sie Römer geworden waren , bleiben .Mit allen Staats- und Kriegshandlungen war Religion	1340	0	61281-Herder__Johann_Gottfried.tsv
PWAV	PWAV		PWAV	wie		Lange , nachdem sie Frau geworden , hatte sie nicht verstanden , woher ihr gegen den Mann , den sie frei gewählt hatte ,	wie	er sie , oftmals dieses grollende Gefühl kam , dieser sprungbereite Haß , der sich in tausend kleinen Szenen entlud , – da es zur großen Aussprache zwischen ihnen niemals kam , – der hundert eingebildete und konstruierte Vorwände heftiger Entladungen er fand , – bis der wahre Grund ihrer geheimen Feindschaft , ihrem bohrenden Spähen , ihrer wachgehetzten Weibheit klargeworden war : die Versprechungen ihres Körpers schienen für diesen Mann erfüllt .	, welche Juden untereinander oft abstößt .Lange , nachdem sie Frau geworden , hatte sie nicht verstanden , woher ihr gegen den Mann , den sie frei gewählt hatte , wie er sie , oftmals dieses grollende Gefühl kam , dieser sprungbereite Haß , der sich in tausend kleinen Szenen entlud , – da es zur großen Aussprache zwischen ihnen niemals kam , – der hundert eingebildete und konstruierte Vorwände heftiger Entladungen er fand , – bis der wahre Grund ihrer geheimen Feindschaft , ihrem bohrenden Spähen , ihrer wachgehetzten Weibheit klargeworden war : die Versprechungen ihres Körpers schienen für diesen Mann erfüllt .Und Frau Edda fuhr dahin , Einkäufe	5360	24	79543-Meisel_Hess__Grete.tsv
PWAV	PWAV		KOKOM	wie		« » O mein theures Kind ,	wie	vermöchte ich es anders !	, er half ihr sich aufrichten .« » O mein theures Kind , wie vermöchte ich es anders !– Ihr müßt hier fort , liebe	375	7	83757-Paalzow__Henriette_von.tsv
PWAV	PWAV		PWAV	wie		Bald nach meiner Zurückkunft nach Milet gerieth ich auf den Einfall , das berühmte allegorische Mährchen vom Prodikus , den Hercules auf dem Scheidewege , in zwei Seitenstücken zu malen ; so daß Lais in dem einen die Tugend , in dem andern die Wollust vorstellt , und (	wie	du bereits errathen hast ) der junge Göttersohn im einen der Erstern , im andern ihrer reizenden Gegnerin die Hand reicht .	er nicht sehr lange ausdauern könnte .Bald nach meiner Zurückkunft nach Milet gerieth ich auf den Einfall , das berühmte allegorische Mährchen vom Prodikus , den Hercules auf dem Scheidewege , in zwei Seitenstücken zu malen ; so daß Lais in dem einen die Tugend , in dem andern die Wollust vorstellt , und ( wie du bereits errathen hast ) der junge Göttersohn im einen der Erstern , im andern ihrer reizenden Gegnerin die Hand reicht .Du weißt , in welchem Grade die	6108	49	110273-Wieland__Christoph_Martin.tsv
