DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
VAINF	VAINF		VAINF	haben		Hierauf würde der Bär kommen und auf die Eiche zu klettern versuchen , dem solle er das Eisen , das er unterdessen wieder auf den Baum geholt	haben	müsse , auch auf den Kopf werfen .	solle er auf eine Eiche steigen .Hierauf würde der Bär kommen und auf die Eiche zu klettern versuchen , dem solle er das Eisen , das er unterdessen wieder auf den Baum geholt haben müsse , auch auf den Kopf werfen .Da kam das Reh wieder , das	17	27	85738-Pr_hle__Heinrich.tsv
VAINF	VAINF		VAINF	haben		Die Damen , von Arm zu Arm hinüber befördert , betraten das Land , ohne auch nur eine Falte ihrer Kleider benetzt zu	haben	, und bald darauf hatten Alle sammt Waffen und Lebensmitteln auf dem gefürchteten Ufer von Neu-Seeland festen Fuß gefaßt .	Mitschuldigen des Ben Joyce bewacht werden .Die Damen , von Arm zu Arm hinüber befördert , betraten das Land , ohne auch nur eine Falte ihrer Kleider benetzt zu haben , und bald darauf hatten Alle sammt Waffen und Lebensmitteln auf dem gefürchteten Ufer von Neu-Seeland festen Fuß gefaßt .– Aber das ist ein gefährlicher Versuch	7745	23	107493-Verne__Jules.tsv
VAINF	VAFIN		VAINF	haben		– Und was er aus seinem Lebensvermögen weitergegeben	haben	mag an diesen , seinen Sohn Velten Andres – unsern Freund ?	werden , wer kann das wissen ?– Und was er aus seinem Lebensvermögen weitergegeben haben mag an diesen , seinen Sohn Velten Andres – unsern Freund ?Mit den Akten des Vogelsangs hatten sie	68	8	87001-Raabe__Wilhelm.tsv
VAINF	VAFIN		VAINF	haben		Indessen erkannte ich bald , daß ich während einer längeren Ruhepause gekommen war ; ein großer Teil des Publikums mochte den Saal verlassen und die angrenzenden Speise- und Erfrischungsräume aufgesucht	haben	.	war , als ich erwartet hatte .Indessen erkannte ich bald , daß ich während einer längeren Ruhepause gekommen war ; ein großer Teil des Publikums mochte den Saal verlassen und die angrenzenden Speise- und Erfrischungsräume aufgesucht haben .« Und schon kam mir aus der	565	30	90189-Saar__Ferdinand_von.tsv
VAINF	VAFIN		VAFIN	haben		Die Welt umflocht uns mit tausend Verbindungen , wir kehrten nie in uns selbst zurück , und unsere Neigung , die vielleicht in der Einsamkeit , oder in Lagen , die sie zu Proben aufgefordert hätten , einen ernsten dauerhaften Charakter würde gewonnen	haben	, verflog jetzt in ihrem ersten Genuß .	Unsre Verbindung erfolgte in wenigen Tagen .Die Welt umflocht uns mit tausend Verbindungen , wir kehrten nie in uns selbst zurück , und unsere Neigung , die vielleicht in der Einsamkeit , oder in Lagen , die sie zu Proben aufgefordert hätten , einen ernsten dauerhaften Charakter würde gewonnen haben , verflog jetzt in ihrem ersten Genuß .Mit dem Anschauen des Glücks flieht so	4137	43	110617-Wolzogen__Caroline_von.tsv
VAINF	VAINF		VAINF	haben		Es konnte der Welt gegenüber ganz und gar nichts schaden , wenigstens eine kleine Regierungsrätin in der Familie zu	haben	, da Herr Hellwig sich stets starrköpfig geweigert hatte , seine Gattin zu einer Frau Kommissionsrätin oder dergleichen zu machen .	welchen Frau Hellwig große Stücke hielt .Es konnte der Welt gegenüber ganz und gar nichts schaden , wenigstens eine kleine Regierungsrätin in der Familie zu haben , da Herr Hellwig sich stets starrköpfig geweigert hatte , seine Gattin zu einer Frau Kommissionsrätin oder dergleichen zu machen .Es ist mir sehr unangenehm , wenn	315	19	78772-Marlitt__Eugenie.tsv
VAINF	VAFIN		VAINF	haben		antwortete der junge Officier , Du wirst – Du mußt sie wieder	haben	!	erglänzte an verschiedenen Stellen von Freudenfeuern .antwortete der junge Officier , Du wirst – Du mußt sie wieder haben !Er saß dabei sogar dem ältesten Schwarzen	3619	12	107518-Verne__Jules.tsv
VAINF	VAINF		VAINF	sein		Doch lasse das alles ungeschrieben	sein	, es gefällt mir nicht , glaube mir , Deinem Herzen und Deiner Liebe .	Es ist schon spät !Doch lasse das alles ungeschrieben sein , es gefällt mir nicht , glaube mir , Deinem Herzen und Deiner Liebe .Adieu , Clemens !	3067	5	4083-Arnim__Bettina_von.tsv
VAINF	VAINF		VAINF	sein		» Glücklich	sein	und glücklich machen , « entgegnete Herr von Steinfeld .	lachte überlaut der Herr von Brand .» Glücklich sein und glücklich machen , « entgegnete Herr von Steinfeld .« » Das ist ja eine ganz	18375	2	56361-Hackl_nder__Friedrich_Wilhelm_von.tsv
VAINF	VAINF		VAINF	sein		Wenn man so den Kopf gerade unter das Messer legt und hört , wie es über dem Kopf herabgleitet , dann muß diese Viertelsekunde das Allerschrecklichste	sein	.	dem Augenblick , wo er stirbt .Wenn man so den Kopf gerade unter das Messer legt und hört , wie es über dem Kopf herabgleitet , dann muß diese Viertelsekunde das Allerschrecklichste sein .Das scheint Ihnen lächerlich und seltsam ;	8417	26	22510-Dostoevskij__F_dor_Michajlovi_.tsv
VAINF	VAINF		VAINF	sein		Mr. Bartlett , das ist nämlich der Aufseher , soll immer strenger gewesen	sein	als ein Anderer , aber erst als Mr. Morton seit den letzten Monaten so kränklich war und nur selten hinkam , ist er so schlimm geworden , daß es jeden Tag blutige Rücken gegeben hat .	zu , und gehörte Mr. Morton .Mr. Bartlett , das ist nämlich der Aufseher , soll immer strenger gewesen sein als ein Anderer , aber erst als Mr. Morton seit den letzten Monaten so kränklich war und nur selten hinkam , ist er so schlimm geworden , daß es jeden Tag blutige Rücken gegeben hat .« erwiderte er , augenscheinlich etwas verwundert	3042	13	89978-Ruppius__Otto.tsv
VAINF	VAINF		VAINF	sein		Man ist ebensogut Zeitbürger , als man Staatsbürger ist ; und wenn es unschicklich , ja unerlaubt gefunden wird , sich von den Sitten und Gewohnheiten des Zirkels , in dem man lebt , auszuschließen , warum sollte es weniger Pflicht	sein	, in der Wahl seines Wirkens dem Bedürfnis und dem Geschmack des Jahrhunderts eine Stimme einzuräumen ?	, in die furchtbarste Knechtschaft stürzen .Man ist ebensogut Zeitbürger , als man Staatsbürger ist ; und wenn es unschicklich , ja unerlaubt gefunden wird , sich von den Sitten und Gewohnheiten des Zirkels , in dem man lebt , auszuschließen , warum sollte es weniger Pflicht sein , in der Wahl seines Wirkens dem Bedürfnis und dem Geschmack des Jahrhunderts eine Stimme einzuräumen ?Die Vernunft , wissen wir , gibt	983	41	96455-Schiller__Friedrich.tsv
VAINF	VAINF		VAINF	sein		« Wir halfen ihm , die Zeltstangen anders zu legen , und ließen ihn dann mit den Maultieren voran , um unser Führer zu	sein	.	» Ah !« Wir halfen ihm , die Zeltstangen anders zu legen , und ließen ihn dann mit den Maultieren voran , um unser Führer zu sein .« Ich zog meinen Rock aus und	1037	24	79326-May__Karl.tsv
VAINF	VVFIN		VVFIN	sein		Denn gewiß , zu viele Lebhaftigkeit hindert die Grazie des Verstandes und der Geberden , wie es bisher mit mir geschehen ist ; und dann hat es seine gegründeten Ursachen , daß man den , der immer gleich gut scheint , mehr liebt , und ihm mehr Dank weiß , als dem , der sagt : Ich will gut mit Euch	seyn	; – ich will Euch ertragen .	eine Blume nicht gut geordnet haben .Denn gewiß , zu viele Lebhaftigkeit hindert die Grazie des Verstandes und der Geberden , wie es bisher mit mir geschehen ist ; und dann hat es seine gegründeten Ursachen , daß man den , der immer gleich gut scheint , mehr liebt , und ihm mehr Dank weiß , als dem , der sagt : Ich will gut mit Euch seyn ; – ich will Euch ertragen .Jede Art von Stärke , oder Gewalt	6542	61	72270-La_Roche__Sophie_von.tsv
VAINF	ADJD		NE	sein		Ich scheide mit dem leib : Das beständige gelübde dieser Prinzessin / ( sagte Thebah ferner ) hat sie solang unter mannskleidern versteckt gehalten : und kan ich nicht anderst gläuben / als daß sie nach Ninive / dahin iederzeit ihr verlangen gestanden / entkommen	seyn	werde .	/ ) oder mit ihr sterben !Ich scheide mit dem leib : Das beständige gelübde dieser Prinzessin / ( sagte Thebah ferner ) hat sie solang unter mannskleidern versteckt gehalten : und kan ich nicht anderst gläuben / als daß sie nach Ninive / dahin iederzeit ihr verlangen gestanden / entkommen seyn werde .fragte endlich die bestůrzte Königin von Tyro	27950	45	3459-Anton_Ulrich_Herzog_von_Braunschweig.tsv
VAINF	VVFIN		NE	sein		– Diese weniger treuherzig als aus Bitterkeit abgelegte Beichte konnte unserm Novizen in keiner Rücksicht gleichgültig	seyn	, obgleich er aus einigen Stellen der in ordensgemäßer Ordnung geführten Correspondenz auf etwas von dieser Art hätte schließen können .	zur beschämenden Strafe gezogen zu werden .– Diese weniger treuherzig als aus Bitterkeit abgelegte Beichte konnte unserm Novizen in keiner Rücksicht gleichgültig seyn , obgleich er aus einigen Stellen der in ordensgemäßer Ordnung geführten Correspondenz auf etwas von dieser Art hätte schließen können .wie doch die Rechtsfreunde immer zu spät	1457	16	62296-Hippel__Theodor_Gottlieb_von.tsv
VAINF	ADJD		NE	sein		Die Gräfin begegnete ihm : Mein lieber Adgandester / ist er so lange bey Hofe gewest / und ein so grosser Staats-Mann worden / hat aber wegen allzu grosser Gewogenheit seines Fürsten / und seines ihn überschüttenden Glückes nicht gelernet : daß grosse Herrscher keiner Verbindligkeit unterworffen / die Zahlung ihrer Schulden aber eine freywillige Begnadigung	seyn	solle ?	Besitzthume mir allein Catumer überlegen ist ?Die Gräfin begegnete ihm : Mein lieber Adgandester / ist er so lange bey Hofe gewest / und ein so grosser Staats-Mann worden / hat aber wegen allzu grosser Gewogenheit seines Fürsten / und seines ihn überschüttenden Glückes nicht gelernet : daß grosse Herrscher keiner Verbindligkeit unterworffen / die Zahlung ihrer Schulden aber eine freywillige Begnadigung seyn solle ?also ich eben so wohl ein taugliches	23680	56	78039-Lohenstein__Daniel_Casper_von.tsv
VAINF	VAINF		VAINF	werden		1 Mein Vater konnte sich nie zur Herausgabe dieses Lebens entschließen ; das Manuskript nebst einigen andern Abhandlungen befindet sich in den Händen der Familie und soll seiner Zeit dem Publikum nicht vorenthalten	werden	.	– krink – kronk – krank .1 Mein Vater konnte sich nie zur Herausgabe dieses Lebens entschließen ; das Manuskript nebst einigen andern Abhandlungen befindet sich in den Händen der Familie und soll seiner Zeit dem Publikum nicht vorenthalten werden .Lieber wollte ich der Calliope selbst ein	4789	33	99260-Sterne__Laurence.tsv
VAINF	VAINF		VAINF	werden		Uber dieses alles trifft David auf die fünfftehalb Centner ungemüntzet Gold , 14. Centner Silber , 2. Schlag- Fässer voll Perlen , und drey Kisten voll gemüntztes Gold und Silber an , von dessen Glantze , indem er an seiner Jugend-Jahre gedenckt , seine Augen gantz verblendet	werden	.	sich ferner zu fürchten Ursach hätten .Uber dieses alles trifft David auf die fünfftehalb Centner ungemüntzet Gold , 14. Centner Silber , 2. Schlag- Fässer voll Perlen , und drey Kisten voll gemüntztes Gold und Silber an , von dessen Glantze , indem er an seiner Jugend-Jahre gedenckt , seine Augen gantz verblendet werden .Langrogge , der Musicus , mit einer	3213	47	97159-Schnabel__Johann_Gottfried.tsv
VAINF	VAINF		VAINF	werden		« Schiller hätte sich weit mehr geeignet , wenn einmal mit deutscher Literatur der Anfang gemacht	werden	sollte .	ließe sich in zwei Worten sagen .« Schiller hätte sich weit mehr geeignet , wenn einmal mit deutscher Literatur der Anfang gemacht werden sollte .Ach !	178	16	106903-Turgenev__Ivan_Sergeevi_.tsv
VAINF	VAINF		VAINF	werden		Auf der andern Seite aber soll die » unbewusste Vorstellung « wieder nichts Geistiges an sich haben , denn sonst fiele sie ja , als Geistiges , in unser Bewusstsein , wo sie eben nicht da ist , und wo ihr Fehlen erklärt	werden	soll .	die wir schon oben gerügt haben .Auf der andern Seite aber soll die » unbewusste Vorstellung « wieder nichts Geistiges an sich haben , denn sonst fiele sie ja , als Geistiges , in unser Bewusstsein , wo sie eben nicht da ist , und wo ihr Fehlen erklärt werden soll .Denn von einem Übertritt von Psichischem in	638	43	83783-Panizza__Oskar.tsv
VAINF	VAINF		VAINF	werden		Wer mit dem Künstler wegen des Kostüms rechten wollte , der dürfte sich nur sagen , es habe eine Geschichte des sechzehnten Jahrhunderts gemalt	werden	sollen , und so ist alles abgetan .	sind , gegen eine gewisse Miete .Wer mit dem Künstler wegen des Kostüms rechten wollte , der dürfte sich nur sagen , es habe eine Geschichte des sechzehnten Jahrhunderts gemalt werden sollen , und so ist alles abgetan .Übrigens hat Venedig nichts zu besorgen ;	4513	24	32620-Goethe__Johann_Wolfgang.tsv
VAINF	VAINF		VAINF	werden		Harbert und Pencroff eilten auf den Jaguar zu , Nab und Cyrus Smith liefen von der andern Seite herbei , und Alle betrachteten einige Minuten das auf dem Boden liegende Thier , dessen prächtiges Fell eine Zierde des großen Saales im Granithause zu	werden	versprach .	der rechten Wand der Höhle folgte .Harbert und Pencroff eilten auf den Jaguar zu , Nab und Cyrus Smith liefen von der andern Seite herbei , und Alle betrachteten einige Minuten das auf dem Boden liegende Thier , dessen prächtiges Fell eine Zierde des großen Saales im Granithause zu werden versprach .Der Seemann wollte kaum seinen Augen trauen	1116	43	107501-Verne__Jules.tsv
VAINF	VAINF		VAINF	werden		Aber Du weißt , es tut mir weh , wenn ich so schöne Gottesgaben als totes Kapital liegen sehe , die in lebendiges Herzensglück umgesetzt	werden	könnten .	uns der Herr das rechte Glück .Aber Du weißt , es tut mir weh , wenn ich so schöne Gottesgaben als totes Kapital liegen sehe , die in lebendiges Herzensglück umgesetzt werden könnten .Ich habe Gott herzlich gebeten , mir	72	25	110384-Wildermuth__Ottilie.tsv
VAINF	VAINF		VAINF	werden		Staunend über diese neuen Entdeckungen , die sie darauf sich gegenseitig machten , verloren sie zwar die Spur des plötzlich wie verschwundenen flüchtigen Fremden , aber sie sagten doch : Siegbert , erstaunend über die Aufregung des Bruders , konnte nichts als , alle Gegenrede vermeidend , ihn bitten , deutlicher zu	werden	und in Ruhe zu erzählen , was er ihm anzuvertrauen hätte .	Priesterrock und Weihe , wahre Ruhe .Staunend über diese neuen Entdeckungen , die sie darauf sich gegenseitig machten , verloren sie zwar die Spur des plötzlich wie verschwundenen flüchtigen Fremden , aber sie sagten doch : Siegbert , erstaunend über die Aufregung des Bruders , konnte nichts als , alle Gegenrede vermeidend , ihn bitten , deutlicher zu werden und in Ruhe zu erzählen , was er ihm anzuvertrauen hätte .Das Bedürfniß der Beichte ist der Wahrheitsdrang	35527	52	56355-Gutzkow__Karl.tsv
