DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
VMFIN	VMFIN		VMFIN	können		Die erfreuliche Tatsache , daß die von Euer Hochgeboren ins Leben gerufene und der unermüdlichen Leitung Euer Hochgeboren unterstehende Gesellschaft der österreichischen Friedensfreunde bereits auf eine zehnjährige Wirksamkeit zurückblicken	kann	, bewegt mich dazu , Euer Hochgeboren aus diesem Anlaß auf das wärmste zu begrüßen .	Jude der Mörder des kleinen Mannes !Die erfreuliche Tatsache , daß die von Euer Hochgeboren ins Leben gerufene und der unermüdlichen Leitung Euer Hochgeboren unterstehende Gesellschaft der österreichischen Friedensfreunde bereits auf eine zehnjährige Wirksamkeit zurückblicken kann , bewegt mich dazu , Euer Hochgeboren aus diesem Anlaß auf das wärmste zu begrüßen .Auch da waren die Erfolge nur gering	7284	29	102347-Suttner__Bertha_von.tsv
VMFIN	VMFIN		VMFIN	können		Wer in Kanzleien hat kollationieren hören ,	kann	sich eine Vorstellung von dieser Vorlesung machen , schnell , eintönig , aber doch artikuliert und deutlich genug .	zu Wasser auf der Brenta fort .Wer in Kanzleien hat kollationieren hören , kann sich eine Vorstellung von dieser Vorlesung machen , schnell , eintönig , aber doch artikuliert und deutlich genug .ich wüßte nichts , als daß ich	2071	7	32620-Goethe__Johann_Wolfgang.tsv
VMFIN	VMFIN		VMFIN	können		Es waren aber sechs Dutzet altfränkische silberne Tischbecher , ein groß gulden Pokal , etliche Duplet , vier silberne und ein guldenes Salzfaß , eine altfränkische guldne Kette , unterschiedliche Diamanten , Rubinen , Saphiren und Schmaragden , beides in Ringen und andern Kleinodien gefasset ; item ein ganz Lädlein voll großer Perlen , aber alle verdorben oder abgestanden , und dann in einem versporten ledernen Sack achtzig von den ältisten Joachimstalern aus feinem Silber , sodann 893 Goldstücke mit dem französischen Wappen und einem Adler , welche Münze niemand kennen wollte , weil man , wie sie sagten , die Schrift nicht lesen	konnte	.	erst durch den Schuß geöffnet hatte .Es waren aber sechs Dutzet altfränkische silberne Tischbecher , ein groß gulden Pokal , etliche Duplet , vier silberne und ein guldenes Salzfaß , eine altfränkische guldne Kette , unterschiedliche Diamanten , Rubinen , Saphiren und Schmaragden , beides in Ringen und andern Kleinodien gefasset ; item ein ganz Lädlein voll großer Perlen , aber alle verdorben oder abgestanden , und dann in einem versporten ledernen Sack achtzig von den ältisten Joachimstalern aus feinem Silber , sodann 893 Goldstücke mit dem französischen Wappen und einem Adler , welche Münze niemand kennen wollte , weil man , wie sie sagten , die Schrift nicht lesen konnte .Als der Schuß geschehen , wieherte mein	4148	104	50637-Grimmelshausen__Hans_Jakob_Christoffel_von.tsv
VMFIN	VMFIN		VMFIN	können		Wir haben Dich auf- und abwärts in der Galerie gesucht ;	konnten	Dich nicht finden .	Muth , fuhr mein Oheim fort .Wir haben Dich auf- und abwärts in der Galerie gesucht ; konnten Dich nicht finden .Ich mußte mich wohl fügen , und	3040	11	107491-Verne__Jules.tsv
VMFIN	ADJA		VMFIN	mögen		Im Hause herrschte die größte Thätigkeit , da Rosa beschlossen hatte , am nächsten Abend zur Feier des fürstlichen Geburtsfestes einen der glänzendsten Bälle zu geben , der jemals die Zungen der Klatschsüchtigen	mochte	beschäftigt haben .	sich mit dem Scheine der Ehrbarkeit .Im Hause herrschte die größte Thätigkeit , da Rosa beschlossen hatte , am nächsten Abend zur Feier des fürstlichen Geburtsfestes einen der glänzendsten Bälle zu geben , der jemals die Zungen der Klatschsüchtigen mochte beschäftigt haben .* * den 5t April 18 –	2573	33	15087-Bruckbr_u__Friedrich_Wilhelm.tsv
VMFIN	VMFIN		VVFIN	müssen			Mußte	man auch auf die Hoffnung verzichten , in den Polargebieten ebenso goldreiche Gegenden wie etwa Peru aufzufinden , so war das doch noch kein Grund , die Aufsuchung einer Nordwestpassage nach China aufzugeben .	Action nicht ohne Nutzen sein werde .Mußte man auch auf die Hoffnung verzichten , in den Polargebieten ebenso goldreiche Gegenden wie etwa Peru aufzufinden , so war das doch noch kein Grund , die Aufsuchung einer Nordwestpassage nach China aufzugeben .Da Alles , was mit der Geschichte	3619	0	107557-Verne__Jules.tsv
VMFIN	ADJA		VVFIN	müssen		« » Das	mußt	du mir sofort erzählen !	im Cirkus singt : » Hm !« » Das mußt du mir sofort erzählen !Wenn een Wort da ist , so	5115	3	79304-May__Karl.tsv
VMFIN	VVFIN		VVFIN	müssen		Er benahm sich wie einer , der nicht gehört haben will , und sagte : » Willst du für deinen Buben das Erbgut aufrecht halten , so	mußt	du für ihn zur Holdenwehr im Winter einen Ersatzmann stellen .	Der Heiner macht schon alles .Er benahm sich wie einer , der nicht gehört haben will , und sagte : » Willst du für deinen Buben das Erbgut aufrecht halten , so mußt du für ihn zur Holdenwehr im Winter einen Ersatzmann stellen .Da geh mit dem Jakob vom Käser	4783	27	27055-Ganghofer__Ludwig.tsv
VMFIN	VMFIN		VMFIN	müssen		über welches abgelaufene Zeitalter schwebte ihr Geist – auf welcher Staffel der Vergangenheit	mußte	sie mich stehen sehen , als ihre ausgestreckte Hand mir das Bild des sterbenden Heilandes mit der herzzerreißenden Frage vorhielt : Nun diesen Fittich senkt , und kindisch sich verweilt , Auf einen Hügel hebt , Wie sie den bescheidnen Wänden Auf Blumen schwebend sich nur von ihrem Aushauche nährt .	So höre wenigstens mich ihr nachlallen .über welches abgelaufene Zeitalter schwebte ihr Geist – auf welcher Staffel der Vergangenheit mußte sie mich stehen sehen , als ihre ausgestreckte Hand mir das Bild des sterbenden Heilandes mit der herzzerreißenden Frage vorhielt : Nun diesen Fittich senkt , und kindisch sich verweilt , Auf einen Hügel hebt , Wie sie den bescheidnen Wänden Auf Blumen schwebend sich nur von ihrem Aushauche nährt .die geübtesten Wortführer der Natur würden daran	915	13	104263-Th_mmel__Moritz_August_von.tsv
VMFIN	VMFIN		VVFIN	müssen		Du wirst dich gewiß erinnern , daß ich gestern schon fort	mußte	, ehe ich mit dem Mittagessen halb fertig war , und daß es mir am Tag vorher ganz übel wurde , weil ich halbgares Kalbfleisch mit aller Hast herunterschlingen mußte .	war , ein Ehemann zu werden .Du wirst dich gewiß erinnern , daß ich gestern schon fort mußte , ehe ich mit dem Mittagessen halb fertig war , und daß es mir am Tag vorher ganz übel wurde , weil ich halbgares Kalbfleisch mit aller Hast herunterschlingen mußte .» Ich werde dann an weiter nichts	4802	11	22325-Dickens__Charles.tsv
