DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
VMINF	VMINF		VMINF	dürfen		» Sie bitten meine Schwester und mich um Erlaubnis , Mr. Copperfield , als erklärter Bewerber unserer Nichte hier verkehren zu	dürfen	.	Mr. Micawber nochmals hundert Pfund vorzuschießen .» Sie bitten meine Schwester und mich um Erlaubnis , Mr. Copperfield , als erklärter Bewerber unserer Nichte hier verkehren zu dürfen .Mr. Micawbers Vorschläge hinsichtlich der Rückzahlung sollten	2155	21	22325-Dickens__Charles.tsv
VMINF	VMINF		VMINF	dürfen		» Als oberster Kommandant der Truppe hat er die Erlaubnis , mitnehmen zu	dürfen	, wen er will .	einigen Sprossen aus dem Mundloche hervor .» Als oberster Kommandant der Truppe hat er die Erlaubnis , mitnehmen zu dürfen , wen er will .Ich hatte erwartet , hier oben im	7119	13	79311-May__Karl.tsv
VMINF	VMINF		VMINF	dürfen		Mit Einem Wort , diese drey Gemüther , Herr und Frau Friedenberg und Stilling , schlossen sich vest zusammen , wurden ewige Freunde , ohne sich es sagen zu	dürfen	.	umkehrt , und so ganz verändert .Mit Einem Wort , diese drey Gemüther , Herr und Frau Friedenberg und Stilling , schlossen sich vest zusammen , wurden ewige Freunde , ohne sich es sagen zu dürfen .Diese Geschichte ist eine gewisse Wahrheit .	521	29	64912-Jung_Stilling__Johann_Heinrich.tsv
VMINF	VMINF		VMINF	können		Ein Lächeln seiner Göttin war genug , ihn in Vergnügen zu zerschmelzen ; ihre Blicke schienen ihm einen überirdischen Glanz über alles auszugießen , und ihr Atem der ganzen Natur den Geist der Liebe einzuhauchen : Was mußte denn aus ihm werden , da sie zu Vollendung ihres Sieges alles anwendete , was auch den unempfindlichsten unter allen Menschen zu ihren Füßen hätte legen	können	?	ihren ganzen Plan hätte vereiteln können .Ein Lächeln seiner Göttin war genug , ihn in Vergnügen zu zerschmelzen ; ihre Blicke schienen ihm einen überirdischen Glanz über alles auszugießen , und ihr Atem der ganzen Natur den Geist der Liebe einzuhauchen : Was mußte denn aus ihm werden , da sie zu Vollendung ihres Sieges alles anwendete , was auch den unempfindlichsten unter allen Menschen zu ihren Füßen hätte legen können ?Allein auch dieses war nicht genug ;	2445	64	110268-Wieland__Christoph_Martin.tsv
VMINF	VMFIN		VMINF	können		Wolan / so habe ichs wohl verkauffen	können	/ wann ich euch euer Geld schaffe / lieff drauff eylends hin / und holete die bedungene 26 Kronen / welche Peter nach langer Wiederrede und vielem Protestiren zu sich nahm / und seines Weges gieng .	weil er selbiges gleich verkaufft hette .Wolan / so habe ichs wohl verkauffen können / wann ich euch euer Geld schaffe / lieff drauff eylends hin / und holete die bedungene 26 Kronen / welche Peter nach langer Wiederrede und vielem Protestiren zu sich nahm / und seines Weges gieng .Gleich drauff kombt Peter gestieffelt und gesporet	2786	7	3453-Anonym.tsv
VMINF	VMINF		VMINF	können		Dessen sol es nicht bedürffen / sagete er ; bähte nur / ihrer Erklärung eingedenk zu seyn / und redete sie weiter also an : Vielwerte / in ehrer herzgeliebte Freundin als Schwester / daß durch Auffopfferung des boßhafften Kleanders ich ihr ihren Ehegatten geraubet / und sie in den leidigen Witwenstand gesetzet / wird sie nicht leugnen	können	.	wieder gut machen und ersetzen möchte .Dessen sol es nicht bedürffen / sagete er ; bähte nur / ihrer Erklärung eingedenk zu seyn / und redete sie weiter also an : Vielwerte / in ehrer herzgeliebte Freundin als Schwester / daß durch Auffopfferung des boßhafften Kleanders ich ihr ihren Ehegatten geraubet / und sie in den leidigen Witwenstand gesetzet / wird sie nicht leugnen können .Ladisla sagete : Er wolte nicht hoffen	7083	58	15210-Buchholtz__Andreas_Heinrich.tsv
VMINF	VMFIN		VMINF	können		Das währe ungütlich gehandelt / antwortete Valikules ; dañ vor erst haben wir unsere Waffen nicht angelegt / jemand zubeschädigen / sondern bloß zu unser Beschützung / wolten sie auch gerne diese Reise über behalten / oder auffs wenigste so lange / als wir sie verteidigen	können	.	Soldaten- sondern Kauffmans Waaren beladen währen .Das währe ungütlich gehandelt / antwortete Valikules ; dañ vor erst haben wir unsere Waffen nicht angelegt / jemand zubeschädigen / sondern bloß zu unser Beschützung / wolten sie auch gerne diese Reise über behalten / oder auffs wenigste so lange / als wir sie verteidigen können .Die drey Abgeschikte wolten mit dieser Antwort	6048	46	15210-Buchholtz__Andreas_Heinrich.tsv
VMINF	VMINF		VMINF	können		Die andern Florenburger Bürger würden alsdann vor und nach ihre Kinder zu ihm schicken , und die Sache würde sich so zusammenketten , daß man sie auch gegen Stollbeins Willen würde durchsetzen	können	.	um die Sache desto mächtiger durchzusetzen .Die andern Florenburger Bürger würden alsdann vor und nach ihre Kinder zu ihm schicken , und die Sache würde sich so zusammenketten , daß man sie auch gegen Stollbeins Willen würde durchsetzen können .Keylhof war Stollbeins größter Feind ; nun	381	32	64911-Jung_Stilling__Johann_Heinrich.tsv
VMINF	VMFIN		VMINF	können		Von diesem Punkt aus hätten Barbicane und seine Genossen die Erde , wäre sie in vollem Licht gewesen , wieder erblicken	können	.	seinen Zorn nicht länger zurückhalten konnte .Von diesem Punkt aus hätten Barbicane und seine Genossen die Erde , wäre sie in vollem Licht gewesen , wieder erblicken können .sagte Michel , und rückte etwas näher	1686	21	107495-Verne__Jules.tsv
VMINF	VMINF		VMINF	können		– Du Jerusalem , große und weltberühmte Stadt , allwo zu Zeiten Salomonis mehr Silber und Gold als Steiner anzutreffen waren , hast den 8 August Anno Christi 69 den Grimm und Zorn erfahren dieses Elements , indem es dich gänzlich verzehret , ob man zwar dazumalen ehender hätte die Brunst mit Blut löschen	können	, als mit Wasser .	den Eurigen in die Asche gelegt .– Du Jerusalem , große und weltberühmte Stadt , allwo zu Zeiten Salomonis mehr Silber und Gold als Steiner anzutreffen waren , hast den 8 August Anno Christi 69 den Grimm und Zorn erfahren dieses Elements , indem es dich gänzlich verzehret , ob man zwar dazumalen ehender hätte die Brunst mit Blut löschen können , als mit Wasser .Dremedal in Spanien , eine herrliche Kirchfahrt	17408	54	4-Abraham_a_Sancta_Clara.tsv
