DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
VVIMP	ADV		NN	argwohnen		Allen	argwahn	zu vermeiden / ginge er mit zu dem abend-essen / dazu er die Horiten eingeladen worden / dahin auch der Fürst Laban seine beide töchter zu erscheinen vermocht hatte .	bloßen geschichtschreiber zustehet / mir fůrzubrigen .Allen argwahn zu vermeiden / ginge er mit zu dem abend-essen / dazu er die Horiten eingeladen worden / dahin auch der Fürst Laban seine beide töchter zu erscheinen vermocht hatte .( sagte die Königin ) doch hütet	5613	1	3459-Anton_Ulrich_Herzog_von_Braunschweig.tsv
VVIMP	XY		VVFIN	besehen		Aber	besiehe	/ was wir hiervon bei der 8 zeile des 21 blats gesagt .	wird dein gantzer leib liecht sein .Aber besiehe / was wir hiervon bei der 8 zeile des 21 blats gesagt .Daher hat Polemon die Augen / als	5610	1	110854-Zesen__Philipp_von.tsv
VVIMP	VVFIN		VVFIN	entbieten		Der grosse König Artabanus /	entbeut	dem gewaltigen Könige der Böhmen / Herrn Ladisla und dem mächtigen GroßFürsten der Teutschen / Herrn Herkules / seinen geliebten Freunden / Söhne und Schwägern Glük und Heyl .	Meine werte Fr .Der grosse König Artabanus / entbeut dem gewaltigen Könige der Böhmen / Herrn Ladisla und dem mächtigen GroßFürsten der Teutschen / Herrn Herkules / seinen geliebten Freunden / Söhne und Schwägern Glük und Heyl .Die von Eurer Liebe meinem Gemahl und	13113	5	15210-Buchholtz__Andreas_Heinrich.tsv
VVIMP	NE		VVIMP	erzählen			Erzählt	!	als ihn seine Bedeckung verlassen hat .Erzählt !« » Wißt Ihr das genau ,	10828	0	79314-May__Karl.tsv
VVIMP	XY		VVIMP	geben		» Dir	gib	i scho an Bazi ... « murrte Peter .	Was nacha ?» Dir gib i scho an Bazi ... « murrte Peter .« » Ah so !	3111	2	104499-Thoma__Ludwig.tsv
VVIMP	VVFIN		VVFIN	halten		Da wedelte der Pudel , kletterte in die Birke , brach das Blatt mit seiner krausen Pfote und gab es dem König , indem er sagte : »	Halte	aber ja Wort ; denn sonst geht es nicht gut !	, so sollst du es haben .Da wedelte der Pudel , kletterte in die Birke , brach das Blatt mit seiner krausen Pfote und gab es dem König , indem er sagte : » Halte aber ja Wort ; denn sonst geht es nicht gut !» Ach « , versetzte der König	47	28	18677-Colshorn__Carl_und_Theodor.tsv
VVIMP	NN		VVIMP	hören			Hört	!	, um euch helfen zu können .Hört !Ich haßte darum daß ihr bey Krüger	643	0	64911-Jung_Stilling__Johann_Heinrich.tsv
VVIMP	NE		VVIMP	hören			Hört	es , ihr Leute , der berühmte Shatterhand fürchtet sich ; er hat Angst !	seit wir gefangen genommen worden sind ?Hört es , ihr Leute , der berühmte Shatterhand fürchtet sich ; er hat Angst !Er erkannte mich , sowie ich ihn	5925	0	79311-May__Karl.tsv
VVIMP	NE		VVFIN	hören		Daniel ging hinüber zum Brunnen , da kam der Nachtwächter daher , blies sein Pfeifchen und sang : »	Hört	ihr Herrn und laßt euch sagen , unsre Glock hat zwei geschlagen .	wütende Beschimpfungen gegen den Buchhändler aus .Daniel ging hinüber zum Brunnen , da kam der Nachtwächter daher , blies sein Pfeifchen und sang : » Hört ihr Herrn und laßt euch sagen , unsre Glock hat zwei geschlagen .In der Nähe des Schimmelweisschen Ladens angelangt	8837	19	108454-Wassermann__Jakob.tsv
VVIMP	VVIMP		VVIMP	lassen			Laßt	uns keine Zeit verlieren , ihn auszuführen !	zu thun und zu sagen habe .Laßt uns keine Zeit verlieren , ihn auszuführen !Uebrigens ist es nicht nötig , schon	2381	0	79310-May__Karl.tsv
