DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
$(	NE		NE	"		Ich habe schon im vergangenen Jahre in Neapel ( 1821 ) die Beobachtung gemacht , daß ausgezeichnete Musik – auch ein gutes Ballett , ich denke an » Othello « und » Die Vestalin	«	, Balletts von Viganò , – mich an das denken macht , was tagsüber schon der Gegenstand meiner Träumereien war , und daß ich dabei meine besten Einfälle habe .	, in eine köstliche Frucht verwandelt .Ich habe schon im vergangenen Jahre in Neapel ( 1821 ) die Beobachtung gemacht , daß ausgezeichnete Musik – auch ein gutes Ballett , ich denke an » Othello « und » Die Vestalin « , Balletts von Viganò , – mich an das denken macht , was tagsüber schon der Gegenstand meiner Träumereien war , und daß ich dabei meine besten Einfälle habe .Ist unsre Geliebte unsre vertrauteste Freundin geworden	2182	34	99251-Stendhal.tsv
$(	FM		NE	"			«	» Warum hier ?	einige Augenblicke zu mir , Effendi !« » Warum hier ?Sie hat einige Eigenschaften , welche mein	10842	0	79308-May__Karl.tsv
$(	NN		XY	"			«	Der Lange trug sie hin und sprach » ich wollte ihn wohl herausholen , wenn ich ihn nur sehen könnte .	geholt werden , nun schafft Rat .« Der Lange trug sie hin und sprach » ich wollte ihn wohl herausholen , wenn ich ihn nur sehen könnte .» Daß du mir einen Ring herbeibringst	31	0	50958-Grimm__Jacob_und_Wilhelm.tsv
$(	NE		NE	"			«	rief der Bursche an der Wand .	, die über dem Bettpfosten hing .« rief der Bursche an der Wand .» Jetzt erzähle ich , was mir	1135	0	13722-Bj_rnson__Bj_rnstjerne.tsv
$(	NE		NE	"			«	» Ein Mensch !	» Raten Sie !« » Ein Mensch !« Die Wahrheit dieser Ansicht leuchtete allen	5354	0	79314-May__Karl.tsv
$(	NE		NE	"		Ich habe schon im vergangenen Jahre in Neapel ( 1821 ) die Beobachtung gemacht , daß ausgezeichnete Musik – auch ein gutes Ballett , ich denke an » Othello « und	»	Die Vestalin « , Balletts von Viganò , – mich an das denken macht , was tagsüber schon der Gegenstand meiner Träumereien war , und daß ich dabei meine besten Einfälle habe .	, in eine köstliche Frucht verwandelt .Ich habe schon im vergangenen Jahre in Neapel ( 1821 ) die Beobachtung gemacht , daß ausgezeichnete Musik – auch ein gutes Ballett , ich denke an » Othello « und » Die Vestalin « , Balletts von Viganò , – mich an das denken macht , was tagsüber schon der Gegenstand meiner Träumereien war , und daß ich dabei meine besten Einfälle habe .Ist unsre Geliebte unsre vertrauteste Freundin geworden	2182	31	99251-Stendhal.tsv
$(	NE		NE	"		«	»	Warum hier ?	einige Augenblicke zu mir , Effendi !« » Warum hier ?Sie hat einige Eigenschaften , welche mein	10842	1	79308-May__Karl.tsv
$(	NE		NE	"		Dit künn dei Mann yrst recht nich fåten un saer tau dei Fruu :	»	Ja , Koenich sin is doch nich slicht !	un haer ne groote Kroon up .Dit künn dei Mann yrst recht nich fåten un saer tau dei Fruu : » Ja , Koenich sin is doch nich slicht !« – Un as dei Mann hen	125	14	64836-Jahn__Ulrich.tsv
$(	NE		NE	"		« Der Lange trug sie hin und sprach	»	ich wollte ihn wohl herausholen , wenn ich ihn nur sehen könnte .	geholt werden , nun schafft Rat .« Der Lange trug sie hin und sprach » ich wollte ihn wohl herausholen , wenn ich ihn nur sehen könnte .» Daß du mir einen Ring herbeibringst	31	8	50958-Grimm__Jacob_und_Wilhelm.tsv
$(	NE		NE	"		«	»	Ein Mensch !	» Raten Sie !« » Ein Mensch !« Die Wahrheit dieser Ansicht leuchtete allen	5354	1	79314-May__Karl.tsv
$(	VVFIN		NE	"			»	Ich wünschte ja nur deshalb , sie nur leicht von euch bestraft zu sehen , damit sie mir für eine schwere Sühne übrigbleiben .	« » Wer ?» Ich wünschte ja nur deshalb , sie nur leicht von euch bestraft zu sehen , damit sie mir für eine schwere Sühne übrigbleiben .Einem höflichen Worte aber wird mein Ohr	5619	0	79322-May__Karl.tsv
$(	VVFIN		NE	"			»	Ich habe schon gefürchtet , daß ich dich heute nicht mehr sehen würde .	« » Ja , Papa !» Ich habe schon gefürchtet , daß ich dich heute nicht mehr sehen würde .« » Tätst mir harb sein ?	9674	0	27054-Ganghofer__Ludwig.tsv
$(	KON		KON	&		so viel davon : Gigantæus mons etiam propter metalla	&	lapillos clarus , etiam ab Italis scripto celebratos ; Hactenus Auri , argenti , Æris , Germmarum , indicia ostendit , magnum utilitatis fructū nondum præbuit .	, sicut Priscillianus dixit , anathemasit .so viel davon : Gigantæus mons etiam propter metalla & lapillos clarus , etiam ab Italis scripto celebratos ; Hactenus Auri , argenti , Æris , Germmarum , indicia ostendit , magnum utilitatis fructū nondum præbuit .Mit Johann. I. und der Herr sandte	583	9	85695-Praetorius__Johannes.tsv
$(	VVFIN		VVFIN	-		Ich habe schon im vergangenen Jahre in Neapel ( 1821 ) die Beobachtung gemacht , daß ausgezeichnete Musik – auch ein gutes Ballett , ich denke an » Othello « und » Die Vestalin « , Balletts von Viganò ,	–	mich an das denken macht , was tagsüber schon der Gegenstand meiner Träumereien war , und daß ich dabei meine besten Einfälle habe .	, in eine köstliche Frucht verwandelt .Ich habe schon im vergangenen Jahre in Neapel ( 1821 ) die Beobachtung gemacht , daß ausgezeichnete Musik – auch ein gutes Ballett , ich denke an » Othello « und » Die Vestalin « , Balletts von Viganò , – mich an das denken macht , was tagsüber schon der Gegenstand meiner Träumereien war , und daß ich dabei meine besten Einfälle habe .Ist unsre Geliebte unsre vertrauteste Freundin geworden	2182	40	99251-Stendhal.tsv
$(	ADJD		NE	-			–	Hypothesen sind Wesen , die vater- und mutterlos sind , die indeß Vernunft und Erfahrung zu natürlichen Vormündern haben .	Mensch , der ohne Täuschungen wäre ?– Hypothesen sind Wesen , die vater- und mutterlos sind , die indeß Vernunft und Erfahrung zu natürlichen Vormündern haben .– Doch glaub' ich mich an dem	5153	0	62296-Hippel__Theodor_Gottlieb_von.tsv
$(	VVFIN		VVINF	-		Die Gefangene	–	denn es war eine weibliche Stimme , welche ich vernommen hatte – hatte mit ihren Worten wohl ihre letzten Kräfte erschöpft .	« » Wo hast du ihn ?Die Gefangene – denn es war eine weibliche Stimme , welche ich vernommen hatte – hatte mit ihren Worten wohl ihre letzten Kräfte erschöpft .Von hier bis Wam-poa braucht ein Dampfer	1861	2	79318-May__Karl.tsv
$(	NE		NE	-		Die Gefangene – denn es war eine weibliche Stimme , welche ich vernommen hatte	–	hatte mit ihren Worten wohl ihre letzten Kräfte erschöpft .	« » Wo hast du ihn ?Die Gefangene – denn es war eine weibliche Stimme , welche ich vernommen hatte – hatte mit ihren Worten wohl ihre letzten Kräfte erschöpft .Von hier bis Wam-poa braucht ein Dampfer	1861	14	79318-May__Karl.tsv
$(	NN		NE	-			–	In faden Harmlosigkeiten freilich darf ich mich dabei nicht ergehen , auf einige Verblüffung läuft es immer hinaus – dem Geschmack der Zeit muß man Konzessionen machen ... man muß ... Welcher Künstler ist groß geworden und hat das nicht getan ?	läßt sich darin nicht finden !.. .– In faden Harmlosigkeiten freilich darf ich mich dabei nicht ergehen , auf einige Verblüffung läuft es immer hinaus – dem Geschmack der Zeit muß man Konzessionen machen ... man muß ... Welcher Künstler ist groß geworden und hat das nicht getan ?Jetzt sind Sie 's nicht .	479	0	23119-Ebner_Eschenbach__Marie_von.tsv
$(	APPR		NE	-		– In faden Harmlosigkeiten freilich darf ich mich dabei nicht ergehen , auf einige Verblüffung läuft es immer hinaus	–	dem Geschmack der Zeit muß man Konzessionen machen ... man muß ... Welcher Künstler ist groß geworden und hat das nicht getan ?	läßt sich darin nicht finden !.. .– In faden Harmlosigkeiten freilich darf ich mich dabei nicht ergehen , auf einige Verblüffung läuft es immer hinaus – dem Geschmack der Zeit muß man Konzessionen machen ... man muß ... Welcher Künstler ist groß geworden und hat das nicht getan ?Jetzt sind Sie 's nicht .	479	19	23119-Ebner_Eschenbach__Marie_von.tsv
