DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
APPO	VVFIN		APPO	entgegen		« » Wer den Sinn für sie mitbringt , dem schwebt ihr Geist	entgegen	auch vom Thautropfen , der am Grashalm hängt , er wiegt sich in den Aehren , über die der Wind hinspielt .	herzlich gern Anderen ihre Erfahrung mit .« » Wer den Sinn für sie mitbringt , dem schwebt ihr Geist entgegen auch vom Thautropfen , der am Grashalm hängt , er wiegt sich in den Aehren , über die der Wind hinspielt .So halb polnische Rasse .	7527	13	966-Alexis__Willibald.tsv
APPO	PTKVZ		APPO	entgegen		Hilf , Heilige von Falkenstein , Ihr raubte das Entsetzen Wenn ihm das Sprüchelchen : Steh , Wandrer , still und weine , Der Lüsternheit	entgegen	sproß .	ziert , zerfließt in reuigen Thränen .Hilf , Heilige von Falkenstein , Ihr raubte das Entsetzen Wenn ihm das Sprüchelchen : Steh , Wandrer , still und weine , Der Lüsternheit entgegen sproß .» Ach , Hoch – ehr –	10156	25	104263-Th_mmel__Moritz_August_von.tsv
APPO	PTKVZ		APPO	entgegen		Nicht blos den Festen des Lebens – wie ich Ihnen nach Baden schrieb – auch dessen Kämpfen und Schlachten muß man mit dem Panzer einer stählernen Gesundheit	entgegen	gehen .	Stunden , bat ich ihn unterweges .Nicht blos den Festen des Lebens – wie ich Ihnen nach Baden schrieb – auch dessen Kämpfen und Schlachten muß man mit dem Panzer einer stählernen Gesundheit entgegen gehen .Sedlaczech und ich – wir haben einen	4751	27	57424-Hahn_Hahn__Ida_Gr_fin_von.tsv
APPO	APPO		APPO	entgegen		Lassen Sie sie freudvoll und leidvoll , unter Hangen und Bangen , ihrem Schicksal	entgegen	hüpfen .	Es fügt sich so manches .Lassen Sie sie freudvoll und leidvoll , unter Hangen und Bangen , ihrem Schicksal entgegen hüpfen .Und – wer weiß , wie Sie	4993	14	966-Alexis__Willibald.tsv
APPO	APPR		APPO	entgegen		« – Er sprang die Treppe hinan und wollte die Gemächer der Fürstin betreten , als vier Lanzen sich ihm und dem mordlustigen Haufen	entgegen	kreuzten .	: » Dann sind sie mein !« – Er sprang die Treppe hinan und wollte die Gemächer der Fürstin betreten , als vier Lanzen sich ihm und dem mordlustigen Haufen entgegen kreuzten .« – » Nein , Gospodin ,	1833	24	31528-Goedsche__Herrmann.tsv
APPO	APPR		APPO	entlang		Er flog mehr als er ging über den Kies zur Allee hin , durchquerte sie kaum zehn Schritte weit von Casanova , der , den Atem anhaltend , unter der Bank lag , und eilte dann jenseits der Allee , wo ein schmaler Wiesenstreif die Mauer	entlang	lief , den Blicken Casanovas entschwindend , nach rückwärts .	Mund , das gleich wieder erstarrte .Er flog mehr als er ging über den Kies zur Allee hin , durchquerte sie kaum zehn Schritte weit von Casanova , der , den Atem anhaltend , unter der Bank lag , und eilte dann jenseits der Allee , wo ein schmaler Wiesenstreif die Mauer entlang lief , den Blicken Casanovas entschwindend , nach rückwärts .Nun erst , als wären sie plötzlich	60	46	97229-Schnitzler__Arthur.tsv
APPO	ADV		APPO	gegenüber		Auf der Insel Carneral angelangt , beschloß sie Texar	gegenüber	zu treten , ihn um Mitleid , wenn nicht für sie , doch für das bedauernswerthe Kind anzuflehen , und wenn das von ihm abprallte , ihn durch Zusicherung gewisser Vortheile zu gewinnen .	den Generalmajor Georges Mac Clellan über .Auf der Insel Carneral angelangt , beschloß sie Texar gegenüber zu treten , ihn um Mitleid , wenn nicht für sie , doch für das bedauernswerthe Kind anzuflehen , und wenn das von ihm abprallte , ihn durch Zusicherung gewisser Vortheile zu gewinnen .Diese unglückliche Affaire wird jedoch bald durch	1875	9	107518-Verne__Jules.tsv
APPO	APPO		APPO	gegenüber		Keine Mademoiselle legte meiner Freiheit Zügel an ; meine Tante fand mich zwar » schlecht erzogen « , weil ich nicht ruhig mit meiner Handarbeit neben ihr saß , und ließ es meiner Mutter	gegenüber	an Anspielungen darauf nicht fehlen , aber da sie mit Kindern gar nichts anzufangen verstand , ließ sie mich laufen und beschränkte ihre Erziehungskünste auf strenge Toilettenvorschriften , wenn ich zu Tisch erschien oder mit ihr spazieren fuhr .	Tages , steigerte sich diese Empfindung .Keine Mademoiselle legte meiner Freiheit Zügel an ; meine Tante fand mich zwar » schlecht erzogen « , weil ich nicht ruhig mit meiner Handarbeit neben ihr saß , und ließ es meiner Mutter gegenüber an Anspielungen darauf nicht fehlen , aber da sie mit Kindern gar nichts anzufangen verstand , ließ sie mich laufen und beschränkte ihre Erziehungskünste auf strenge Toilettenvorschriften , wenn ich zu Tisch erschien oder mit ihr spazieren fuhr .» Denn nur eins wünsch' ich mir	1995	34	14315-Braun__Lily.tsv
APPO	APPO		APPO	gegenüber		Der Großmutter	gegenüber	lächelte er ; nur als ihre Hand beim Willkommen kosend über seine Haare strich , zuckte es schmerzlich um seine schmaler gewordenen Lippen .	war sie ihm , wie weltenfern !Der Großmutter gegenüber lächelte er ; nur als ihre Hand beim Willkommen kosend über seine Haare strich , zuckte es schmerzlich um seine schmaler gewordenen Lippen .Daß Leonie nur mit einem demütigen »	5872	2	14314-Braun__Lily.tsv
APPO	APPR		ADV	gegenüber		Diesem	gegenüber	lag ein Bund frisches Stroh .	, aber die Stube nicht aufgeräumt .Diesem gegenüber lag ein Bund frisches Stroh .Glaser Weidenhammer war nicht zu Haus ;	4189	1	4089-Arnim__Bettina_von.tsv
