DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
APZR	APZR		APZR	an		« Von nun	an	war Erdmuthe überaus heiter , der Knecht und die Magd berichteten , man habe gar nicht gewußt , welch ein lustiger Vogel die Erdmuthe sei ; sie trällere den ganzen Tag und wisse beim Ausruhen gar wunderbare Geschichten zu erzählen , daß man sich wie in einer andern Welt vorkäme und jede Arbeit gehe ihr so flink von der Hand , als hätte sie schon Jahre lang die schwersten Geschäfte verrichtet .	wieder abgerundete Ackerflächen zusammengelegt werden sollten .« Von nun an war Erdmuthe überaus heiter , der Knecht und die Magd berichteten , man habe gar nicht gewußt , welch ein lustiger Vogel die Erdmuthe sei ; sie trällere den ganzen Tag und wisse beim Ausruhen gar wunderbare Geschichten zu erzählen , daß man sich wie in einer andern Welt vorkäme und jede Arbeit gehe ihr so flink von der Hand , als hätte sie schon Jahre lang die schwersten Geschäfte verrichtet .Spürte er vielleicht die Blutsverwandtschaft ?	493	3	5256-Auerbach__Berthold.tsv
APZR	APZR		APZR	an		Meine Erstaunung hierüber war unsäglich , doch , ich glaube eine besondere Krafft des Himmels , stärckte mich augenblicklich dermassen , daß ich ihr den Rath gab , allen seinen Anfällen aufs äuserste zu widerstreben , im übrigen sich auf meinen Beystand gäntzlich zu verlassen ; weiln ich von nun	an	fleißig auf sie Acht haben , und ehe mich um mein Leben , als sie um ihre Ehre bringen lassen wolte .	bald aus dem Wege räumen wolle .Meine Erstaunung hierüber war unsäglich , doch , ich glaube eine besondere Krafft des Himmels , stärckte mich augenblicklich dermassen , daß ich ihr den Rath gab , allen seinen Anfällen aufs äuserste zu widerstreben , im übrigen sich auf meinen Beystand gäntzlich zu verlassen ; weiln ich von nun an fleißig auf sie Acht haben , und ehe mich um mein Leben , als sie um ihre Ehre bringen lassen wolte .wolte sie haben , daß er ihr	9924	50	97159-Schnabel__Johann_Gottfried.tsv
APZR	APPR		APZR	aus		An dem Ort , der allein Leben ausspendete , sollte das Kostbarste verwahrt werden , das sie besaß , von seiner Ruhestätte	aus	sollte sich Segen verbreiten , und die fromme Dankbarkeit vielleicht einst in fernen Jahrhunderten , wo so gern alle Geschichten die Gestalt der Fabel und des Wunderbaren annehmen , diese einzige Quelle als ein Geschenk des verehrten Mannes betrachten , der hier nach seinem heldenmüthigen Tod Ruhe gefunden hatte .	sie sein verborgenes Grab machen lassen .An dem Ort , der allein Leben ausspendete , sollte das Kostbarste verwahrt werden , das sie besaß , von seiner Ruhestätte aus sollte sich Segen verbreiten , und die fromme Dankbarkeit vielleicht einst in fernen Jahrhunderten , wo so gern alle Geschichten die Gestalt der Fabel und des Wunderbaren annehmen , diese einzige Quelle als ein Geschenk des verehrten Mannes betrachten , der hier nach seinem heldenmüthigen Tod Ruhe gefunden hatte .Unfern von Laureacum erheben sich in Südwesten	3788	22	84972-Pichler__Karoline.tsv
APZR	APZR		PTKVZ	aus		Von dort	aus	, hatte ihm Anna gesagt , könne man einen weiten , freien Blick über das ganze Tal genießen , und rasch beschloß er , nicht erst den Oheim abzuwarten , sondern im Genuß einer herrlichen Aussicht auf jener Waldecke seinen Gedanken nachzuhängen .	den andern Teil des Tales verdeckte .Von dort aus , hatte ihm Anna gesagt , könne man einen weiten , freien Blick über das ganze Tal genießen , und rasch beschloß er , nicht erst den Oheim abzuwarten , sondern im Genuß einer herrlichen Aussicht auf jener Waldecke seinen Gedanken nachzuhängen .« Der junge Mann war unter diesen	1164	2	58305-Hauff__Wilhelm.tsv
APZR	APZR		PTKVZ	her		Aber hie muß man länger nicht seumẽ / ob die flüchtigen vielleicht noch könten erhaschet werden ; lieff also aus ganzen kräften vor den andern	her	/ daß ihm der Odem stehen blieb ; und wie er in des Königes Gemach trat / und denselben so traurig sahe / fiel er zu seinen Füssen in Ohmacht als ein Todter Mensch nider .	vorstellen / sind mir nicht unangenehm .Aber hie muß man länger nicht seumẽ / ob die flüchtigen vielleicht noch könten erhaschet werden ; lieff also aus ganzen kräften vor den andern her / daß ihm der Odem stehen blieb ; und wie er in des Königes Gemach trat / und denselben so traurig sahe / fiel er zu seinen Füssen in Ohmacht als ein Todter Mensch nider .Dieser erinnerte sich zwar seiner Sünde /	15867	25	15210-Buchholtz__Andreas_Heinrich.tsv
APZR	ADV		APZR	her		Dem Küster hätte der größte Irrenarzt von Europa ein schriftliches Zeugnis einhändigen können , daß der Schulmeister bei Sinnen sei , es würde ihm doch nicht wohl geworden sein in der Nähe dieses Menschen , der mit so gefährlichen Werkzeugen , wie Schüsseln , Tellern , Messern , unbewacht um ihn	her	hantierte .	Verlegenheit , der andere aus Furcht .Dem Küster hätte der größte Irrenarzt von Europa ein schriftliches Zeugnis einhändigen können , daß der Schulmeister bei Sinnen sei , es würde ihm doch nicht wohl geworden sein in der Nähe dieses Menschen , der mit so gefährlichen Werkzeugen , wie Schüsseln , Tellern , Messern , unbewacht um ihn her hantierte .Verlasset euch nicht **** auf die Kinder	10627	51	64595-Immermann__Karl.tsv
APZR	APZR		APZR	her		Dann sollte er , wenn er es für angezeigt hielte , nach Neuseeland gehen , bei den Gesellschaftsinseln rasten und daselbst den Tahitier Mai ausschiffen , ferner Neu-England besuchen , aber alle spanischen Besitzungen in Amerika vermeiden und durch das arktische Eismeer nach der Hudsons- und Bassins-Bai vordringen , mit anderen Worten , die Nordwest-Passage von Osten	her	aufsuchen .	sechzig Mann bestehende Abtheilung erfolgt wäre .Dann sollte er , wenn er es für angezeigt hielte , nach Neuseeland gehen , bei den Gesellschaftsinseln rasten und daselbst den Tahitier Mai ausschiffen , ferner Neu-England besuchen , aber alle spanischen Besitzungen in Amerika vermeiden und durch das arktische Eismeer nach der Hudsons- und Bassins-Bai vordringen , mit anderen Worten , die Nordwest-Passage von Osten her aufsuchen .« ( Tacouri hat Marion erschlagen !	1151	57	107558-Verne__Jules.tsv
APZR	APZR		APZR	her		– Der Morgen warf unterdes wirklich schon vom Meere	her	ungewisse Scheine über den dämmernden Himmel , hin und wieder erwachten schon frühe Vögel im Walde , alle Wipfel fingen an sich frischer zu rühren .	Sonnenaufgang in den großen Wald fortzogen .– Der Morgen warf unterdes wirklich schon vom Meere her ungewisse Scheine über den dämmernden Himmel , hin und wieder erwachten schon frühe Vögel im Walde , alle Wipfel fingen an sich frischer zu rühren .Es wurde schnell alles vorbereitet .	1541	9	24821-Eichendorff__Joseph_von.tsv
APZR	APZR		APZR	her		Nach zwei Tagen wurde um einen Pfahl	her	ein Feuer angemacht , darin man die Hexe vor aller Leute Augen so lange braten ließ , bis sie todt war .	der blieb trotz ernster Warnung da .Nach zwei Tagen wurde um einen Pfahl her ein Feuer angemacht , darin man die Hexe vor aller Leute Augen so lange braten ließ , bis sie todt war .In einer Mühle im Dorfe kamen allezeit	8	7	15795-Busch__Wilhelm.tsv
APZR	ADV		APZR	her		Da nahten sich von unten	her	eilige Schritte ; ein Mann blieb nahe dem Orte stehen und klatschte leise in die Hände .	« » Du bist ein Esel !Da nahten sich von unten her eilige Schritte ; ein Mann blieb nahe dem Orte stehen und klatschte leise in die Hände .» Der Alte ist und bleibt bei	482	5	79338-May__Karl.tsv
