DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
ART	ART		ART	d			Das	Rotwerden war nun an mir , und ich sagte nichts mehr während der übrigen Zeit , die man am Tische zubrachte .	aus Reue gern den Knochen verschlungen .Das Rotwerden war nun an mir , und ich sagte nichts mehr während der übrigen Zeit , die man am Tische zubrachte .Ich behielt nun freilich wieder recht in	2678	0	66066-Keller__Gottfried.tsv
ART	ART		ART	d		Da sagte der Jäger Jürge : › Ach , bittet hier die gute alte Mutter , daß sie doch morgen mit dem Töchterlein ihrer seligen Base bei meinem Rechte zugegen sein mögen ; das wird mir	das	Herz stärken in meiner letzten Stunde .	, er wolle mit ihm beten .Da sagte der Jäger Jürge : › Ach , bittet hier die gute alte Mutter , daß sie doch morgen mit dem Töchterlein ihrer seligen Base bei meinem Rechte zugegen sein mögen ; das wird mir das Herz stärken in meiner letzten Stunde .« Er hieß mich zu seiner Köchin	495	36	14643-Brentano__Clemens.tsv
ART	ART		ART	d		Da sagte der Jäger Jürge : › Ach , bittet hier die gute alte Mutter , daß sie doch morgen mit	dem	Töchterlein ihrer seligen Base bei meinem Rechte zugegen sein mögen ; das wird mir das Herz stärken in meiner letzten Stunde .	, er wolle mit ihm beten .Da sagte der Jäger Jürge : › Ach , bittet hier die gute alte Mutter , daß sie doch morgen mit dem Töchterlein ihrer seligen Base bei meinem Rechte zugegen sein mögen ; das wird mir das Herz stärken in meiner letzten Stunde .« Er hieß mich zu seiner Köchin	495	21	14643-Brentano__Clemens.tsv
ART	ART		ART	d		Denn wie er keinen Paßport bey	dem	Gouverneur auf zuweisen hatte / sagte dieser mit einer zwar höflichen doch unanständigen Mine ; er möchte sich so lange gedulten / biß auf gethanen Bericht andre Ordre deswegen vor Sr. Majestät einlieffe / weil ihm bey hoher Lebens-Straffe und sonder Betrachtung des Standes gebothen / diesen Befehl genau nachzukommen .	die andern Gefangenen vor Renardens Zimmer .Denn wie er keinen Paßport bey dem Gouverneur auf zuweisen hatte / sagte dieser mit einer zwar höflichen doch unanständigen Mine ; er möchte sich so lange gedulten / biß auf gethanen Bericht andre Ordre deswegen vor Sr. Majestät einlieffe / weil ihm bey hoher Lebens-Straffe und sonder Betrachtung des Standes gebothen / diesen Befehl genau nachzukommen .Wie nun Rosantes seinen Fürstlichen Stand offenbahret	1374	6	64549-Hunold__Christian_Friedrich.tsv
ART	ART		ART	d		Serra , ein Meer-Fisch / hat seinen Nahmen von der That / dann Serra heißt ein Sägen : der Fisch aber solle auf	dem	Rucken so scharpffe Stachlen haben / daß / wann er unter einem Schiff herschwimmt / und sich an selbem sehr starck reibet / es durchschneiden möge .	dritten Tag wird er uns auferwecken .Serra , ein Meer-Fisch / hat seinen Nahmen von der That / dann Serra heißt ein Sägen : der Fisch aber solle auf dem Rucken so scharpffe Stachlen haben / daß / wann er unter einem Schiff herschwimmt / und sich an selbem sehr starck reibet / es durchschneiden möge .Und dises ist / was der Prophet	8555	23	68510-Kobolt__Willibald.tsv
ART	ART		ART	d		Seine jugendfrische Schönheit übermannte sie , die wahre Liebe hielt ihren Einzug , und hätte nicht ihre königliche Majestät	dem	im Wege gestanden , so würde sie die verlockenden Bäckchen , die wie zweifrische Apfel schimmerten , sofort abgeküßt haben .	Anmut eines zuckersüßen kleinen kichernden Backfischs .Seine jugendfrische Schönheit übermannte sie , die wahre Liebe hielt ihren Einzug , und hätte nicht ihre königliche Majestät dem im Wege gestanden , so würde sie die verlockenden Bäckchen , die wie zweifrische Apfel schimmerten , sofort abgeküßt haben .Er war schlank , aufrecht wie eine	12	19	6235-Balzac__Honor__de.tsv
ART	ART		ART	d		Wirklich wurden ihm zwei Jahre später einige Goldproben aus Neu-Süd-Wales zugesendet , und er entschied die Auswanderung einer großen Anzahl Arbeiter aus Cornwallis nach	den	Goldregionen Neu-Hollands .	werden ihn wiederfinden , nicht wahr ?Wirklich wurden ihm zwei Jahre später einige Goldproben aus Neu-Süd-Wales zugesendet , und er entschied die Auswanderung einer großen Anzahl Arbeiter aus Cornwallis nach den Goldregionen Neu-Hollands .erwiderte Paganel , und rieb sie heftig	1071	24	107493-Verne__Jules.tsv
ART	ART		ART	d		Da sagte	der	Jäger Jürge : › Ach , bittet hier die gute alte Mutter , daß sie doch morgen mit dem Töchterlein ihrer seligen Base bei meinem Rechte zugegen sein mögen ; das wird mir das Herz stärken in meiner letzten Stunde .	, er wolle mit ihm beten .Da sagte der Jäger Jürge : › Ach , bittet hier die gute alte Mutter , daß sie doch morgen mit dem Töchterlein ihrer seligen Base bei meinem Rechte zugegen sein mögen ; das wird mir das Herz stärken in meiner letzten Stunde .« Er hieß mich zu seiner Köchin	495	2	14643-Brentano__Clemens.tsv
ART	ART		ART	d		Ich beginne zur Ansicht	der	Männer zu neigen : Was für ein erbärmliches Ding ist doch Frauentugend !	Stimme des Fleisches die des Geistes ?Ich beginne zur Ansicht der Männer zu neigen : Was für ein erbärmliches Ding ist doch Frauentugend !Vermag so ein plötzliches Aufwallen des Blutes	1786	4	27165-Gautier__Th_ophile.tsv
ART	ART		ART	d		Serra , ein Meer-Fisch / hat seinen Nahmen von	der	That / dann Serra heißt ein Sägen : der Fisch aber solle auf dem Rucken so scharpffe Stachlen haben / daß / wann er unter einem Schiff herschwimmt / und sich an selbem sehr starck reibet / es durchschneiden möge .	dritten Tag wird er uns auferwecken .Serra , ein Meer-Fisch / hat seinen Nahmen von der That / dann Serra heißt ein Sägen : der Fisch aber solle auf dem Rucken so scharpffe Stachlen haben / daß / wann er unter einem Schiff herschwimmt / und sich an selbem sehr starck reibet / es durchschneiden möge .Und dises ist / was der Prophet	8555	9	68510-Kobolt__Willibald.tsv
