DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
CARD	CARD		CARD	16		Im Attischen Drama wurde die ursprüngliche rohe Energie der wirklichen Natur , in welcher die entgegengesetzten Elemente durchgängig ineinander verschmolzen sind , in die tragische und komische Energie getrennt , und diese dann von neuem so gemischt , daß das Tragische ein geringes Übergewicht hatte	16	: denn bei völligem Gleichgewicht würden die beiden entgegengesetzten Kräfte durch ihr Zusammentreffen sich selbst aufheben .	mit einer Spielart der Griechischen übereinstimmt .Im Attischen Drama wurde die ursprüngliche rohe Energie der wirklichen Natur , in welcher die entgegengesetzten Elemente durchgängig ineinander verschmolzen sind , in die tragische und komische Energie getrennt , und diese dann von neuem so gemischt , daß das Tragische ein geringes Übergewicht hatte 16 : denn bei völligem Gleichgewicht würden die beiden entgegengesetzten Kräfte durch ihr Zusammentreffen sich selbst aufheben .Selbst die Spielart hat zwar geringere Ansprüche	690	45	97139-Schlegel__Friedrich.tsv
CARD	CARD		CARD	1684		Am 21. Floreal des nämlichen Jahres befiehlt die Gemeinde , die mitgeteilte Nachricht , daß man	1684	Staatsverbrecher guillotiniert oder erschossen habe , wäre im Protokolle mit Ehren zu erwähnen !	die Liste der gefangenen Personen ein .Am 21. Floreal des nämlichen Jahres befiehlt die Gemeinde , die mitgeteilte Nachricht , daß man 1684 Staatsverbrecher guillotiniert oder erschossen habe , wäre im Protokolle mit Ehren zu erwähnen !Ein Mitglied des Gemeinderats bringt einige Wochen	134	16	6288-B_rne__Ludwig.tsv
CARD	CARD		CARD	17			17	Er wird nicht sehen die Ströme noch die wasserbeche / die mit honig vnd butter fliessen .	wird der Ottern galle saugen 2 .17 Er wird nicht sehen die Ströme noch die wasserbeche / die mit honig vnd butter fliessen .14 Seine speise inwendig im Leibe wird	36857	0	78101-Luther__Martin.tsv
CARD	CARD		CARD	1722		« Und wem gefällt nicht folgendes Gemählde von einem alten Weibe , in dem Neujahrs-Gedichte von	1722	.	warffen sich vorwerts auf die Brust .« Und wem gefällt nicht folgendes Gemählde von einem alten Weibe , in dem Neujahrs-Gedichte von 1722 .Daß die blosse Kunst der Nachahmung ohne	85	16	14325-Breitinger__Johann_Jakob.tsv
CARD	CARD		CARD	245		Eine bildet ihr ein , sie sey eine Katz worden	245	.	Nacht , von Ewigkeit zu Ewigkeit .Eine bildet ihr ein , sie sey eine Katz worden 245 .Da ich nun ( sagt ermeldter Author	7529	10	84969-Pfitzer__Johann_Nikolaus.tsv
CARD	CARD		CARD	57		– Ja , antwortete der Doctor , ein im Freien und ge schützt vor jeder Rückstrahlung angebrachtes Thermometer steigt nie und nirgends über hundertfünfunddreißig Grad über Null (+	57	° hunderttheilig ) , so wie es andererseits nicht unter zweiundsiebenzig Grad (– 58 ° hunderttheilig ) herabsinkt .	Zahl kein Zweifel sein kann .. .– Ja , antwortete der Doctor , ein im Freien und ge schützt vor jeder Rückstrahlung angebrachtes Thermometer steigt nie und nirgends über hundertfünfunddreißig Grad über Null (+ 57 ° hunderttheilig ) , so wie es andererseits nicht unter zweiundsiebenzig Grad (– 58 ° hunderttheilig ) herabsinkt .fragte der Zimmermann .	2196	28	107490-Verne__Jules.tsv
CARD	CARD		CARD	58		– Ja , antwortete der Doctor , ein im Freien und ge schützt vor jeder Rückstrahlung angebrachtes Thermometer steigt nie und nirgends über hundertfünfunddreißig Grad über Null (+ 57 ° hunderttheilig ) , so wie es andererseits nicht unter zweiundsiebenzig Grad (–	58	° hunderttheilig ) herabsinkt .	Zahl kein Zweifel sein kann .. .– Ja , antwortete der Doctor , ein im Freien und ge schützt vor jeder Rückstrahlung angebrachtes Thermometer steigt nie und nirgends über hundertfünfunddreißig Grad über Null (+ 57 ° hunderttheilig ) , so wie es andererseits nicht unter zweiundsiebenzig Grad (– 58 ° hunderttheilig ) herabsinkt .fragte der Zimmermann .	2196	42	107490-Verne__Jules.tsv
CARD	CARD		CARD	6		Alles dauerte	6	bis 8 Minuten , und nach einigen Stunden verzog sich auch der Nebel , so , daß gegen Mittag alles wieder hell und ruhig war , als wenn nichts vorgegangen wäre .	noch in der Erde verborgen liegen .Alles dauerte 6 bis 8 Minuten , und nach einigen Stunden verzog sich auch der Nebel , so , daß gegen Mittag alles wieder hell und ruhig war , als wenn nichts vorgegangen wäre .Die Zahl derselben kann niemand angehen .	18	2	58913-Hebel__Johann_Peter.tsv
CARD	CARD		CARD	6		Also giengen iren wol	6	oder 7 Frawen und Man mit einander .	ein Rott gieng alwegen mit einander .Also giengen iren wol 6 oder 7 Frawen und Man mit einander .‹ Nun můst er durch ein sorcklichen	3817	4	84231-Pauli__Johannes.tsv
CARD	CARD		CARD	7		Also giengen iren wol 6 oder	7	Frawen und Man mit einander .	ein Rott gieng alwegen mit einander .Also giengen iren wol 6 oder 7 Frawen und Man mit einander .‹ Nun můst er durch ein sorcklichen	3817	6	84231-Pauli__Johannes.tsv
