DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
FM.la	ADV		VVFIN	awerst		Ick bleiwe hier wol noch geren ,	awerst	de Dod will't nich lien .	, » wutt du mick verlaten ?Ick bleiwe hier wol noch geren , awerst de Dod will't nich lien .« » Ja « , sä de	20	7	18663-Colshorn__Carl_und_Theodor.tsv
FM.la	ADJA		VVFIN	bedüden		› Wat sall et	bedüden	?	‹ Awers as de Fruenslüd sinn !› Wat sall et bedüden ?› Jei , jei , Mutter ‹	794	4	26864-Fontane__Theodor.tsv
FM.la	VVFIN		VVFIN	bleiwe		Ick	bleiwe	hier wol noch geren , awerst de Dod will't nich lien .	, » wutt du mick verlaten ?Ick bleiwe hier wol noch geren , awerst de Dod will't nich lien .« » Ja « , sä de	20	1	18663-Colshorn__Carl_und_Theodor.tsv
FM.la	NE		NE	de		Ick bleiwe hier wol noch geren , awerst	de	Dod will't nich lien .	, » wutt du mick verlaten ?Ick bleiwe hier wol noch geren , awerst de Dod will't nich lien .« » Ja « , sä de	20	8	18663-Colshorn__Carl_und_Theodor.tsv
FM.la	NE		NE	dod		Ick bleiwe hier wol noch geren , awerst de	Dod	will't nich lien .	, » wutt du mick verlaten ?Ick bleiwe hier wol noch geren , awerst de Dod will't nich lien .« » Ja « , sä de	20	9	18663-Colshorn__Carl_und_Theodor.tsv
FM.la	NN		NN	ehren		Unde de Fresen togen mit groten	Eren	to Hus unde leten St .	dar se dat Lant beschermen muchten .Unde de Fresen togen mit groten Eren to Hus unde leten St .Word De Konink Abel hadde de Fresen	3	6	80486-M_llenhoff__Karl.tsv
FM.la	ADJD		FM	et		› Wat sall	et	bedüden ?	‹ Awers as de Fruenslüd sinn !› Wat sall et bedüden ?› Jei , jei , Mutter ‹	794	3	26864-Fontane__Theodor.tsv
FM.la	VVINF		ADJA	gern		Ick bleiwe hier wol noch	geren	, awerst de Dod will't nich lien .	, » wutt du mick verlaten ?Ick bleiwe hier wol noch geren , awerst de Dod will't nich lien .« » Ja « , sä de	20	5	18663-Colshorn__Carl_und_Theodor.tsv
FM.la	ADJA		ADJA	groten		Unde de Fresen togen mit	groten	Eren to Hus unde leten St .	dar se dat Lant beschermen muchten .Unde de Fresen togen mit groten Eren to Hus unde leten St .Word De Konink Abel hadde de Fresen	3	5	80486-M_llenhoff__Karl.tsv
FM.la	NE		NE	hause		Unde de Fresen togen mit groten Eren to	Hus	unde leten St .	dar se dat Lant beschermen muchten .Unde de Fresen togen mit groten Eren to Hus unde leten St .Word De Konink Abel hadde de Fresen	3	8	80486-M_llenhoff__Karl.tsv
