DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
FM	ADJD		NE	/und		Alleine zuletzte besudelte die sonst ihrer Keuschheit wegen berühmte Antonia das vorhergehende Gute mit einem schlimmen Beysatze / in dem sie das Gerichte des Paris zwischen der Juno / Pallas	/und	Venus in einem Tantze zwar wegen ihrer gäntzlichen Entblössung und unzüchtigen Stellungen höchst ärgerlich / iedoch so künstlich fürbilden ließ : daß iede Person ihre Meinung mit stummen Gebehrden so deutlich ausdrückte / als sie mit ihrer Rede schwerlich besser zu thun vermocht hätte .	Ergetzligkeit / theils in Pein versetzte .Alleine zuletzte besudelte die sonst ihrer Keuschheit wegen berühmte Antonia das vorhergehende Gute mit einem schlimmen Beysatze / in dem sie das Gerichte des Paris zwischen der Juno / Pallas /und Venus in einem Tantze zwar wegen ihrer gäntzlichen Entblössung und unzüchtigen Stellungen höchst ärgerlich / iedoch so künstlich fürbilden ließ : daß iede Person ihre Meinung mit stummen Gebehrden so deutlich ausdrückte / als sie mit ihrer Rede schwerlich besser zu thun vermocht hätte .Auf der gantzen Taffel aber ward kein	25428	30	78039-Lohenstein__Daniel_Casper_von.tsv
FM	FM		NE	bi		Da was hamål ein Schäper , dei hädd na Dudelsack , up dem hei sick	bi	de Schåpe im Fild wat vördudeld .	as wenn sei na Noda danzd .Word Eine ull Geschichte , de vör ulla Tieda gescheine is !Word Eine ull Geschichte , de vör	1	15	18724-Colshorn__Carl_und_Theodor.tsv
FM	NN		NE	boa		Als Roß und Reiter , Windhund und	Boa	constrictor schon verschwunden waren , blieb in der Annagasse noch lange dieses fohlende Vergnügen .	daß man jeden vernünftigen Gedanken verlor .Als Roß und Reiter , Windhund und Boa constrictor schon verschwunden waren , blieb in der Annagasse noch lange dieses fohlende Vergnügen .Doch je schneller er sich bei diesem	10828	7	27056-Ganghofer__Ludwig.tsv
FM	FM		NE	constrictor		Als Roß und Reiter , Windhund und Boa	constrictor	schon verschwunden waren , blieb in der Annagasse noch lange dieses fohlende Vergnügen .	daß man jeden vernünftigen Gedanken verlor .Als Roß und Reiter , Windhund und Boa constrictor schon verschwunden waren , blieb in der Annagasse noch lange dieses fohlende Vergnügen .Doch je schneller er sich bei diesem	10828	8	27056-Ganghofer__Ludwig.tsv
FM	FM		NE	de		Da was hamål ein Schäper , dei hädd na Dudelsack , up dem hei sick bi	de	Schåpe im Fild wat vördudeld .	as wenn sei na Noda danzd .Word Eine ull Geschichte , de vör ulla Tieda gescheine is !Word Eine ull Geschichte , de vör	1	16	18724-Colshorn__Carl_und_Theodor.tsv
FM	NE		NE	de		De Boes hett ääwer ümmerfurt då rümwookert ( herumgelärmt ) un regeert , un wenn de Schulte , dee um düsse Tiit ,	de	olle Kassel was , vöörbiigån is , denn hett he imene rooe Jack upt Hecken sitten gån un hett emm torovpen : » Vadder Kassel wist nich häärkummen bäjen ( beten ) ?	hett upp düssen Hof uuthollen müjen .De Boes hett ääwer ümmerfurt då rümwookert ( herumgelärmt ) un regeert , un wenn de Schulte , dee um düsse Tiit , de olle Kassel was , vöörbiigån is , denn hett he imene rooe Jack upt Hecken sitten gån un hett emm torovpen : » Vadder Kassel wist nich häärkummen bäjen ( beten ) ?Word Se seggen ümmer , datt Schorstett	3	23	68877-Kuhn__Adalbert.tsv
FM	NE		NE	di		Das zelt ihres siges ist auf-geschlagen , dahr- unter si ihrem Lihbsten di wunden ,	di	si ihm veruhrsachchet hat , verbünden und heilen sol .	mächtige feindin üm schönes wetter anflöhet .Das zelt ihres siges ist auf-geschlagen , dahr- unter si ihrem Lihbsten di wunden , di si ihm veruhrsachchet hat , verbünden und heilen sol .Si hat ihm nicht alein durch ihrer	70	15	110853-Zesen__Philipp_von.tsv
FM	ADJA		ADJA	gan		De Boes hett ääwer ümmerfurt då rümwookert ( herumgelärmt ) un regeert , un wenn de Schulte , dee um düsse Tiit , de olle Kassel was , vöörbiigån is , denn hett he imene rooe Jack upt Hecken sitten	gån	un hett emm torovpen : » Vadder Kassel wist nich häärkummen bäjen ( beten ) ?	hett upp düssen Hof uuthollen müjen .De Boes hett ääwer ümmerfurt då rümwookert ( herumgelärmt ) un regeert , un wenn de Schulte , dee um düsse Tiit , de olle Kassel was , vöörbiigån is , denn hett he imene rooe Jack upt Hecken sitten gån un hett emm torovpen : » Vadder Kassel wist nich häärkummen bäjen ( beten ) ?Word Se seggen ümmer , datt Schorstett	3	40	68877-Kuhn__Adalbert.tsv
FM	ADJA		ADJA	hei		Da was hamål ein Schäper , dei hädd na Dudelsack , up dem	hei	sick bi de Schåpe im Fild wat vördudeld .	as wenn sei na Noda danzd .Word Eine ull Geschichte , de vör ulla Tieda gescheine is !Word Eine ull Geschichte , de vör	1	13	18724-Colshorn__Carl_und_Theodor.tsv
FM	ADV		ADJA	ik		« » Wenn	ik	arbein sall , mutt ik ok singen , Gesa .	doch keeneen wat von to vertellen .« » Wenn ik arbein sall , mutt ik ok singen , Gesa .Und als der bunte Mann langsam zurück	3041	3	26568-Fock__Gorch.tsv
