DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
KON	KON		KON	und			Und	jetzt schlug es wirklich .	aber ging dieser Tod sehr nahe .Und jetzt schlug es wirklich .Nicht nur die Brüder und ihre Angehörigen	5115	0	26850-Fontane__Theodor.tsv
KON	KON		KON	und		« –	Und	unserer Annah , sagte Ernst , wird die Ehre zufallen , sie zum erstenmale zu läuten !	Jack richtete das Fernrohr danach hin .« – Und unserer Annah , sagte Ernst , wird die Ehre zufallen , sie zum erstenmale zu läuten !Fehlte der Insel also auch ein Kranz	6788	2	107535-Verne__Jules.tsv
KON	KON		KON	und			Und	nun ging 's im windschnellen Laufe dem Dickichte zu .	des vermeintlich todt daliegenden Wildes gesetzt .Und nun ging 's im windschnellen Laufe dem Dickichte zu .Lange Zeit hat sich im Munde des	4	0	93733-Sch_ppner__Alexander.tsv
KON	KON		KON	und		« Der Lange trug sie hin	und	sprach » ich wollte ihn wohl herausholen , wenn ich ihn nur sehen könnte .	geholt werden , nun schafft Rat .« Der Lange trug sie hin und sprach » ich wollte ihn wohl herausholen , wenn ich ihn nur sehen könnte .» Daß du mir einen Ring herbeibringst	31	6	50958-Grimm__Jacob_und_Wilhelm.tsv
KON	KON		KON	und		Der Gedanke , die Talente dieser anmutigen Künstlerin mit den seinigen zu verbinden , ihre beiden Existenzen zu einer zu verschmelzen , eine künftige Familie kleiner , ihres Vaters	und	ihrer Mutter würdiger Cascabels zu gründen , lag für den wackeren Gaukler auf der Hand .	scharfsinnigen Manne gewiß nicht überraschen wird .Der Gedanke , die Talente dieser anmutigen Künstlerin mit den seinigen zu verbinden , ihre beiden Existenzen zu einer zu verschmelzen , eine künftige Familie kleiner , ihres Vaters und ihrer Mutter würdiger Cascabels zu gründen , lag für den wackeren Gaukler auf der Hand .... « fiel Ortik ein .	2928	29	107522-Verne__Jules.tsv
KON	KON		KON	und		– In faden Harmlosigkeiten freilich darf ich mich dabei nicht ergehen , auf einige Verblüffung läuft es immer hinaus – dem Geschmack der Zeit muß man Konzessionen machen ... man muß ... Welcher Künstler ist groß geworden	und	hat das nicht getan ?	läßt sich darin nicht finden !.. .– In faden Harmlosigkeiten freilich darf ich mich dabei nicht ergehen , auf einige Verblüffung läuft es immer hinaus – dem Geschmack der Zeit muß man Konzessionen machen ... man muß ... Welcher Künstler ist groß geworden und hat das nicht getan ?Jetzt sind Sie 's nicht .	479	37	23119-Ebner_Eschenbach__Marie_von.tsv
KON	KON		KON	und		Es ist zu untersuchen , aus welcher Quelle das eine	und	das andere entsprang .	fiel , und Deutschland wurde frei .Es ist zu untersuchen , aus welcher Quelle das eine und das andere entsprang .Es geschah dieses ohne Widersetzlichkeit , ja	31	10	6284-B_rne__Ludwig.tsv
KON	KON		KON	und		Mit wirbelnden Sinnen	und	unter tobenden Herzschlägen begann sie dieses Entsetzliche zu verstehen : Die Feinde hatten sie gefangen , hatten ihr das blutige Eisen aus der Faust gewunden und hatten sie zu ewiger Strafe verdammt ; und nun lag sie in diesem finsteren Kerker , zu gerechter Buße für die unmenschliche Tat , die sie begangen hatte im Grausen der Schlacht .	und klammerte sieh an das Geländer .Mit wirbelnden Sinnen und unter tobenden Herzschlägen begann sie dieses Entsetzliche zu verstehen : Die Feinde hatten sie gefangen , hatten ihr das blutige Eisen aus der Faust gewunden und hatten sie zu ewiger Strafe verdammt ; und nun lag sie in diesem finsteren Kerker , zu gerechter Buße für die unmenschliche Tat , die sie begangen hatte im Grausen der Schlacht .Ein Wörtl !	8472	3	27055-Ganghofer__Ludwig.tsv
KON	KON		KON	und		Mit wirbelnden Sinnen und unter tobenden Herzschlägen begann sie dieses Entsetzliche zu verstehen : Die Feinde hatten sie gefangen , hatten ihr das blutige Eisen aus der Faust gewunden	und	hatten sie zu ewiger Strafe verdammt ; und nun lag sie in diesem finsteren Kerker , zu gerechter Buße für die unmenschliche Tat , die sie begangen hatte im Grausen der Schlacht .	und klammerte sieh an das Geländer .Mit wirbelnden Sinnen und unter tobenden Herzschlägen begann sie dieses Entsetzliche zu verstehen : Die Feinde hatten sie gefangen , hatten ihr das blutige Eisen aus der Faust gewunden und hatten sie zu ewiger Strafe verdammt ; und nun lag sie in diesem finsteren Kerker , zu gerechter Buße für die unmenschliche Tat , die sie begangen hatte im Grausen der Schlacht .Ein Wörtl !	8472	29	27055-Ganghofer__Ludwig.tsv
KON	KON		KON	und		Mit wirbelnden Sinnen und unter tobenden Herzschlägen begann sie dieses Entsetzliche zu verstehen : Die Feinde hatten sie gefangen , hatten ihr das blutige Eisen aus der Faust gewunden und hatten sie zu ewiger Strafe verdammt ;	und	nun lag sie in diesem finsteren Kerker , zu gerechter Buße für die unmenschliche Tat , die sie begangen hatte im Grausen der Schlacht .	und klammerte sieh an das Geländer .Mit wirbelnden Sinnen und unter tobenden Herzschlägen begann sie dieses Entsetzliche zu verstehen : Die Feinde hatten sie gefangen , hatten ihr das blutige Eisen aus der Faust gewunden und hatten sie zu ewiger Strafe verdammt ; und nun lag sie in diesem finsteren Kerker , zu gerechter Buße für die unmenschliche Tat , die sie begangen hatte im Grausen der Schlacht .Ein Wörtl !	8472	37	27055-Ganghofer__Ludwig.tsv
KON	KON		KON	und		Aus einem Himmelstürmer eine Glucke zu werden , –	und	dennoch in sich göttlich bleiben !	Ist das nicht Selbstverleugnung dem Teufel ?Aus einem Himmelstürmer eine Glucke zu werden , – und dennoch in sich göttlich bleiben !Bloß , um daß in des Genusses	3978	9	4089-Arnim__Bettina_von.tsv
KON	KON		KON	und		Er schaute sie an , heimlich , mit dem inneren Auge , das streng war ,	und	er sah die Veränderung , von der sie gesprochen ; er empfing das Bild , das sie gefordert .	, bis die berufene Helferin eintraf .Er schaute sie an , heimlich , mit dem inneren Auge , das streng war , und er sah die Veränderung , von der sie gesprochen ; er empfing das Bild , das sie gefordert .Die Schirmacher hatte in der Eile die	16135	16	108455-Wassermann__Jakob.tsv
KON	KON		KON	und		Der Sieg ist uns zwar gewiß , aber für den Fall , daß er uns nicht wird , habe ich versprochen , diese Gegend mit meinen Kriegern sofort zu verlassen	und	für den heutigen Tag Frieden zu halten .	« 75 Süßer Brunnen .Der Sieg ist uns zwar gewiß , aber für den Fall , daß er uns nicht wird , habe ich versprochen , diese Gegend mit meinen Kriegern sofort zu verlassen und für den heutigen Tag Frieden zu halten .» Weil ich bei dem Ghani ,	8548	30	79321-May__Karl.tsv
KON	KON		KON	und		So gelang es ihm , ungefähr dreißigtausend gedruckte Bände	und	vierzehntausend Handschriften zu sammeln .	, mit so bedeutenden Kosten gründete .So gelang es ihm , ungefähr dreißigtausend gedruckte Bände und vierzehntausend Handschriften zu sammeln .So überwies er auch die Ueberbleibsel seiner	4059	9	78504-Manzoni__Alessandro.tsv
KON	KON		KON	und		Mein Vater hatte mir zwo Sachen sehr eingeprägt , nämlich die Gewißheit des Wiedervergeltungsrechts	und	den Lehrsatz der Wohltätigkeit unsers Beispiels .	die wir in unsrer Jugend bekommen .Mein Vater hatte mir zwo Sachen sehr eingeprägt , nämlich die Gewißheit des Wiedervergeltungsrechts und den Lehrsatz der Wohltätigkeit unsers Beispiels .– Doch trenne ich mich leichter von	3155	14	72269-La_Roche__Sophie_von.tsv
KON	KON		KON	und		Stolz sprang auf	und	setzte sich wieder .	Gang und eine klangvolle Stimme besaß .Stolz sprang auf und setzte sich wieder .Er blickte in den Spiegel ; er	1674	3	48338-Gon_arov__Ivan_Aleksandrovi_.tsv
KON	KON		KON	und		Abermals erfaßte ihn die Verzweiflung ,	und	als er die Via Portuensis , die geradeswegs zu dem Viertel jenseit des Tiber führte , erreicht hatte , kam er erst beim Tore wieder zur Besinnung , wo ihm wiederholt wurde , was er schon vorher von den Flüchtlingen gehört hatte , daß der größte Teil dieser Stadtgegend noch nicht in Flammen stehe , daß sich das Feuer aber schon an mehreren Stellen über den Fluß verbreitet habe .	galt es , Lygia zu retten .Abermals erfaßte ihn die Verzweiflung , und als er die Via Portuensis , die geradeswegs zu dem Viertel jenseit des Tiber führte , erreicht hatte , kam er erst beim Tore wieder zur Besinnung , wo ihm wiederholt wurde , was er schon vorher von den Flüchtlingen gehört hatte , daß der größte Teil dieser Stadtgegend noch nicht in Flammen stehe , daß sich das Feuer aber schon an mehreren Stellen über den Fluß verbreitet habe .Aber diese Gedanken , die aus seinem	10483	6	98460-Sienkiewicz__Henryk.tsv
KON	KON		KON	und		oft flucht ich der Stunde , wo ich sie fand ,	und	raste im Geiste gegen das himmlische Geschöpf , daß es mich nur darum ins Leben geweckt hätte , um mich wieder niederzudrücken mit seiner Hoheit .	, daß es mein nicht bedurfte .oft flucht ich der Stunde , wo ich sie fand , und raste im Geiste gegen das himmlische Geschöpf , daß es mich nur darum ins Leben geweckt hätte , um mich wieder niederzudrücken mit seiner Hoheit .Es konnte nicht anders kommen , ich	203	11	57708-H_lderlin__Friedrich.tsv
KON	KON		KON	und		« Da trat er um mehrere Schritte zur Seite , senkte den Blick	und	sagte : Es war die höchste Zeit für sie .	Sonne dieses dürren Master Chinarindo sein !« Da trat er um mehrere Schritte zur Seite , senkte den Blick und sagte : Es war die höchste Zeit für sie .« frug sie gedehnt .	3740	13	79314-May__Karl.tsv
KON	KON		KON	und		Herr Dechant , sagte er zu seinem Freunde gewendet , dieser Tag ist mir ein Freuden-	und	Trauer-Tag , den ich nicht leicht vergessen werde .	sie in einen kleinen Sessel legten .Herr Dechant , sagte er zu seinem Freunde gewendet , dieser Tag ist mir ein Freuden- und Trauer-Tag , den ich nicht leicht vergessen werde .Auch der Küster folgte in einiger Entfernung	1299	16	104913-Tieck__Ludwig.tsv
KON	KON		KON	und		An den Tisch der Grafen	und	edlen Herren von der Lippe sprangen nämlich in geschäftiger Eile mehrere Diener , setzten daran einen großen mit Lorbeeren geschmückten Sessel und verkündeten , daß der Graf Simon von der Lippe soeben gestorben sei und gleich erscheinen werde .	hier hießen sie ihn Platz nehmen .An den Tisch der Grafen und edlen Herren von der Lippe sprangen nämlich in geschäftiger Eile mehrere Diener , setzten daran einen großen mit Lorbeeren geschmückten Sessel und verkündeten , daß der Graf Simon von der Lippe soeben gestorben sei und gleich erscheinen werde .so schrie ihn der alte Ritter an	63	5	53994-Gr_sse__Johann_Georg_Theodor.tsv
KON	KON		KON	und		An den Tisch der Grafen und edlen Herren von der Lippe sprangen nämlich in geschäftiger Eile mehrere Diener , setzten daran einen großen mit Lorbeeren geschmückten Sessel	und	verkündeten , daß der Graf Simon von der Lippe soeben gestorben sei und gleich erscheinen werde .	hier hießen sie ihn Platz nehmen .An den Tisch der Grafen und edlen Herren von der Lippe sprangen nämlich in geschäftiger Eile mehrere Diener , setzten daran einen großen mit Lorbeeren geschmückten Sessel und verkündeten , daß der Graf Simon von der Lippe soeben gestorben sei und gleich erscheinen werde .so schrie ihn der alte Ritter an	63	27	53994-Gr_sse__Johann_Georg_Theodor.tsv
KON	KON		KON	und		An den Tisch der Grafen und edlen Herren von der Lippe sprangen nämlich in geschäftiger Eile mehrere Diener , setzten daran einen großen mit Lorbeeren geschmückten Sessel und verkündeten , daß der Graf Simon von der Lippe soeben gestorben sei	und	gleich erscheinen werde .	hier hießen sie ihn Platz nehmen .An den Tisch der Grafen und edlen Herren von der Lippe sprangen nämlich in geschäftiger Eile mehrere Diener , setzten daran einen großen mit Lorbeeren geschmückten Sessel und verkündeten , daß der Graf Simon von der Lippe soeben gestorben sei und gleich erscheinen werde .so schrie ihn der alte Ritter an	63	40	53994-Gr_sse__Johann_Georg_Theodor.tsv
KON	KON		KON	und		Ich will nachholen	und	sogleich eine Reihe Folgen hinzusetzen , die aus Theophron's System einer in sich selbst nothwendigen Wahrheit und Güte zu folgen scheinen .	Die Räder der Natur .Ich will nachholen und sogleich eine Reihe Folgen hinzusetzen , die aus Theophron's System einer in sich selbst nothwendigen Wahrheit und Güte zu folgen scheinen .Bedient er sich seiner in seiner reinen	824	3	61282-Herder__Johann_Gottfried.tsv
KON	KON		KON	und		Ich will nachholen und sogleich eine Reihe Folgen hinzusetzen , die aus Theophron's System einer in sich selbst nothwendigen Wahrheit	und	Güte zu folgen scheinen .	Die Räder der Natur .Ich will nachholen und sogleich eine Reihe Folgen hinzusetzen , die aus Theophron's System einer in sich selbst nothwendigen Wahrheit und Güte zu folgen scheinen .Bedient er sich seiner in seiner reinen	824	20	61282-Herder__Johann_Gottfried.tsv
