DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
KOUI	KOUI		KOUI	anstatt		Ach , es ist besser , ich tue , was ich versprochen hab , und grüß ihn ,	anstatt	ihn anzustarren und ein spöttisch Gesicht zu machen .	Nur Ärger und böses Blut .Ach , es ist besser , ich tue , was ich versprochen hab , und grüß ihn , anstatt ihn anzustarren und ein spöttisch Gesicht zu machen .Was ist all die Jahre bei meiner	2994	18	26856-Fontane__Theodor.tsv
KOUI	APPR		APPR	ohne		Wenn mit Dunkel und mit Schweigen	Ohne	Laut , ohne Regung starrte ein jeder vor sich hin .	lesen solle , zügelte meine Ungeduld .Wenn mit Dunkel und mit Schweigen Ohne Laut , ohne Regung starrte ein jeder vor sich hin .Dann blieb ich stehen und nahm aus	9933	6	110543-Wille__Bruno.tsv
KOUI	KOUI		KOUI	ohne		Er hatte während dieser langen Reise von drei Jahren und achtzehn Tagen nur den Verlust von vier Mann zu beklagen ,	ohne	freilich die zehn Matrosen zu zählen , die auf Neuseeland ermordet wurden .	und legte das Dorf in Asche .Er hatte während dieser langen Reise von drei Jahren und achtzehn Tagen nur den Verlust von vier Mann zu beklagen , ohne freilich die zehn Matrosen zu zählen , die auf Neuseeland ermordet wurden .Darüber erschrocken , ergriffen die Eingebornen die	5012	21	107558-Verne__Jules.tsv
KOUI	KOUI		KOUI	um			Um	diese Zeit kam denn auch Herr Porphyrio von Ockerodastes aus seinem seidenen Palast hervor und ließ sich von Fräulein Ännchen mit Butterbrot füttern : » Ach , ach , « kicherte Fräulein Ännchen ihm oft ins Ohr , » ach , ach , wenn Papa wüßte , daß Sie eigentlich ein König sind , bester Corduanspitz .	ein Herz und eine Seele waren .Um diese Zeit kam denn auch Herr Porphyrio von Ockerodastes aus seinem seidenen Palast hervor und ließ sich von Fräulein Ännchen mit Butterbrot füttern : » Ach , ach , « kicherte Fräulein Ännchen ihm oft ins Ohr , » ach , ach , wenn Papa wüßte , daß Sie eigentlich ein König sind , bester Corduanspitz .« – Herr Dapsul seufzte einigemal hintereinander	497	0	62357-Hoffmann__E__T__A_.tsv
KOUI	KOUI		KOUI	um		Er wendete sich deshalb an den alten Lehrer ,	um	Schriften im oberschwäbischen Dialekte , dieser holte ihm sein Lieblingsbuch , ja fast sein einziges , und band es ihm auf die Seele , es waren die Dichtungen Sebastian Sailers .	er sogar die Form derselben liebgewann .Er wendete sich deshalb an den alten Lehrer , um Schriften im oberschwäbischen Dialekte , dieser holte ihm sein Lieblingsbuch , ja fast sein einziges , und band es ihm auf die Seele , es waren die Dichtungen Sebastian Sailers .« 4 » Nun , so schlaf	1060	9	5243-Auerbach__Berthold.tsv
KOUI	KOUI		KOUI	um		Die Damen sprangen fort ,	um	nicht den entsetzlichen Anblick zu haben , er ging schnell hinzu , wir fanden einen Mantel mit vielen Büchern in den Taschen bepackt und eine zerbrochene Laterne .	, es war nur eine Sternschnuppe .Die Damen sprangen fort , um nicht den entsetzlichen Anblick zu haben , er ging schnell hinzu , wir fanden einen Mantel mit vielen Büchern in den Taschen bepackt und eine zerbrochene Laterne .Stern der dämmernden Nacht , schön glänzest	127	5	5109-Arnim__Ludwig_Achim_von.tsv
KOUI	KOUI		KOUI	um		Der Ritter verlangte Frist bis morgen früh ,	um	sich mit dem Seelenhirten einzulassen ; und dieser ?	der rothbärtige Schelm den Hals bräche !Der Ritter verlangte Frist bis morgen früh , um sich mit dem Seelenhirten einzulassen ; und dieser ?» Zweitens ein Ohr abzuhauen , und	6141	8	62296-Hippel__Theodor_Gottlieb_von.tsv
KOUI	KOUI		KOUI	um		Das war alles so deutlich und selbst verständig , indem Traum und Wachen sich ganz klar von einander unterschieden , daß es mir nie wieder aus dem Kopfe wollte , und ich zulezt mit einer Zigeunerin Bekanntschaft machte ,	um	den Versuch wirklich anzustellen .	mit Gesang in die Wellen einladet .Das war alles so deutlich und selbst verständig , indem Traum und Wachen sich ganz klar von einander unterschieden , daß es mir nie wieder aus dem Kopfe wollte , und ich zulezt mit einer Zigeunerin Bekanntschaft machte , um den Versuch wirklich anzustellen .Die Nacht ist still und fast schrecklich	851	39	67760-Klingemann__August.tsv
KOUI	APPR		APPR	um		Darum sprach er leise in der Versammlung : » Der Graf redet die Wahrheit , ich empfing keinen Schwur von ihm , weder	um	seine Tochter noch um etwas anderes , und ich habe sie mir geraubt , wie Kriegsleute in der Not tun , weil sie mir lieber ist als mein Leben .	Unglück und Tod über ihn bringen .Darum sprach er leise in der Versammlung : » Der Graf redet die Wahrheit , ich empfing keinen Schwur von ihm , weder um seine Tochter noch um etwas anderes , und ich habe sie mir geraubt , wie Kriegsleute in der Not tun , weil sie mir lieber ist als mein Leben .Durch Immos Seele fuhr ein heißer Schmerz	23538	23	27046-Freytag__Gustav.tsv
KOUI	KOUI		KOUI	um		Daher Mancher , der es im Vermögen gehabt , ein Stattliches an Geld oder an andern Sachen ,	um	solches wiederum zu versöhnen und bei demselben Gnade zu erwerben , ihm aufgeopfert hat .	nein zu verstehen geben wollte etc .Daher Mancher , der es im Vermögen gehabt , ein Stattliches an Geld oder an andern Sachen , um solches wiederum zu versöhnen und bei demselben Gnade zu erwerben , ihm aufgeopfert hat .Es war so gemacht , daß ,	8	18	53655-Gr_sse__Johann_Georg_Theodor.tsv
