DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
NN	NN		NN	Adel		Quid est – Es verdroß mich , daß ich in einem fremden Lande , wo ich mein Geld und , im Fall der Noth , mein ἀνέχου καὶ ἀπέχου auszugeben Willens war , und wo es keinen was anging , ob ich als Edelmann oder als Bürger äß' und tränke , durchaus	Adel	oder Unadel documentiren sollte – und wie ?	Auch bei Erholungen will man Zweck .Quid est – Es verdroß mich , daß ich in einem fremden Lande , wo ich mein Geld und , im Fall der Noth , mein ἀνέχου καὶ ἀπέχου auszugeben Willens war , und wo es keinen was anging , ob ich als Edelmann oder als Bürger äß' und tränke , durchaus Adel oder Unadel documentiren sollte – und wie ?Sonst aber glaub' ich , je weiter	5513	52	62295-Hippel__Theodor_Gottlieb_von.tsv
NN	NN		NN	Akt		Inzwischen warteten die Schauspieler ; doch Bordenave sagte ihnen , daß heute der dritte	Akt	nicht mehr probiert werde .	er ihn wieder zu Boden setzte .Inzwischen warteten die Schauspieler ; doch Bordenave sagte ihnen , daß heute der dritte Akt nicht mehr probiert werde .Nicht wahr , mein Freund : Man	7957	14	112135-Zola___mile.tsv
NN	NN		NN	Alter		– Ei , lieber	Alter	, Ihr lebt also noch ?	jetzt und rief aus : Ei !– Ei , lieber Alter , Ihr lebt also noch ?rief er aus ; Du lügst !	1196	4	104913-Tieck__Ludwig.tsv
NN	NN		NN	Arzt		– Aber wo ist Signor Formica , wo ist mein würdiger	Arzt	, daß ich ihm tausendmal für meine Heilung danke , die nur er vollbracht .	hätt' ich meinen wahnsinnigen Anschlag ausgeführt .– Aber wo ist Signor Formica , wo ist mein würdiger Arzt , daß ich ihm tausendmal für meine Heilung danke , die nur er vollbracht .– Fern sei es von mir ,	387	11	62350-Hoffmann__E__T__A_.tsv
NN	NN		NN	Brust		« – Nun bemerkte sie das heftige Heben meiner	Brust	, und die Zähren , die über meine Wangen rollten .	Unschuld von den Kindern meines Herzens !« – Nun bemerkte sie das heftige Heben meiner Brust , und die Zähren , die über meine Wangen rollten .Ich drücke noch die Hand einer zärtlichen	10701	9	72270-La_Roche__Sophie_von.tsv
NN	NN		NN	Bürger		Quid est – Es verdroß mich , daß ich in einem fremden Lande , wo ich mein Geld und , im Fall der Noth , mein ἀνέχου καὶ ἀπέχου auszugeben Willens war , und wo es keinen was anging , ob ich als Edelmann oder als	Bürger	äß' und tränke , durchaus Adel oder Unadel documentiren sollte – und wie ?	Auch bei Erholungen will man Zweck .Quid est – Es verdroß mich , daß ich in einem fremden Lande , wo ich mein Geld und , im Fall der Noth , mein ἀνέχου καὶ ἀπέχου auszugeben Willens war , und wo es keinen was anging , ob ich als Edelmann oder als Bürger äß' und tränke , durchaus Adel oder Unadel documentiren sollte – und wie ?Sonst aber glaub' ich , je weiter	5513	46	62295-Hippel__Theodor_Gottlieb_von.tsv
NN	NN		NN	Doktor		rief der	Doctor	.	.. .rief der Doctor .– Es gäbe noch eins !	1906	2	107490-Verne__Jules.tsv
NN	NN		NE	Edelmann		Quid est – Es verdroß mich , daß ich in einem fremden Lande , wo ich mein Geld und , im Fall der Noth , mein ἀνέχου καὶ ἀπέχου auszugeben Willens war , und wo es keinen was anging , ob ich als	Edelmann	oder als Bürger äß' und tränke , durchaus Adel oder Unadel documentiren sollte – und wie ?	Auch bei Erholungen will man Zweck .Quid est – Es verdroß mich , daß ich in einem fremden Lande , wo ich mein Geld und , im Fall der Noth , mein ἀνέχου καὶ ἀπέχου auszugeben Willens war , und wo es keinen was anging , ob ich als Edelmann oder als Bürger äß' und tränke , durchaus Adel oder Unadel documentiren sollte – und wie ?Sonst aber glaub' ich , je weiter	5513	43	62295-Hippel__Theodor_Gottlieb_von.tsv
NN	NN		NN	Ehrenmann		Kehrte Siegmund Faber zurück , dann lag es mir ob , mich , nicht sie , vor einem wahrhaftigen	Ehrenmanne	zu entschuldigen .	War sie meine Schwester , meinesgleichen ?Kehrte Siegmund Faber zurück , dann lag es mir ob , mich , nicht sie , vor einem wahrhaftigen Ehrenmanne zu entschuldigen .Schämte sie sich nicht , als Braut	1028	19	26910-Fran_ois__Louise_von.tsv
NN	NE		NN	Ei		–	Ei	, lieber Alter , Ihr lebt also noch ?	jetzt und rief aus : Ei !– Ei , lieber Alter , Ihr lebt also noch ?rief er aus ; Du lügst !	1196	1	104913-Tieck__Ludwig.tsv
