DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PAV	PROAV		PROAV	dabei		Alles , was geschieht , für herrlich und wunderschön zu halten – die Moralisten erklärte ich	dabei	auch für komische Figuren – und die Ägypter gaben mir Recht – ich aber gab ihnen schließlich meine Mückenphantasie .	Uhr langsam hin und her ticken .Alles , was geschieht , für herrlich und wunderschön zu halten – die Moralisten erklärte ich dabei auch für komische Figuren – und die Ägypter gaben mir Recht – ich aber gab ihnen schließlich meine Mückenphantasie .« Die Helden sprachen lange kein Wort	2153	16	95107-Scheerbart__Paul.tsv
PAV	PROAV		PROAV	dabei		ladet er mich ein , es mit ihm zu teilen ; ironisch lächelnd , aber	dabei	skrupulös die Form wahrend , entgegne ich , daß er mir eine große Ehre erweise ; wir setzen uns und essen ; er gießt ein , zitternd , ich sage : zitternd !	Triumph , und wurde noch höflicher .ladet er mich ein , es mit ihm zu teilen ; ironisch lächelnd , aber dabei skrupulös die Form wahrend , entgegne ich , daß er mir eine große Ehre erweise ; wir setzen uns und essen ; er gießt ein , zitternd , ich sage : zitternd !Ha !	31	15	25320-Ernst__Paul.tsv
PAV	PROAV		PROAV	daher		Wir waren inzwischen zu einer selbständigen Lebensstellung gelangt und konnten	daher	ohne Demütigung heimkehren .	unserer Verbannung ging ihrem Ende entgegen .Wir waren inzwischen zu einer selbständigen Lebensstellung gelangt und konnten daher ohne Demütigung heimkehren .Nur der Paragraph über die obligatorischen Fälle	1505	10	102347-Suttner__Bertha_von.tsv
PAV	PDS		ADV	daher		Ist	dahero	nicht besser gethan , als daß man ihnen bey Zeiten die Hälse breche , und ist sonst kein ander Unglück zu besorgen , als daß man nun ins künfftige wenig Eyer mehr von solchen Hünern bekomme , und solchergestalt ihnen das Futter umsonst geben werde .	und der Prophetin der Halß abgeschnitten .Ist dahero nicht besser gethan , als daß man ihnen bey Zeiten die Hälse breche , und ist sonst kein ander Unglück zu besorgen , als daß man nun ins künfftige wenig Eyer mehr von solchen Hünern bekomme , und solchergestalt ihnen das Futter umsonst geben werde .Wenn man von einem Orte hinweg gehet	4478	1	97156-Schmidt__Johann_Georg.tsv
PAV	PROAV		PROAV	damit		Sind Sie	damit	zufrieden ?	der Undankbarkeit sich schuldig zu machen .Sind Sie damit zufrieden ?« Nun folgt der Schluß des Briefes	2149	2	15087-Bruckbr_u__Friedrich_Wilhelm.tsv
PAV	PROAV		PROAV	darauf			Darauf	traten die beiden zurück , die Tür schloß sich und kein neugieriges Gesicht erschien an den Fenstern , als hätte das Haus nur mit Herablassung die Ehre angenommen , welche ihm die Bürger erwiesen .	derselben ihn wie ein Mantel umhüllten .Darauf traten die beiden zurück , die Tür schloß sich und kein neugieriges Gesicht erschien an den Fenstern , als hätte das Haus nur mit Herablassung die Ehre angenommen , welche ihm die Bürger erwiesen .Stolz stand er da , trotz seiner	24350	0	27046-Freytag__Gustav.tsv
PAV	PROAV		PROAV	darauf		Nichts erfolget	darauf	; denn nichts gewinnet nichts , und wer keinen Fuß auf die Schwelle setzt , der verlieret nichts .	wie die meisten zu thun pflegen ?Nichts erfolget darauf ; denn nichts gewinnet nichts , und wer keinen Fuß auf die Schwelle setzt , der verlieret nichts .Jedoch meyne ich , des Glücks ,	2108	2	97156-Schmidt__Johann_Georg.tsv
PAV	PROAV		PROAV	darauf		Als die Glocke Elf schlug , wollte er es wieder anziehen um nach Hause zu gehn , da sah er zu seinem Schrecken , daß eine Schlange	darauf	lag .	aller Frühe ins Feld zur Arbeit .Als die Glocke Elf schlug , wollte er es wieder anziehen um nach Hause zu gehn , da sah er zu seinem Schrecken , daß eine Schlange darauf lag .‹ Da war sie ganz außer sich	22	27	110586-Wolf__Johann_Wilhelm.tsv
PAV	PROAV		PROAV	darauf		Staunend über diese neuen Entdeckungen , die sie	darauf	sich gegenseitig machten , verloren sie zwar die Spur des plötzlich wie verschwundenen flüchtigen Fremden , aber sie sagten doch : Siegbert , erstaunend über die Aufregung des Bruders , konnte nichts als , alle Gegenrede vermeidend , ihn bitten , deutlicher zu werden und in Ruhe zu erzählen , was er ihm anzuvertrauen hätte .	Priesterrock und Weihe , wahre Ruhe .Staunend über diese neuen Entdeckungen , die sie darauf sich gegenseitig machten , verloren sie zwar die Spur des plötzlich wie verschwundenen flüchtigen Fremden , aber sie sagten doch : Siegbert , erstaunend über die Aufregung des Bruders , konnte nichts als , alle Gegenrede vermeidend , ihn bitten , deutlicher zu werden und in Ruhe zu erzählen , was er ihm anzuvertrauen hätte .Das Bedürfniß der Beichte ist der Wahrheitsdrang	35527	8	56355-Gutzkow__Karl.tsv
PAV	PDS		PROAV	darauf		4 Als man daselbst asse / und aber kein Saltz vorhanden war / habe er solches begehret mit harter Müh auch erhalten / und	darauff	gesaget : Gott sey gelobet / itzt komt Saltz ; so bald aber dieses geredt / sey alles verschwunden / und seyn die Liechter erloschen .	mit vielen andern Exempeln bewehret werden .4 Als man daselbst asse / und aber kein Saltz vorhanden war / habe er solches begehret mit harter Müh auch erhalten / und darauff gesaget : Gott sey gelobet / itzt komt Saltz ; so bald aber dieses geredt / sey alles verschwunden / und seyn die Liechter erloschen .Verwundern müssen wir uns zwar über der	1065	24	85699-Praetorius__Johannes.tsv
PAV	ADV		VVFIN	darum		Alles	drum	' rum ist finster , und nur das Annedorle und ihr Schiebkarren sind hell .	Ja , jetzt im Mondschein .Alles drum ' rum ist finster , und nur das Annedorle und ihr Schiebkarren sind hell .» Aber das ist sie endlich doch	932	1	78050-Ludwig__Otto.tsv
PAV	ADV		ADV	daselbst		4 Als man	daselbst	asse / und aber kein Saltz vorhanden war / habe er solches begehret mit harter Müh auch erhalten / und darauff gesaget : Gott sey gelobet / itzt komt Saltz ; so bald aber dieses geredt / sey alles verschwunden / und seyn die Liechter erloschen .	mit vielen andern Exempeln bewehret werden .4 Als man daselbst asse / und aber kein Saltz vorhanden war / habe er solches begehret mit harter Müh auch erhalten / und darauff gesaget : Gott sey gelobet / itzt komt Saltz ; so bald aber dieses geredt / sey alles verschwunden / und seyn die Liechter erloschen .Verwundern müssen wir uns zwar über der	1065	3	85699-Praetorius__Johannes.tsv
