DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PDAT	PDAT		PDAT	diese			Diese	Bilder stürmten so heftig auf ihn ein , daß ihm ganz schwindelig wurde .	Wandbretter , was für chinesische Vasen !Diese Bilder stürmten so heftig auf ihn ein , daß ihm ganz schwindelig wurde .Er wird sie bei sich empfangen ,	5476	0	26039-Flaubert__Gustave.tsv
PDAT	PDAT		PDAT	diese			Diese	beiden letztgenannten Eigenschaften sind die Ursache ihrer nicht ganz freiwilligen Entfernung aus Berlin , wo man im Zeichen der Tugend und Gottesfurcht steht .	ihrer Tätigkeit hierher verlegt zu haben .Diese beiden letztgenannten Eigenschaften sind die Ursache ihrer nicht ganz freiwilligen Entfernung aus Berlin , wo man im Zeichen der Tugend und Gottesfurcht steht .Alle bösen Geister haben wieder von mir	902	0	14315-Braun__Lily.tsv
PDAT	PDAT		PDAT	diese			Diese	Menschen sind die Verschwender des Lebens , Könige in ihrer Art , voller Ideale und Phantastereien .	sie zu guter Letzt reiche Erbinnen .Diese Menschen sind die Verschwender des Lebens , Könige in ihrer Art , voller Ideale und Phantastereien .Dazu Schleppkleider , Staatsgeheimnisse und tausend Qualen	4382	0	26038-Flaubert__Gustave.tsv
PDAT	PDAT		PDAT	diese			Dieser	Ort war sein Liebling , er ward ihm durch die Erinnerung zu einer heiligen Heimat aller Schmerzen und Entschlüsse .	und floh den Umgang der Menschen .Dieser Ort war sein Liebling , er ward ihm durch die Erinnerung zu einer heiligen Heimat aller Schmerzen und Entschlüsse .Diese Größe der Seele war die Seite	733	0	97133-Schlegel__Friedrich.tsv
PDAT	PDAT		PDAT	diese			Dieses	wenig-kostbare Reichthum hat Rom zum Haupte der Welt / und ihren Bürgern die Unmögligkeit selbst leichte gemacht .	und die Belohnung grosser Verdienste fand .Dieses wenig-kostbare Reichthum hat Rom zum Haupte der Welt / und ihren Bürgern die Unmögligkeit selbst leichte gemacht .Lasset es bey euch nunmehr dessen Danck	27314	0	78039-Lohenstein__Daniel_Casper_von.tsv
PDAT	PDAT		PDAT	diese		Und doch sind selbst	diese	Denkmäler der Vorzeit für nichts in Vergleichung einer fast unglaublichen Urkunde zu achten , die in einer , wenn ich nicht irre , aus den Menechmen des Plautus genommenen Zeile das größte Geheimniß der vergangenen Zeit enthüllt , mit der Unterschrift , statt des Namens , Vultus tyranni .	sagen wissen als solch eine Fensterscheibe .Und doch sind selbst diese Denkmäler der Vorzeit für nichts in Vergleichung einer fast unglaublichen Urkunde zu achten , die in einer , wenn ich nicht irre , aus den Menechmen des Plautus genommenen Zeile das größte Geheimniß der vergangenen Zeit enthüllt , mit der Unterschrift , statt des Namens , Vultus tyranni .Welches Licht wird nicht mein glänzendes Museum	8608	4	104263-Th_mmel__Moritz_August_von.tsv
PDAT	PDAT		PDAT	diese		Was nicht einzelnes Atom ist das um sich selber dreht , sondern lebendige Kraft die in sich gebunden und geschlossen nach außen strahlt , das bildet und schließt das durchdringbare nähere oder fernere Wesen sich ein , verselbt es und verinnert es , und da	diese	Kraft überall einfach und ganz ist , so wird , wie weit sie auch reicht , einfach und ganz was ihr sich eint : nur der Umfang kann wachsen , nicht die Rundheit und die Bindung .	keine Mache , sondern ein Gesetz .Was nicht einzelnes Atom ist das um sich selber dreht , sondern lebendige Kraft die in sich gebunden und geschlossen nach außen strahlt , das bildet und schließt das durchdringbare nähere oder fernere Wesen sich ein , verselbt es und verinnert es , und da diese Kraft überall einfach und ganz ist , so wird , wie weit sie auch reicht , einfach und ganz was ihr sich eint : nur der Umfang kann wachsen , nicht die Rundheit und die Bindung .Die Gotteskunde ist aufgehendes und übergehendes Menschtum	276	45	56347-Gundolf__Friedrich.tsv
PDAT	PDAT		PDAT	diese		Ihm ist berichtet , daß einer von ihnen weit herkommt aus dem Lande , wo der große Herr der Franken auf dem Goldstuhl sitzt ; ist einer aus	diesem	Lande gesendet , der nenne sich .	ist , Fremde so zu begrüßen .Ihm ist berichtet , daß einer von ihnen weit herkommt aus dem Lande , wo der große Herr der Franken auf dem Goldstuhl sitzt ; ist einer aus diesem Lande gesendet , der nenne sich .das Verständnis für den Jammer der neuen	20321	28	27046-Freytag__Gustav.tsv
PDAT	PDAT		PDAT	diese		– Der Vater , ein eifriger Handelsmann , war mit	diesem	unsichtbaren Angebinde der Fee nicht ganz zufrieden , und meinte zu seiner Frau , sie hätte dem Kinde wohl ein werthvolleres Geschenk machen können .	Da bin ich , greif' mich !– Der Vater , ein eifriger Handelsmann , war mit diesem unsichtbaren Angebinde der Fee nicht ganz zufrieden , und meinte zu seiner Frau , sie hätte dem Kinde wohl ein werthvolleres Geschenk machen können .Sein Gefieder schimmerte in allen Farben des	24	10	72446-Lehnert__Johann_Heinrich.tsv
PDAT	PDAT		PDAT	diese		Er kam von selbst auf den Gedanken , noch an	diesem	Tage mit dem alten Simon zu sprechen , und lud mich ein , mit ihm nach Bornheim zu fahren , wo der Schabbes heute die noble Welt des alten Judenquartiers , der neuen Judenstraße , überhaupt alle Stämme Israels versammelt habe .	Was kommt dort von der Höh !Er kam von selbst auf den Gedanken , noch an diesem Tage mit dem alten Simon zu sprechen , und lud mich ein , mit ihm nach Bornheim zu fahren , wo der Schabbes heute die noble Welt des alten Judenquartiers , der neuen Judenstraße , überhaupt alle Stämme Israels versammelt habe .» Ach das verstehst du nicht «	2553	10	58301-Hauff__Wilhelm.tsv
