DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PIAT	PIAT		PIAT	alle		Und dennoch verzweifelte dieser große , unbezähmbare und unermüdliche Geist , der	allen	Prüfungen trotzte , noch immer nicht .	Existenz als die des großen Seefahrers ?Und dennoch verzweifelte dieser große , unbezähmbare und unermüdliche Geist , der allen Prüfungen trotzte , noch immer nicht .Er ließ sich also in Cordova ,	3959	12	107557-Verne__Jules.tsv
PIAT	PIAT		PIAT	alle		Als er heimkehrte und zum Schillerbrünnlein kam , stand ihm plötzlich eine Mauer entgegen , so daß er	aller	Mühe unerachtet nicht weiter konnte .	Bild in den Pfarrhof zu bringen .Als er heimkehrte und zum Schillerbrünnlein kam , stand ihm plötzlich eine Mauer entgegen , so daß er aller Mühe unerachtet nicht weiter konnte .Ein protestantischer Reiter , der in diesem	5	18	94804-Sch_ppner__Alexander.tsv
PIAT	PIAT		PIAT	beide		Diese	beiden	letztgenannten Eigenschaften sind die Ursache ihrer nicht ganz freiwilligen Entfernung aus Berlin , wo man im Zeichen der Tugend und Gottesfurcht steht .	ihrer Tätigkeit hierher verlegt zu haben .Diese beiden letztgenannten Eigenschaften sind die Ursache ihrer nicht ganz freiwilligen Entfernung aus Berlin , wo man im Zeichen der Tugend und Gottesfurcht steht .Alle bösen Geister haben wieder von mir	902	1	14315-Braun__Lily.tsv
PIAT	PIAT		PIAT	beide		Die Neugier	beider	Ärzte war in höchstem Grade geweckt .	den Zustand Herrn Waldemars zu prüfen .Die Neugier beider Ärzte war in höchstem Grade geweckt .Die Gliedmaßen des Patienten waren von eisiger	17	2	85684-Poe__Edgar_Allan.tsv
PIAT	PIAT		PIAT	einige		Als sie	einige	Zeit so gearbeitet hatten , wanderten sie weiter .	und so bekam Petrus nocheinmal Prügel .Als sie einige Zeit so gearbeitet hatten , wanderten sie weiter .« Der kam auch bald wieder und	12	2	99007-Spiegel__Karl.tsv
PIAT	PIAT		PIAT	einige		Hier ließ er als Knabe seine » Kadetten « und	einige	Jahre später seine » Leib-Compagnie « exerzieren .	wurde er in die Gensdarmenwache zurückgebracht .Hier ließ er als Knabe seine » Kadetten « und einige Jahre später seine » Leib-Compagnie « exerzieren .Auf die Frage jedoch , » an	2595	10	26867-Fontane__Theodor.tsv
PIAT	PIAT		PIAT	einige		1 Mein Vater konnte sich nie zur Herausgabe dieses Lebens entschließen ; das Manuskript nebst	einigen	andern Abhandlungen befindet sich in den Händen der Familie und soll seiner Zeit dem Publikum nicht vorenthalten werden .	– krink – kronk – krank .1 Mein Vater konnte sich nie zur Herausgabe dieses Lebens entschließen ; das Manuskript nebst einigen andern Abhandlungen befindet sich in den Händen der Familie und soll seiner Zeit dem Publikum nicht vorenthalten werden .Lieber wollte ich der Calliope selbst ein	4789	15	99260-Sterne__Laurence.tsv
PIAT	PIAT		PIAT	einige		Aus dem Munde	einiger	Machthaber zu München hatte ich so oft die Worte gehört , man müsse den Glauben verbinden mit dem Wissen .	die Philosophie an die katholische Religion .Aus dem Munde einiger Machthaber zu München hatte ich so oft die Worte gehört , man müsse den Glauben verbinden mit dem Wissen .Mißgunst und Neid hat Engel zum Falle	1548	3	59693-Heine__Heinrich.tsv
PIAT	PIS		PIAT	etliche		16 Denn	etliche	da sie höreten / richteten eine verbitterung an / Aber nicht alle / die von Egypten ausgiengen durch Mosen .	/ bis ans ende feste behalten .16 Denn etliche da sie höreten / richteten eine verbitterung an / Aber nicht alle / die von Egypten ausgiengen durch Mosen .2 Darumb so die Bösen / meine	14083	2	78101-Luther__Martin.tsv
PIAT	ADJA		ADJA	jede		Keyser Constantinus wurd beym Romano Lacopeno also angegeben und verfuchsschwäntzet / daß er vom Keyserthumb abtreten must / und in solche noth gerieth / daß er auch die Mahler-Kunst sich zuernehren treiben muste / aber das Glück wolte ihm so wol / daß er wieder zum Reich ist erhoben worden / dz es wol nach dem Reim heiset : Ludovicus der 11. König in Franckreich gab dem Cottorio seinem Medico	iedes	Monats zehentausent Goldgülden zu Lehn .	/ darüber läst er ihn tödten .Keyser Constantinus wurd beym Romano Lacopeno also angegeben und verfuchsschwäntzet / daß er vom Keyserthumb abtreten must / und in solche noth gerieth / daß er auch die Mahler-Kunst sich zuernehren treiben muste / aber das Glück wolte ihm so wol / daß er wieder zum Reich ist erhoben worden / dz es wol nach dem Reim heiset : Ludovicus der 11. König in Franckreich gab dem Cottorio seinem Medico iedes Monats zehentausent Goldgülden zu Lehn .Fabricius .	3187	70	57929-Hammer__Matth_us.tsv
PIAT	PIAT		PIAT	jede		Endlich sagte ein gescheiter Mann , es wär am gescheitsten , wenn man an	jeden	Geldkasten eine Falle hinmachte .	kommen und erzählte ihnen die Geschichte .Endlich sagte ein gescheiter Mann , es wär am gescheitsten , wenn man an jeden Geldkasten eine Falle hinmachte .Hans war jetzt ein ganz ausgewichster Kerl	21	14	99013-Spiegel__Karl.tsv
PIAT	PIAT		PIAT	jede		– Ja , antwortete der Doctor , ein im Freien und ge schützt vor	jeder	Rückstrahlung angebrachtes Thermometer steigt nie und nirgends über hundertfünfunddreißig Grad über Null (+ 57 ° hunderttheilig ) , so wie es andererseits nicht unter zweiundsiebenzig Grad (– 58 ° hunderttheilig ) herabsinkt .	Zahl kein Zweifel sein kann .. .– Ja , antwortete der Doctor , ein im Freien und ge schützt vor jeder Rückstrahlung angebrachtes Thermometer steigt nie und nirgends über hundertfünfunddreißig Grad über Null (+ 57 ° hunderttheilig ) , so wie es andererseits nicht unter zweiundsiebenzig Grad (– 58 ° hunderttheilig ) herabsinkt .fragte der Zimmermann .	2196	14	107490-Verne__Jules.tsv
PIAT	PIAT		PIAT	keine		Aber Luther war	kein	Heiliger , und er hatte es nicht mit Heiligen zu tun .	das Blut Christi genannt und geglaubt .Aber Luther war kein Heiliger , und er hatte es nicht mit Heiligen zu tun .« Und , auch so angesehen ,	115	3	18627-Claudius__Matthias.tsv
