DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PWS	PWS		PWS	was			Was	kümmerten ihn die Städte des Orients mit ihrer fremdartigen Pracht , was die Menschen , die Sitten , die Gesetze hier .	Was verlangte er übrigens ?Was kümmerten ihn die Städte des Orients mit ihrer fremdartigen Pracht , was die Menschen , die Sitten , die Gesetze hier .Es hieß in guter Kameradschaft weiterleben .	155	0	64870-Janitschek__Maria.tsv
PWS	PWS		PWS	was			Was	ist weycher in den Männern dann allein das verstälte Weibische Lächlend vnd Heuchlend Gesicht vnd Augen ?	Buhlen-Brieff ] ein Müller-Esel mit Säcken .Was ist weycher in den Männern dann allein das verstälte Weibische Lächlend vnd Heuchlend Gesicht vnd Augen ?Andere haben so viel Zöpff vnd Haarlocken	3210	0	82843-Moscherosch__Johann_Michael.tsv
PWS	PWS		PWS	was			Was	bürdet er sich im eitlen Selbstgefühl das willkührliche Opfer auf ?	er das lastende Gewicht voreiliger Entschließung !Was bürdet er sich im eitlen Selbstgefühl das willkührliche Opfer auf ?Bedenkt er , daß das Leben lang	2311	0	26894-Fouqu___Caroline_de_la_Motte.tsv
PWS	PWS		PWS	was		« »	Was	– – wie – – ?	Absicht sehr leicht zu verfehlen sei .« » Was – – wie – – ?» Hanneh bat mich , in jede	9878	2	79321-May__Karl.tsv
PWS	PWS		PWS	was			Was	ich schrieb , sollte die Augen einflußreicher Menschen , der Schriftsteller , der Bürger auf die Noth der Armen lenken – was ich that , sollte , da ich anders nicht helfen konnte , die Kameraden hier eines besseren Looses werther machen .	bald ganz zertrümmert sein wird Ja !Was ich schrieb , sollte die Augen einflußreicher Menschen , der Schriftsteller , der Bürger auf die Noth der Armen lenken – was ich that , sollte , da ich anders nicht helfen konnte , die Kameraden hier eines besseren Looses werther machen .– Sie hörte nicht weiter auf ihn	293	0	83703-Otto__Louise.tsv
PWS	PWS		PWS	was		Ein Lächeln seiner Göttin war genug , ihn in Vergnügen zu zerschmelzen ; ihre Blicke schienen ihm einen überirdischen Glanz über alles auszugießen , und ihr Atem der ganzen Natur den Geist der Liebe einzuhauchen :	Was	mußte denn aus ihm werden , da sie zu Vollendung ihres Sieges alles anwendete , was auch den unempfindlichsten unter allen Menschen zu ihren Füßen hätte legen können ?	ihren ganzen Plan hätte vereiteln können .Ein Lächeln seiner Göttin war genug , ihn in Vergnügen zu zerschmelzen ; ihre Blicke schienen ihm einen überirdischen Glanz über alles auszugießen , und ihr Atem der ganzen Natur den Geist der Liebe einzuhauchen : Was mußte denn aus ihm werden , da sie zu Vollendung ihres Sieges alles anwendete , was auch den unempfindlichsten unter allen Menschen zu ihren Füßen hätte legen können ?Allein auch dieses war nicht genug ;	2445	36	110268-Wieland__Christoph_Martin.tsv
PWS	PWS		PWS	was			Was	soll die stumme Frage , die du damit stellst ?	und du verschwändest ganz und gar .Was soll die stumme Frage , die du damit stellst ?Wese , alter Nachtschatten , Freund ,	33	0	64954-Kafka__Franz.tsv
PWS	PRELS		PWS	was		Die Propheten aber immer im Blik auf 's verheissene Königreich der lezten Zeitdamit Ihnen das bekannt werde , was noch kommen soll ; aber mit einem einfältigen kindlichen Glauben : daß Gott dem Wort nach manches erfüllen könne ,	was	uns thöricht und unmöglich scheint , gleichwie er auch von Anfang an gethan : z.B. in Ansehung der Sündflut , Erscheinungen , und Besuch bei Abraham ; in den Offenbarungen , die dem Moses zu verschiedenenmalen wiederfahren ; ferner bei'm Durchgang durch 's rothe Meer , Speisung eines so großen Volkes in der Wüste , und Tränkung desselben aus einem Felsen , wo vorher kein Wasser floß : u. s.w. welches alles die heutigen Gelehrten vorher , eh es geschehen war , eben so wenig geglaubt , und Gott lieber in den engen Bezirk ihres kurzgefaßten Möglichkeitsystems eingeschlossen , und einen jeden Glaubigen ausgelacht hätten , wie ver mutlich die vor der Sündflut den Noah ausgelacht , als er den Schiffkasten gebaut ; und die zu Sodom den Loth , als er die Zerstörung ihrer Stadt geglaubt .	die nachfolgende Geistesrichtung meines seligen Vaters .Die Propheten aber immer im Blik auf 's verheissene Königreich der lezten Zeitdamit Ihnen das bekannt werde , was noch kommen soll ; aber mit einem einfältigen kindlichen Glauben : daß Gott dem Wort nach manches erfüllen könne , was uns thöricht und unmöglich scheint , gleichwie er auch von Anfang an gethan : z.B. in Ansehung der Sündflut , Erscheinungen , und Besuch bei Abraham ; in den Offenbarungen , die dem Moses zu verschiedenenmalen wiederfahren ; ferner bei'm Durchgang durch 's rothe Meer , Speisung eines so großen Volkes in der Wüste , und Tränkung desselben aus einem Felsen , wo vorher kein Wasser floß : u. s.w. welches alles die heutigen Gelehrten vorher , eh es geschehen war , eben so wenig geglaubt , und Gott lieber in den engen Bezirk ihres kurzgefaßten Möglichkeitsystems eingeschlossen , und einen jeden Glaubigen ausgelacht hätten , wie ver mutlich die vor der Sündflut den Noah ausgelacht , als er den Schiffkasten gebaut ; und die zu Sodom den Loth , als er die Zerstörung ihrer Stadt geglaubt .Klopstok wurde durch mich in Ludwigsburg ,	3587	39	97606-Schubart__Christian_Friedrich_Daniel.tsv
PWS	PRELS		PWS	was		« Sie ahnte , daß draußen in der Nachteinsamkeit des vertrauten Sees die Scheu von ihm weichen müßte , die ihn jetzt noch davon abhielt , der Mutter zu gestehen ,	was	ihm widerfahren war .	: » Du sollst mir erzählen .« Sie ahnte , daß draußen in der Nachteinsamkeit des vertrauten Sees die Scheu von ihm weichen müßte , die ihn jetzt noch davon abhielt , der Mutter zu gestehen , was ihm widerfahren war .« fragte er schwach .	802	31	97226-Schnitzler__Arthur.tsv
PWS	PRELS		PWS	was		« » Wir sind übrigens , « fuhr er fort , » ganz von dem abgekommen ,	was	wir vorhin sprachen .	; nun mag das meinige beginnen .« » Wir sind übrigens , « fuhr er fort , » ganz von dem abgekommen , was wir vorhin sprachen .Dein erster Stoß hat sie niedergeworfen ;	6969	17	79309-May__Karl.tsv
PWS	PIS		PWS	was		Denn all jene anderen Dinge , –	was	hatten sie im Grunde zu bedeuten ?	voll Einsicht in sein tiefstes Wesen .Denn all jene anderen Dinge , – was hatten sie im Grunde zu bedeuten ?Denn seiner Gattin Leib war welk und	66	7	97220-Schnitzler__Arthur.tsv
PWS	PIS		PIS	was		Zwar die Regeln selbst waren leicht zu machen ; sie lehren nur	was	geschehen soll , ohne zu sagen , wie es geschehen kann .	um so unschicklicher zur Komödie sein ?Zwar die Regeln selbst waren leicht zu machen ; sie lehren nur was geschehen soll , ohne zu sagen , wie es geschehen kann .Denn , wenn es nun wirklich einmal	959	12	73655-Lessing__Gotthold_Ephraim.tsv
PWS	PWS		PIS	was		Was ich schrieb , sollte die Augen einflußreicher Menschen , der Schriftsteller , der Bürger auf die Noth der Armen lenken –	was	ich that , sollte , da ich anders nicht helfen konnte , die Kameraden hier eines besseren Looses werther machen .	bald ganz zertrümmert sein wird Ja !Was ich schrieb , sollte die Augen einflußreicher Menschen , der Schriftsteller , der Bürger auf die Noth der Armen lenken – was ich that , sollte , da ich anders nicht helfen konnte , die Kameraden hier eines besseren Looses werther machen .– Sie hörte nicht weiter auf ihn	293	22	83703-Otto__Louise.tsv
PWS	PWS		PWS	was		Aber	was	kann man von den Dienstboten verlangen , wo Madame zu – faul ist , – ja , ich habe es gesagt , – um sich auch nur im Geringsten ihres Hauswesens anzunehmen !	nicht im weichen Fauteuil – Madame !Aber was kann man von den Dienstboten verlangen , wo Madame zu – faul ist , – ja , ich habe es gesagt , – um sich auch nur im Geringsten ihres Hauswesens anzunehmen !» Und der ?	13930	1	56361-Hackl_nder__Friedrich_Wilhelm_von.tsv
PWS	PWS		PWS	was		Der verliebte Prinz / mich also reden hörend / fiele mir mit tränen üm den hals / und als er nachgehends von mir weiläufig erfahren / wie es hiemit die rechte beschaffenheit håtte / gabe er sich in dem fall /	was	mich betraffe / wieder zu frieden .	/ diese aber viel freunde dultet .Der verliebte Prinz / mich also reden hörend / fiele mir mit tränen üm den hals / und als er nachgehends von mir weiläufig erfahren / wie es hiemit die rechte beschaffenheit håtte / gabe er sich in dem fall / was mich betraffe / wieder zu frieden .Als die K \ nigin solches vermerket	96	41	3459-Anton_Ulrich_Herzog_von_Braunschweig.tsv
PWS	PWS		PRELS	was		Das Erste , was wir zu thun hatten , wäre also , diese unbrauchbar zu machen , damit sie nicht fortgebracht werden könne , und dann abzuwarten ,	was	weiter erfolgen würde .	, ihm ganz unbekannte Dinge waren .Das Erste , was wir zu thun hatten , wäre also , diese unbrauchbar zu machen , damit sie nicht fortgebracht werden könne , und dann abzuwarten , was weiter erfolgen würde .Die Kälte war auch bereits so groß	1705	28	21704-Defoe__Daniel.tsv
PWS	XY		PIS	was		Da was hamål ein Schäper , dei hädd na Dudelsack , up dem hei sick bi de Schåpe im Fild	wat	vördudeld .	as wenn sei na Noda danzd .Word Eine ull Geschichte , de vör ulla Tieda gescheine is !Word Eine ull Geschichte , de vör	1	20	18724-Colshorn__Carl_und_Theodor.tsv
PWS	PWAT		PRELS	welche		2 Solcher seiner schlauhen Ersinnungen seynd nicht die einfältigste /	welche	er ausübet / durch die gespenstische Erscheinung / Vorstellung dieser oder jener Gestalt / und allerley Schreck gesichter / imgleichen durch Erregung manches grauerischen Gepolters und Getösses .	deß Ehrwürdigen Vaters Philippi à SS .2 Solcher seiner schlauhen Ersinnungen seynd nicht die einfältigste / welche er ausübet / durch die gespenstische Erscheinung / Vorstellung dieser oder jener Gestalt / und allerley Schreck gesichter / imgleichen durch Erregung manches grauerischen Gepolters und Getösses .hat sie geantwortet / sie wäre verwandelt	1595	10	26907-Francisci__Erasmus.tsv
PWS	PRELS		PWS	welches		Es wäre fürwahr nicht die sterbliche Schönheit / nicht die Hurtigkeit des Geistes / nicht die Ubermaaß der Tugend die Angel / an welcher unsere Seele hencken bliebe ; sondern das wunderbare Gesetze des Verhängnüsses /	welches	uns diesen oder jenen zu lieben leitete / oder durch einen Nothzwang gleichsam mit den Haaren darzu züge .	oder auch was annehmlichers nicht sehen ?Es wäre fürwahr nicht die sterbliche Schönheit / nicht die Hurtigkeit des Geistes / nicht die Ubermaaß der Tugend die Angel / an welcher unsere Seele hencken bliebe ; sondern das wunderbare Gesetze des Verhängnüsses / welches uns diesen oder jenen zu lieben leitete / oder durch einen Nothzwang gleichsam mit den Haaren darzu züge .Warumb fürchtet sich der Elephant und Hirsch	46629	36	78039-Lohenstein__Daniel_Casper_von.tsv
PWS	PRELS		PWS	welches		Es rührte mich späterhin sehr , das Lebensereignis zu erfahren ,	welches	diese beiden zu untrennbaren Freunden gemacht hatte .	sonderbare Geschichte meiner Berufung nach London .Es rührte mich späterhin sehr , das Lebensereignis zu erfahren , welches diese beiden zu untrennbaren Freunden gemacht hatte .Praeger führte mich aber auch zu seinem	3979	11	107728-Wagner__Richard.tsv
PWS	PWS		PWS	wer		128. Da er nach erzehleter kläglicher Historien / wie der Teuffel eine Hexe geholet habe / hinzuthut / also schliessend :	Wer	da weder in jener Welt ein glückseliges / noch in dieser ein Gottseliges Leben haben wil / der suche durch ein solch Gottloß Hexen-Wesen den Tod bey den Teuffeln .	de Gent .128. Da er nach erzehleter kläglicher Historien / wie der Teuffel eine Hexe geholet habe / hinzuthut / also schliessend : Wer da weder in jener Welt ein glückseliges / noch in dieser ein Gottseliges Leben haben wil / der suche durch ein solch Gottloß Hexen-Wesen den Tod bey den Teuffeln .Wie sie von GOTT ewig verdammet werden	3077	21	85699-Praetorius__Johannes.tsv
PWS	PWS		PWS	wer			Wer	es glauben will , der mag es thun , deßwegen beschweret er sein Gewissen nicht ; ich glaubs aber nicht .	Gäste , iedoch nicht alle mahl .Wer es glauben will , der mag es thun , deßwegen beschweret er sein Gewissen nicht ; ich glaubs aber nicht .Wenn alsdenn des folgenden Tages ausgekehret wird	6853	0	97156-Schmidt__Johann_Georg.tsv
PWS	PWS		PWS	wer			Wer	hat nicht schon einen Schriftsteller aus seinen Werken liebgewonnen und sich die höchste persönliche Vorstellung von ihm gemacht ?	eine Freundschaft auf dem Papier anzuknüpfen .Wer hat nicht schon einen Schriftsteller aus seinen Werken liebgewonnen und sich die höchste persönliche Vorstellung von ihm gemacht ?« » Vivat sequens « rief ein	225	0	71499-Kurz__Hermann.tsv
PWS	PWS		PWS	wer		« rief Jusuf , » du kommst eben recht , den guten Vater noch einmal zu sehen ; denn	wer	weiß , ob ich den Lebensthau erlange , den ich ihm holen will ?	, Sumi , vergiß mein nicht !« rief Jusuf , » du kommst eben recht , den guten Vater noch einmal zu sehen ; denn wer weiß , ob ich den Lebensthau erlange , den ich ihm holen will ?Wiße ; wenn du um den dritten	224	19	71765-L_hr__Johann_Andreas_Christian.tsv
PWS	PWS		PWS	wer		Aber sage mir /	wer	hat diß übel in meinem Hause gestifftet ?	nicht über eure Schwelle gebracht haben .Aber sage mir / wer hat diß übel in meinem Hause gestifftet ?Der verwägene Geta antwortete ihm : Herr	8444	4	15210-Buchholtz__Andreas_Heinrich.tsv
