DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
TRUNC	TRUNC		TRUNC	bruder-			Bruder-	und Vater-Mord ist gegen dem ein so viel grausamer Laster / als wir uns selbst über Vater und Bruder lieb zu haben schuldig sind .	und sich für dem Tode entsetzen .Bruder- und Vater-Mord ist gegen dem ein so viel grausamer Laster / als wir uns selbst über Vater und Bruder lieb zu haben schuldig sind .Also sterben ist nicht die Schmertzen überwinden	21432	0	78039-Lohenstein__Daniel_Casper_von.tsv
TRUNC	TRUNC		TRUNC	brunnen-		Die neugestiftete	Brunnen-	und Badeanstalt zu Sagard auf Jasmund vermehrte den Zuspruch .	Menschen , die im Lande wohnten .Die neugestiftete Brunnen- und Badeanstalt zu Sagard auf Jasmund vermehrte den Zuspruch .Von Pfingsten bis zum Spätherbst war unsre	447	2	68610-Kosegarten__Gotthard_Ludwig.tsv
TRUNC	TRUNC		TRUNC	busch-		Es dauerte indes nicht lange , so hörten zu beiden Seiten die Wälle auf , und vor uns in einer weiten	Busch-	und Wieseneinsamkeit lag ein stattlicher Bauernhof .	Nußgebüsch und Brombeerranken bewachsenen Wällen entlangführte .Es dauerte indes nicht lange , so hörten zu beiden Seiten die Wälle auf , und vor uns in einer weiten Busch- und Wieseneinsamkeit lag ein stattlicher Bauernhof .Hinter demselben in einem Dorfe ließen wir	310	21	99872-Storm__Theodor.tsv
TRUNC	TRUNC		TRUNC	buß-		Kurz : Alle waren darauf bedacht , mit Wachen , Bethen , Lesen und andern	Buß-	und Andachtsübungen diese Tage zu heiligen .	in den vorhergehenden auszuzeichnen sich beeiferte .Kurz : Alle waren darauf bedacht , mit Wachen , Bethen , Lesen und andern Buß- und Andachtsübungen diese Tage zu heiligen .Woher aber das Wort Charwoche komme ,	4049	15	97256-Schreger__Odilo.tsv
TRUNC	NN		NN	chersis		Eidania und Melidia sagten einhällig aus / wiedaß sie / neben der Eunome / in manneskleidung selbigen abend zu uns gekommen / an welchem	Chersis	und Helidor den Abinael / dessen kleid Eunome angehabt / bei der Amphilite solten gesehen haben .	Halida / und des Sineabs fraue .Eidania und Melidia sagten einhällig aus / wiedaß sie / neben der Eunome / in manneskleidung selbigen abend zu uns gekommen / an welchem Chersis und Helidor den Abinael / dessen kleid Eunome angehabt / bei der Amphilite solten gesehen haben .Diese künheit der Amphilite machte alles volk	10022	24	3459-Anton_Ulrich_Herzog_von_Braunschweig.tsv
TRUNC	TRUNC		TRUNC	citronen-		Mit dornigen Hecken umgeben , enthielten sie verschiedene Abtheilungen , hier mit Gemüsen , dort mit Blumen , und dazwischen mit Anpflanzungen von Fruchtbäumen , wie von Pistazien , Mandel- und Nußbäumen , mit Orangen- ,	Citronen-	oder Bananenbäumen und Goyaven , kurz , mit allen Arten , die gewöhnlich in sehr warmen Ländern vorkommen .	« und stellten sich hier vor .Mit dornigen Hecken umgeben , enthielten sie verschiedene Abtheilungen , hier mit Gemüsen , dort mit Blumen , und dazwischen mit Anpflanzungen von Fruchtbäumen , wie von Pistazien , Mandel- und Nußbäumen , mit Orangen- , Citronen- oder Bananenbäumen und Goyaven , kurz , mit allen Arten , die gewöhnlich in sehr warmen Ländern vorkommen .Den Zellen einer ungeheueren Honigwabe ähnlich ,	659	36	107535-Verne__Jules.tsv
TRUNC	TRUNC		TRUNC	fug-		Helena aber / welche meynete / es solte Fr. Sophia mit jener anlegen und sie vertreten / ward hierüber so entrüstet / daß sie zur Antwort gab / wann ihre Fr. Wase sie noch weiters hätte beschimpffen wollen / währe solches am	fůg-	und leidlichsten ohn anderer beysein geschehẽ ; stund damit auff und ging mit ihrer Leibdienerin davon / welche schon mit der andern ihrer folge Magd angebunden hatte / und wenig fehlete / daß sie ihrer Jungfern Ansehen zu schützen / ein artiges Haarzausen angefangen hättẽ / dem einig nur hiedurch vorgebauet ward .	zuverantworten / sol ihr verzihen seyn .Helena aber / welche meynete / es solte Fr. Sophia mit jener anlegen und sie vertreten / ward hierüber so entrüstet / daß sie zur Antwort gab / wann ihre Fr. Wase sie noch weiters hätte beschimpffen wollen / währe solches am fůg- und leidlichsten ohn anderer beysein geschehẽ ; stund damit auff und ging mit ihrer Leibdienerin davon / welche schon mit der andern ihrer folge Magd angebunden hatte / und wenig fehlete / daß sie ihrer Jungfern Ansehen zu schützen / ein artiges Haarzausen angefangen hättẽ / dem einig nur hiedurch vorgebauet ward .Und wer auff Koht trit / antwortete	9683	42	15210-Buchholtz__Andreas_Heinrich.tsv
TRUNC	TRUNC		TRUNC	hand-		Es muß beiläufig noch zu	Hand-	und Taschenöfen kommen , wenn man einmal aus den Bergwerken statt der Metalle das Holz , womit man sie jetzt ausfüttert , wird holen müssen ... .	Almanach und wischen die Vergangenheit aus .Es muß beiläufig noch zu Hand- und Taschenöfen kommen , wenn man einmal aus den Bergwerken statt der Metalle das Holz , womit man sie jetzt ausfüttert , wird holen müssen ... .Indes mein viel zu prunkendes Ameublement in	608	5	64889-Jean_Paul.tsv
TRUNC	TRUNC		TRUNC	jubel-		Was	Jubel-	und Freudenfest haben die Philistäer angestellt , wie sie den Samson ertappt haben ; alles Volk ist zusammen geloffen , und hat dem Abgott Dagon in seinem prächtigen Tempel ein Dankopfer abgelegt ; nach solchem war eine stattliche Mahlzeit angestellt , wobei sich die Vornehmen eingefunden ; wie sie nun ziemlich gezecht , und die Kandel und Gläser wohl getummlet , da haben sie aus dem Tempel ein Komödie-Haus gemacht , dann auf dieser großen Herren Befehl ist der Samson hinein geführt worden , ein Gespäß , sowohl den Vornehmen als den Gemeinen zu machen ; dann sie zupften und stoßten ihn bald da und dort , und weil ihm die Augen ausgraben worden , also ist er an eine Wand um die andere angeloffen , und weil sie ihm mit mit allem Fleiß hin und her etwas unter die Füße gelegt , also ist er mehrmal auf die Nase gefallen , und ein solches ungeheures Geschrei und Gelächter verursacht , daß hiervon der ganze Tempel erschallen thäte .	, welches allerlei Krankheiten wendet etc .Was Jubel- und Freudenfest haben die Philistäer angestellt , wie sie den Samson ertappt haben ; alles Volk ist zusammen geloffen , und hat dem Abgott Dagon in seinem prächtigen Tempel ein Dankopfer abgelegt ; nach solchem war eine stattliche Mahlzeit angestellt , wobei sich die Vornehmen eingefunden ; wie sie nun ziemlich gezecht , und die Kandel und Gläser wohl getummlet , da haben sie aus dem Tempel ein Komödie-Haus gemacht , dann auf dieser großen Herren Befehl ist der Samson hinein geführt worden , ein Gespäß , sowohl den Vornehmen als den Gemeinen zu machen ; dann sie zupften und stoßten ihn bald da und dort , und weil ihm die Augen ausgraben worden , also ist er an eine Wand um die andere angeloffen , und weil sie ihm mit mit allem Fleiß hin und her etwas unter die Füße gelegt , also ist er mehrmal auf die Nase gefallen , und ein solches ungeheures Geschrei und Gelächter verursacht , daß hiervon der ganze Tempel erschallen thäte .Aus dem Grab der heil. Jungfrau und	11124	1	4-Abraham_a_Sancta_Clara.tsv
TRUNC	TRUNC		TRUNC	kirsch-		8. Das impfen und peltzen soll auch von den Vögeln abgesehen worden seyn / daher kommet / daß man offt auf einem Felsen einen	Kirsch-	oder Weixelbaum siehet / welches Kern ein Vogel mit seinem Mist in eines solches Steines Ritzen fallen lassen / dardurch er bekleibet und erwachsen / weil es von dem Regen befeuchtet worden / unnd besagten Mist anfangs zu einer Erden gehabt .	auf neue Uberschrifften bedacht seyn müssen .8. Das impfen und peltzen soll auch von den Vögeln abgesehen worden seyn / daher kommet / daß man offt auf einem Felsen einen Kirsch- oder Weixelbaum siehet / welches Kern ein Vogel mit seinem Mist in eines solches Steines Ritzen fallen lassen / dardurch er bekleibet und erwachsen / weil es von dem Regen befeuchtet worden / unnd besagten Mist anfangs zu einer Erden gehabt .4 Luc. 5/39 .	1446	24	58090-Harsd_rffer__Georg_Philipp.tsv
