DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
VAPP	VAPP		VAPP	haben		« » Hat der andere einen grauen Bart	gehabt	?	ziehen mit , wir ziehen mit .« » Hat der andere einen grauen Bart gehabt ?Sie verzehrten das Mahl , und tranken	3720	8	99435-Stifter__Adalbert.tsv
VAPP	VAPP		VAPP	haben		Daher Mancher , der es im Vermögen	gehabt	, ein Stattliches an Geld oder an andern Sachen , um solches wiederum zu versöhnen und bei demselben Gnade zu erwerben , ihm aufgeopfert hat .	nein zu verstehen geben wollte etc .Daher Mancher , der es im Vermögen gehabt , ein Stattliches an Geld oder an andern Sachen , um solches wiederum zu versöhnen und bei demselben Gnade zu erwerben , ihm aufgeopfert hat .Es war so gemacht , daß ,	8	7	53655-Gr_sse__Johann_Georg_Theodor.tsv
VAPP	VAPP		VAPP	sein		Diese beiden Leute sind nach den Schüssen , welche sie erhielten , sofort tot	gewesen	.	Ist das wahr ?Diese beiden Leute sind nach den Schüssen , welche sie erhielten , sofort tot gewesen .» Allah 'l Allah !	10230	14	79308-May__Karl.tsv
VAPP	VAPP		VAPP	sein		Von diesem Punkt aus hätten Barbicane und seine Genossen die Erde , wäre sie in vollem Licht	gewesen	, wieder erblicken können .	seinen Zorn nicht länger zurückhalten konnte .Von diesem Punkt aus hätten Barbicane und seine Genossen die Erde , wäre sie in vollem Licht gewesen , wieder erblicken können .sagte Michel , und rückte etwas näher	1686	17	107495-Verne__Jules.tsv
VAPP	VAPP		VAPP	sein		Er hatt täglich sein auffrit bey inen , wartet auch gantz getreülich uff den dienst ; dann sidher er in Brobant	gewesen	und selb juncker gesein , was es im nie so wol umb das maulfůter gestanden .	schaffen oder ihm selb underschleiff geben .Er hatt täglich sein auffrit bey inen , wartet auch gantz getreülich uff den dienst ; dann sidher er in Brobant gewesen und selb juncker gesein , was es im nie so wol umb das maulfůter gestanden .Als aber nun das maal vollendet waß	1061	21	110198-Wickram__Georg.tsv
VAPP	VAPP		VAPP	sein		Eine alte Bäuerin in der broker Bauerschaft erzählte : In alter Zeit haben sich bei Koesfeld in einem alten verfallenen Gemäuer vor der Stadt , wo man noch die deiveskûle zeigt , drei Schmiede aufgehalten , die gar starke und gewaltige Leute	gewesen	sind , und den Bauern nicht allein Pflugeisen und anderes Eisenwerk gestohlen , sondern es ihnen auch in offenem Raub abgenommen haben .	wußte , wo es geblieben war .Eine alte Bäuerin in der broker Bauerschaft erzählte : In alter Zeit haben sich bei Koesfeld in einem alten verfallenen Gemäuer vor der Stadt , wo man noch die deiveskûle zeigt , drei Schmiede aufgehalten , die gar starke und gewaltige Leute gewesen sind , und den Bauern nicht allein Pflugeisen und anderes Eisenwerk gestohlen , sondern es ihnen auch in offenem Raub abgenommen haben .Word Ein Bursche aus Koesfeld erzählte ,	3	42	70402-Kuhn__Adalbert.tsv
VAPP	VAPP		VAPP	sein		Dem Prediger wäre es unmöglich	gewesen	, zurück zu bleiben , auch wenn ihm Jemand diese Qual hätte auferlegen wollen ; er folgte also ebenfalls den Uebrigen .	ich folge Ihnen .Dem Prediger wäre es unmöglich gewesen , zurück zu bleiben , auch wenn ihm Jemand diese Qual hätte auferlegen wollen ; er folgte also ebenfalls den Uebrigen .Voran !	666	5	11308-Bernhardi__Sophie.tsv
VAPP	VAPP		VAPP	sein		– Ich mußte , ich mochte wollen oder nicht , ich sah diesen Ort , und wenn Teufel drin	gewesen	wären , er hätte mir nicht fürchterlicher seyn können !	Gebet zu ; allein konnte ich ?– Ich mußte , ich mochte wollen oder nicht , ich sah diesen Ort , und wenn Teufel drin gewesen wären , er hätte mir nicht fürchterlicher seyn können !Gewiß ein rührender Gedanke ; mir war	11697	19	62295-Hippel__Theodor_Gottlieb_von.tsv
VAPP	VAPP		VAPP	sein		Zwischen den Traubengeländen war Mais angebaut	gewesen	, da und dort ragten noch einzelne dürre Stauden .	knien und ließ es ruhig geschehen .Zwischen den Traubengeländen war Mais angebaut gewesen , da und dort ragten noch einzelne dürre Stauden .Sie nahm Platz und weidete sich an	515	6	90216-Sacher_Masoch__Leopold_von.tsv
VAPP	VAPP		VAPP	sein		Da die Jagd auf dem Wege vom Fort Selkirk nach dem Fort Youkon ziemlich ausgiebig	gewesen	, hatte man die mitgenommenen Vorräte nicht zum Zwecke der täglichen Verköstigung anzurühren gebraucht .	Sollte der Wind sich gedreht haben ?Da die Jagd auf dem Wege vom Fort Selkirk nach dem Fort Youkon ziemlich ausgiebig gewesen , hatte man die mitgenommenen Vorräte nicht zum Zwecke der täglichen Verköstigung anzurühren gebraucht .– Also zweitausendzweihundert Meilen ?	1701	15	107522-Verne__Jules.tsv
