DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
VVPP	ADJD		VVPP	abreisen		Dein Bruder ist jetzt	abgereist	.	Gott !Dein Bruder ist jetzt abgereist .Gott !	2437	4	108015-Waiblinger__Wilhelm.tsv
VVPP	VVPP		VVPP	auffallen		Eine Sittsamkeit in ihren Reden , die mir noch bei keinem Mädchen so	aufgefallen	ist wie bei dieser – alles die Frucht einer guten Erziehung .	schon auf den rechten Weg bringen .Eine Sittsamkeit in ihren Reden , die mir noch bei keinem Mädchen so aufgefallen ist wie bei dieser – alles die Frucht einer guten Erziehung .‹ › Dein Vater , Patchen ,	1997	13	22329-Diderot__Denis.tsv
VVPP	VVPP		VVPP	bescheiden		Vielleicht war es dem nächsten Herrn von Arten , vielleicht war es seinem Sohne einst	beschieden	, die Güter zurückzukaufen , wenn Renatus jetzt Ordnung in die Verhältnisse des Hauses brachte .	Geschmack an ihnen habe finden können .Vielleicht war es dem nächsten Herrn von Arten , vielleicht war es seinem Sohne einst beschieden , die Güter zurückzukaufen , wenn Renatus jetzt Ordnung in die Verhältnisse des Hauses brachte .Er hatte ein angenehmes Selbstgefühl , als	318	15	73679-Lewald__Fanny.tsv
VVPP	VVPP		VVPP	bestimmen		– Mit Ew. Gnaden Verlaub , sagte Trim : – König Wilhelm war der Meinung , daß Alles in der Welt voraus	bestimmt	sei ; er pflegte zu seinen Soldaten zu sagen : jede Kugel hätte ihren Zettel .	, als meines Onkel Toby's Stadt .– Mit Ew. Gnaden Verlaub , sagte Trim : – König Wilhelm war der Meinung , daß Alles in der Welt voraus bestimmt sei ; er pflegte zu seinen Soldaten zu sagen : jede Kugel hätte ihren Zettel .– Es war gerade , als Du	86	22	99260-Sterne__Laurence.tsv
VVPP	VVPP		VVPP	bringen		82 Dise bekanten / daß sie / damit sie dem Großhofmeister Mumold das leben fristeten / des Königs Sohn vmb das leben	gebracht	hettē .	Jedoch ist diß nichts newes .82 Dise bekanten / daß sie / damit sie dem Großhofmeister Mumold das leben fristeten / des Königs Sohn vmb das leben gebracht hettē .97 Vnd es schemt es hab Plato	2435	22	14106-Bodin__Jean.tsv
VVPP	VVFIN		VVPP	entbrennen		Dieser war in Liebe	entbrannt	gegen die reizende Königstochter , und sie schenkte ihm ihr Herz aus inniger Dankbarkeit .	und versprach ihm den höchsten Lohn .Dieser war in Liebe entbrannt gegen die reizende Königstochter , und sie schenkte ihm ihr Herz aus inniger Dankbarkeit .Nun geschah es , daß der Wunderarzt	7	4	10160-Bechstein__Ludwig.tsv
VVPP	VVPP		VVPP	ergreifen		Warum war aber meine Seele nicht von ebenso tiefen Gefühlen	ergriffen	, als ich jüngst zum ersten Male über den entsetzlichen Platz ging , wo Ludwig XVI. gestorben ?	mals mit ihren heitersten Farben geschmückt .Warum war aber meine Seele nicht von ebenso tiefen Gefühlen ergriffen , als ich jüngst zum ersten Male über den entsetzlichen Platz ging , wo Ludwig XVI. gestorben ?Da liegt sie , die Herrlichkeit des	63	10	59696-Heine__Heinrich.tsv
VVPP	VVPP		VVPP	erkennen		So hat es Homer mit dem Fusse des Ulysses gemacht , daran ihn seine Amme	erkannt	.	nicht zu der Handlung des Wolfes .So hat es Homer mit dem Fusse des Ulysses gemacht , daran ihn seine Amme erkannt .Aesopus würde auslachenswürdig seyn , wenn er	7840	15	48521-Gottsched__Johann_Christoph.tsv
VVPP	VVPP		VVPP	erklären		« Es ist mir nicht erlaubt , eine Beschreibung des Apparates zu geben , doch darf ich versichern , daß , als der » junge Adler « uns alles	erklärt	hatte , wir beide Tatellah-Satah und ich , von der Sicherheit und der Verläßlichkeit des Apparates derart überzeugt waren , daß in uns sofort der Wunsch aufstieg , uns seiner recht bald einmal bedienen zu dürfen .	« » Ah ?« Es ist mir nicht erlaubt , eine Beschreibung des Apparates zu geben , doch darf ich versichern , daß , als der » junge Adler « uns alles erklärt hatte , wir beide Tatellah-Satah und ich , von der Sicherheit und der Verläßlichkeit des Apparates derart überzeugt waren , daß in uns sofort der Wunsch aufstieg , uns seiner recht bald einmal bedienen zu dürfen .Oder doch , oder doch ?	7274	29	79326-May__Karl.tsv
VVPP	VVFIN		VVPP	erlauben		« Es ist mir nicht	erlaubt	, eine Beschreibung des Apparates zu geben , doch darf ich versichern , daß , als der » junge Adler « uns alles erklärt hatte , wir beide Tatellah-Satah und ich , von der Sicherheit und der Verläßlichkeit des Apparates derart überzeugt waren , daß in uns sofort der Wunsch aufstieg , uns seiner recht bald einmal bedienen zu dürfen .	« » Ah ?« Es ist mir nicht erlaubt , eine Beschreibung des Apparates zu geben , doch darf ich versichern , daß , als der » junge Adler « uns alles erklärt hatte , wir beide Tatellah-Satah und ich , von der Sicherheit und der Verläßlichkeit des Apparates derart überzeugt waren , daß in uns sofort der Wunsch aufstieg , uns seiner recht bald einmal bedienen zu dürfen .Oder doch , oder doch ?	7274	5	79326-May__Karl.tsv
VVPP	VVPP		VVPP	lassen		Kurz , ich erkläre mich schlechterdings wider alle Neuerungen , und gebe meine Stimme dahin : daß alles bey dem alten wohlhergebrachten Reichsherkommen	gelassen	werde .	Wo sind ihre Bestallungsbriefe dazu ?Kurz , ich erkläre mich schlechterdings wider alle Neuerungen , und gebe meine Stimme dahin : daß alles bey dem alten wohlhergebrachten Reichsherkommen gelassen werde .Was haben sie für eine Vollmacht aufzuweisen	1932	23	48520-Gottsched__Johann_Christoph.tsv
VVPP	VVPP		VVPP	lernen		– Hast du zufällig eine Sprache	gelernt	?	daß du nicht viel gelernt hast .– Hast du zufällig eine Sprache gelernt ?« – » Nun gut denn ,	13090	6	56361-Hackl_nder__Friedrich_Wilhelm_von.tsv
VVPP	VVPP		VVPP	machen		So hat es Homer mit dem Fusse des Ulysses	gemacht	, daran ihn seine Amme erkannt .	nicht zu der Handlung des Wolfes .So hat es Homer mit dem Fusse des Ulysses gemacht , daran ihn seine Amme erkannt .Aesopus würde auslachenswürdig seyn , wenn er	7840	9	48521-Gottsched__Johann_Christoph.tsv
VVPP	VVPP		VVPP	sagen		« – Ich gieng mit der Frau des Hauses in ein Fenster , wo ich mich über ihren Sohn beklagte , der die Ursache dieser Scene war , da er seinem Freund von meinem ihm ertheilten Lobe	gesagt	hatte .	– Die Mademoiselle C** .« – Ich gieng mit der Frau des Hauses in ein Fenster , wo ich mich über ihren Sohn beklagte , der die Ursache dieser Scene war , da er seinem Freund von meinem ihm ertheilten Lobe gesagt hatte .die Schönheit der Seele ist allezeit mit	10424	37	72270-La_Roche__Sophie_von.tsv
VVPP	VVPP		VVPP	schreiben		12 Vnd gab den Kauffbrieff Baruch dem son Neria des sons Mahaseja / in gegenwertigkeit Hanameel meines Vettern / vnd der Zeugen die im Kauffbrieff	geschrieben	stunden / vnd aller Jüden die am Hofe des Gefengnis woneten .	Geld dar / auff einer wage .12 Vnd gab den Kauffbrieff Baruch dem son Neria des sons Mahaseja / in gegenwertigkeit Hanameel meines Vettern / vnd der Zeugen die im Kauffbrieff geschrieben stunden / vnd aller Jüden die am Hofe des Gefengnis woneten .DA merckt ich / das des HERRN	3953	25	78101-Luther__Martin.tsv
VVPP	VVPP		VVPP	servieren		Indem ich die Rechnung mit der Haushälterin abschloß , fand ich , daß während der letzten zwei Wochen den Schülerinnen zweimal ein Gabelfrühstück	serviert	worden ist , welches aus Brot und Käse bestand .	nicht zu oft eintreten zu lassen .Indem ich die Rechnung mit der Haushälterin abschloß , fand ich , daß während der letzten zwei Wochen den Schülerinnen zweimal ein Gabelfrühstück serviert worden ist , welches aus Brot und Käse bestand .Das meine ist nicht der Hang zu	10915	23	15086-Bront___Charlotte.tsv
VVPP	VVPP		VVPP	sterben		An den Tisch der Grafen und edlen Herren von der Lippe sprangen nämlich in geschäftiger Eile mehrere Diener , setzten daran einen großen mit Lorbeeren geschmückten Sessel und verkündeten , daß der Graf Simon von der Lippe soeben	gestorben	sei und gleich erscheinen werde .	hier hießen sie ihn Platz nehmen .An den Tisch der Grafen und edlen Herren von der Lippe sprangen nämlich in geschäftiger Eile mehrere Diener , setzten daran einen großen mit Lorbeeren geschmückten Sessel und verkündeten , daß der Graf Simon von der Lippe soeben gestorben sei und gleich erscheinen werde .so schrie ihn der alte Ritter an	63	38	53994-Gr_sse__Johann_Georg_Theodor.tsv
