DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
APPO	PTKVZ		APPO	entgegen		Gertrud wußte wohl , daß sie einem Kampfe	entgegen	ging ; doch das Kloster auf einige Wochen verlassen zu können , die Mauern , in denen sie acht Jahre lang eingeschlossen gewesen , hinter sich zu haben , in einer Kutsche durch die freien Felder hinzurollen , die Stadt , das Vaterhaus wiederzusehen – das waren Eindrücke , die sie mit einer stürmischen Freude erfüllten .	Dinge muß man mit angesehen haben .Gertrud wußte wohl , daß sie einem Kampfe entgegen ging ; doch das Kloster auf einige Wochen verlassen zu können , die Mauern , in denen sie acht Jahre lang eingeschlossen gewesen , hinter sich zu haben , in einer Kutsche durch die freien Felder hinzurollen , die Stadt , das Vaterhaus wiederzusehen – das waren Eindrücke , die sie mit einer stürmischen Freude erfüllten .Jetzt wird er wohl in Mailand herumlaufen	705	8	78504-Manzoni__Alessandro.tsv
APPO	PTKVZ		APPO	entgegen		Amenophis hatte sich von dem Arme eines Freundes losgemacht , um sich Ereignissen	entgegen	zu stürzen , die er nicht kannte , und die sich eben darum mit allem Reiz des Wunderbaren vor seiner ahndenden Seele ausbreiteten .	zuletzt gabst , rettet dein Leben !Amenophis hatte sich von dem Arme eines Freundes losgemacht , um sich Ereignissen entgegen zu stürzen , die er nicht kannte , und die sich eben darum mit allem Reiz des Wunderbaren vor seiner ahndenden Seele ausbreiteten .Machte dir die Pyramide zu Dsyse nie	597	13	83024-Naubert__Benedikte.tsv
APPO	PTKVZ		APPO	entgegen		Schon seit längerer Zeit habe ich beobachtet , und aus vielen mir zugegangenen Berichten wohlwollender Männer und Frauen schließen können , welch ernster Gefahr Alix	entgegen	geht .	gewann , der wurde zum Bekenner .Schon seit längerer Zeit habe ich beobachtet , und aus vielen mir zugegangenen Berichten wohlwollender Männer und Frauen schließen können , welch ernster Gefahr Alix entgegen geht .Er hatte die Sprache des Dozenten ,	11745	25	14315-Braun__Lily.tsv
APPO	APPO		APZR	entlang		Und als seine Frau , die er den Gardasee	entlang	schickte , um sie aus dem Schlachtbereich zu schaffen , ihm Jammerbriefe schickte , ihre Eskorte würde von den Oesterreichern verfolgt und man habe auf sie geschossen , – schleuderte er in einem Anfall genialen Wahnsinns seine Blitze mit der unnatürlich verzehnfachten Kraft eines Irren umher , so daß er im › Feldzug der Fünf Tage ‹ die ganze österreichische Uebermacht Schlag auf Schlag auseinanderstäubte .	Medaillon ist auf meiner Brust zerbrochen .Und als seine Frau , die er den Gardasee entlang schickte , um sie aus dem Schlachtbereich zu schaffen , ihm Jammerbriefe schickte , ihre Eskorte würde von den Oesterreichern verfolgt und man habe auf sie geschossen , – schleuderte er in einem Anfall genialen Wahnsinns seine Blitze mit der unnatürlich verzehnfachten Kraft eines Irren umher , so daß er im › Feldzug der Fünf Tage ‹ die ganze österreichische Uebermacht Schlag auf Schlag auseinanderstäubte .› Meine Frau ist krank oder treulos	11976	9	13731-Bleibtreu__Karl.tsv
APPO	APPR		APPO	gegenüber		Seinem Hause	gegenüber	war das Teehaus der Bergstraße das einzige Haus am Wege .	sagt , im Hauskeller verscharrt hat .Seinem Hause gegenüber war das Teehaus der Bergstraße das einzige Haus am Wege .Sie war eine Freundin von mir und	1252	2	21701-Dauthendey__Max.tsv
APPO	APPR		APPO	gegenüber		Der Widersacherinn ist nichts unangenehmer , als daß sie der Poesie	gegenüber	selbst zu einer poetischen Person wird , und nicht selten in der Hitze die Waffen mit ihr tauscht , und von ihrem eigenen heimtückischen Geschosse heftig getroffen wird , dahingegen die Wunden der Poesie , die sie von ihren eigenen Waffen erhält , leicht heilen und sie nur noch reitzender und gewaltiger machen .	Darstellung ein reizendes und belohnendes Geschäft .Der Widersacherinn ist nichts unangenehmer , als daß sie der Poesie gegenüber selbst zu einer poetischen Person wird , und nicht selten in der Hitze die Waffen mit ihr tauscht , und von ihrem eigenen heimtückischen Geschosse heftig getroffen wird , dahingegen die Wunden der Poesie , die sie von ihren eigenen Waffen erhält , leicht heilen und sie nur noch reitzender und gewaltiger machen .Manche Länder und Zeiten scheinen , wie	1241	11	83273-Novalis.tsv
APPO	APPO		ADV	gegenüber		« » Du wirst mich jetzt einen ganzen Monat nicht sehen , Gregor « , spricht sie ernst , » damit ich dir fremd werde , du dich leichter in deine neue Stellung mir	gegenüber	findest ; du wirst während dieser Zeit im Garten arbeiten und meine Befehle erwarten .	sein , wie ich es bin .« » Du wirst mich jetzt einen ganzen Monat nicht sehen , Gregor « , spricht sie ernst , » damit ich dir fremd werde , du dich leichter in deine neue Stellung mir gegenüber findest ; du wirst während dieser Zeit im Garten arbeiten und meine Befehle erwarten .» Warum ?	1081	34	90216-Sacher_Masoch__Leopold_von.tsv
APPO	APPO		APPO	gegenüber		Ein Akademiegenosse , Architekt wie er , der einst der Vertraute manches frohen Jugendstreiches gewesen , hatte dem Bankerott	gegenüber	gestanden , nachdem er , verlockt von der Gunst der Zeit , ganze Häuserreihen auf eigene Rechnung gebaut hatte , Mietskasernen , von denen er sich hohen Gewinn versprochen hatte , da ein Verkauf des ganzen Komplexes an eine Aktiengesellschaft in sicherer Aussicht stand .	weiß es des Genauen nicht mehr .Ein Akademiegenosse , Architekt wie er , der einst der Vertraute manches frohen Jugendstreiches gewesen , hatte dem Bankerott gegenüber gestanden , nachdem er , verlockt von der Gunst der Zeit , ganze Häuserreihen auf eigene Rechnung gebaut hatte , Mietskasernen , von denen er sich hohen Gewinn versprochen hatte , da ein Verkauf des ganzen Komplexes an eine Aktiengesellschaft in sicherer Aussicht stand .« Nur allmählich erfuhr ich , was	180	19	86874-Proel___Johannes.tsv
APPO	APPR		APPO	gegenüber		Sie kann , selbst wenn sie entschlossen ist , nichts zu verraten , sich doch ihrem Manne oder einem andern Yuma	gegenüber	verschnappen .	, daß wir hier herab wollen .Sie kann , selbst wenn sie entschlossen ist , nichts zu verraten , sich doch ihrem Manne oder einem andern Yuma gegenüber verschnappen .« unterbrach ich ihn .	7886	21	79312-May__Karl.tsv
APPO	APPO		APPO	gegenüber		Sie erklärte , es müsse etwas zur Rettung des Rufes des Klosters dem Landesadel	gegenüber	geschehen .	nicht minder leidenschaftliche Gespräche stattgefunden hatten .Sie erklärte , es müsse etwas zur Rettung des Rufes des Klosters dem Landesadel gegenüber geschehen .– Mit diesen Gedanken war Monsieur l'	279	14	83777-Panizza__Oskar.tsv
APPO	APPR		APPO	gegenüber		Dem schönen jungen Mädchen	gegenüber	legte der Fürst die kühle Zurückhaltung ab , die er gegen alle Andern beobachtete .	die Weiber laufen lassen ?Dem schönen jungen Mädchen gegenüber legte der Fürst die kühle Zurückhaltung ab , die er gegen alle Andern beobachtete .Der Tausend auch !	3205	4	99024-Spielhagen__Friedrich.tsv
