DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
APPRART	APPRART		APPRART	am			Am	Rütsch bei Camern sieht man oft einen Reiter mit drei schwarzen Pferden , der ruft dem Begegnenden zu : » set di up « ; das thut er dreimal , leistet dann derselbe der Aufforderung keine Folge , so reitet er weiter und man sieht große gewaltige Funken unter den Hufen der Pferde hervorsprühen .	dahin geht 's im sausenden Fluge .Word Mündlich aus Camern .Word Mündlich aus Camern .	1	0	69391-Kuhn__Adalbert.tsv
APPRART	PTKA		APPRART	am		Endlich sagte ein gescheiter Mann , es wär	am	gescheitsten , wenn man an jeden Geldkasten eine Falle hinmachte .	kommen und erzählte ihnen die Geschichte .Endlich sagte ein gescheiter Mann , es wär am gescheitsten , wenn man an jeden Geldkasten eine Falle hinmachte .Hans war jetzt ein ganz ausgewichster Kerl	21	8	99013-Spiegel__Karl.tsv
APPRART	APPRART		APPRART	am		Der Commandant verweilte einige Tage bei seinen Freunden , die ihn durch dramatische Vorstellungen zu ergötzen suchten , und segelte	am	6. Mai nach der , bei seiner ersten Fahrt nur oberflächlich untersuchten Legiep-Gruppe ab .	» Nadiejeda « bald vollendet wären .Der Commandant verweilte einige Tage bei seinen Freunden , die ihn durch dramatische Vorstellungen zu ergötzen suchten , und segelte am 6. Mai nach der , bei seiner ersten Fahrt nur oberflächlich untersuchten Legiep-Gruppe ab .Dieser führte sich damit ein , daß	2099	20	107559-Verne__Jules.tsv
APPRART	ADJD		NN	beim		Keyser Constantinus wurd	beym	Romano Lacopeno also angegeben und verfuchsschwäntzet / daß er vom Keyserthumb abtreten must / und in solche noth gerieth / daß er auch die Mahler-Kunst sich zuernehren treiben muste / aber das Glück wolte ihm so wol / daß er wieder zum Reich ist erhoben worden / dz es wol nach dem Reim heiset : Ludovicus der 11. König in Franckreich gab dem Cottorio seinem Medico iedes Monats zehentausent Goldgülden zu Lehn .	/ darüber läst er ihn tödten .Keyser Constantinus wurd beym Romano Lacopeno also angegeben und verfuchsschwäntzet / daß er vom Keyserthumb abtreten must / und in solche noth gerieth / daß er auch die Mahler-Kunst sich zuernehren treiben muste / aber das Glück wolte ihm so wol / daß er wieder zum Reich ist erhoben worden / dz es wol nach dem Reim heiset : Ludovicus der 11. König in Franckreich gab dem Cottorio seinem Medico iedes Monats zehentausent Goldgülden zu Lehn .Fabricius .	3187	3	57929-Hammer__Matth_us.tsv
APPRART	APPRART		APPRART	im			Im	Attischen Drama wurde die ursprüngliche rohe Energie der wirklichen Natur , in welcher die entgegengesetzten Elemente durchgängig ineinander verschmolzen sind , in die tragische und komische Energie getrennt , und diese dann von neuem so gemischt , daß das Tragische ein geringes Übergewicht hatte 16 : denn bei völligem Gleichgewicht würden die beiden entgegengesetzten Kräfte durch ihr Zusammentreffen sich selbst aufheben .	mit einer Spielart der Griechischen übereinstimmt .Im Attischen Drama wurde die ursprüngliche rohe Energie der wirklichen Natur , in welcher die entgegengesetzten Elemente durchgängig ineinander verschmolzen sind , in die tragische und komische Energie getrennt , und diese dann von neuem so gemischt , daß das Tragische ein geringes Übergewicht hatte 16 : denn bei völligem Gleichgewicht würden die beiden entgegengesetzten Kräfte durch ihr Zusammentreffen sich selbst aufheben .Selbst die Spielart hat zwar geringere Ansprüche	690	0	97139-Schlegel__Friedrich.tsv
APPRART	APPRART		APPRART	im		Diese beiden letztgenannten Eigenschaften sind die Ursache ihrer nicht ganz freiwilligen Entfernung aus Berlin , wo man	im	Zeichen der Tugend und Gottesfurcht steht .	ihrer Tätigkeit hierher verlegt zu haben .Diese beiden letztgenannten Eigenschaften sind die Ursache ihrer nicht ganz freiwilligen Entfernung aus Berlin , wo man im Zeichen der Tugend und Gottesfurcht steht .Alle bösen Geister haben wieder von mir	902	17	14315-Braun__Lily.tsv
APPRART	APPRART		APPRART	im		– Und so beschloß ich , von Stund an	im	Kleinsten wie im Wichtigsten vernünftig zu handeln .	mich wieder : Hast du Mut ?– Und so beschloß ich , von Stund an im Kleinsten wie im Wichtigsten vernünftig zu handeln .Ich durchdachte meine häuslichen und öffentlichen Verhältnisse	733	9	112144-Zschokke__Heinrich.tsv
APPRART	APPRART		APPRART	im		– Und so beschloß ich , von Stund an im Kleinsten wie	im	Wichtigsten vernünftig zu handeln .	mich wieder : Hast du Mut ?– Und so beschloß ich , von Stund an im Kleinsten wie im Wichtigsten vernünftig zu handeln .Ich durchdachte meine häuslichen und öffentlichen Verhältnisse	733	12	112144-Zschokke__Heinrich.tsv
APPRART	APPRART		APPRART	im		– Ja , antwortete der Doctor , ein	im	Freien und ge schützt vor jeder Rückstrahlung angebrachtes Thermometer steigt nie und nirgends über hundertfünfunddreißig Grad über Null (+ 57 ° hunderttheilig ) , so wie es andererseits nicht unter zweiundsiebenzig Grad (– 58 ° hunderttheilig ) herabsinkt .	Zahl kein Zweifel sein kann .. .– Ja , antwortete der Doctor , ein im Freien und ge schützt vor jeder Rückstrahlung angebrachtes Thermometer steigt nie und nirgends über hundertfünfunddreißig Grad über Null (+ 57 ° hunderttheilig ) , so wie es andererseits nicht unter zweiundsiebenzig Grad (– 58 ° hunderttheilig ) herabsinkt .fragte der Zimmermann .	2196	8	107490-Verne__Jules.tsv
APPRART	APPRART		APPRART	im		Ich wollte den andern Tag das liebe Ding aufsuchen , aber es lag nicht	im	Zusammenhang der Dinge , daß es geschah .	der Veehs stand , zugerichtet war .Ich wollte den andern Tag das liebe Ding aufsuchen , aber es lag nicht im Zusammenhang der Dinge , daß es geschah .Und ich Tor , ich gestand dir	318	14	62354-Hoffmann__E__T__A_.tsv
