DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
CARD	CARD		CARD	13			13	Da sahe ich / das die Weisheit die Torheit vbertraff / wie das Liecht die Finsternis .	zeuchst nicht aus vnter vnserm Heer ?13 Da sahe ich / das die Weisheit die Torheit vbertraff / wie das Liecht die Finsternis .10 WArumb verstössestu vns denn nu /	38847	0	78101-Luther__Martin.tsv
CARD	CARD		CARD	132			132	Dise Geschicht / wo man sie nach der Natur will ermessen / ist sie vnmöglich : vnnd glichwol ist sie so war / als klar die Sonn scheinet .	dann Strabo vnd Plinius hierinn einstimmen .132 Dise Geschicht / wo man sie nach der Natur will ermessen / ist sie vnmöglich : vnnd glichwol ist sie so war / als klar die Sonn scheinet .Wiewol solche Geister mehrheils heimisch oder Familiar	5498	0	14106-Bodin__Jean.tsv
CARD	CARD		CARD	15			15	Wird aber jemands werck verbrennen / So wird ers schaden leiden / Er selbs aber wird selig werden / So doch / als durchs fewer .	sey / wird das fewr beweren .15 Wird aber jemands werck verbrennen / So wird ers schaden leiden / Er selbs aber wird selig werden / So doch / als durchs fewer .Vnd leret / das sie vnternander selbs	18570	0	78101-Luther__Martin.tsv
CARD	CARD		CARD	188			188	Salbey , in Wein oder in Wasser gesotten und getrunken , ist dem ganzen innerlichen Leibe sehr nützlich .	das sind Enicksöhne , oder Enkel .188 Salbey , in Wein oder in Wasser gesotten und getrunken , ist dem ganzen innerlichen Leibe sehr nützlich .zu machen .	5025	0	97256-Schreger__Odilo.tsv
CARD	CARD		CARD	25			25	Hat es vns gut gedaucht einmütiglich versamlet / Menner erwelen / vnd zu euch senden / mit vnsern liebsten Barnaba vnd Paulo / 26 welche Menschen jre seele dar gegeben haben fur den Namen vnsers HErrn Jhesu Christi. 27 So haben wir gesand Judan vnd Silan / welche auch mit worten das selbige verkündigen werden .	vnd Syria / vnd Cilicia sind .25 Hat es vns gut gedaucht einmütiglich versamlet / Menner erwelen / vnd zu euch senden / mit vnsern liebsten Barnaba vnd Paulo / 26 welche Menschen jre seele dar gegeben haben fur den Namen vnsers HErrn Jhesu Christi. 27 So haben wir gesand Judan vnd Silan / welche auch mit worten das selbige verkündigen werden .7 Die Gottlosen werden vmbgestürtzt vnd nicht	24535	0	78101-Luther__Martin.tsv
CARD	CARD		CARD	26		25 Hat es vns gut gedaucht einmütiglich versamlet / Menner erwelen / vnd zu euch senden / mit vnsern liebsten Barnaba vnd Paulo /	26	welche Menschen jre seele dar gegeben haben fur den Namen vnsers HErrn Jhesu Christi. 27 So haben wir gesand Judan vnd Silan / welche auch mit worten das selbige verkündigen werden .	vnd Syria / vnd Cilicia sind .25 Hat es vns gut gedaucht einmütiglich versamlet / Menner erwelen / vnd zu euch senden / mit vnsern liebsten Barnaba vnd Paulo / 26 welche Menschen jre seele dar gegeben haben fur den Namen vnsers HErrn Jhesu Christi. 27 So haben wir gesand Judan vnd Silan / welche auch mit worten das selbige verkündigen werden .7 Die Gottlosen werden vmbgestürtzt vnd nicht	24535	24	78101-Luther__Martin.tsv
CARD	CARD		CARD	27		25 Hat es vns gut gedaucht einmütiglich versamlet / Menner erwelen / vnd zu euch senden / mit vnsern liebsten Barnaba vnd Paulo / 26 welche Menschen jre seele dar gegeben haben fur den Namen vnsers HErrn Jhesu Christi.	27	So haben wir gesand Judan vnd Silan / welche auch mit worten das selbige verkündigen werden .	vnd Syria / vnd Cilicia sind .25 Hat es vns gut gedaucht einmütiglich versamlet / Menner erwelen / vnd zu euch senden / mit vnsern liebsten Barnaba vnd Paulo / 26 welche Menschen jre seele dar gegeben haben fur den Namen vnsers HErrn Jhesu Christi. 27 So haben wir gesand Judan vnd Silan / welche auch mit worten das selbige verkündigen werden .7 Die Gottlosen werden vmbgestürtzt vnd nicht	24535	39	78101-Luther__Martin.tsv
CARD	CARD		CARD	4			4	Als man daselbst asse / und aber kein Saltz vorhanden war / habe er solches begehret mit harter Müh auch erhalten / und darauff gesaget : Gott sey gelobet / itzt komt Saltz ; so bald aber dieses geredt / sey alles verschwunden / und seyn die Liechter erloschen .	mit vielen andern Exempeln bewehret werden .4 Als man daselbst asse / und aber kein Saltz vorhanden war / habe er solches begehret mit harter Müh auch erhalten / und darauff gesaget : Gott sey gelobet / itzt komt Saltz ; so bald aber dieses geredt / sey alles verschwunden / und seyn die Liechter erloschen .Verwundern müssen wir uns zwar über der	1065	0	85699-Praetorius__Johannes.tsv
CARD	CARD		CARD	5		Angeschnauzt von meinem Herrn und abgeschwartet	5	in der Still' , weil Stiefeln nicht blank gewest .	Bedienten gefühlt in der neuen Lieb .Angeschnauzt von meinem Herrn und abgeschwartet 5 in der Still' , weil Stiefeln nicht blank gewest .Sehr geschmeichelt gefühlt von der Lieb vornehmer	4729	6	64595-Immermann__Karl.tsv
CARD	NN		NN	drei		Auf dem Berg Thabor , wo der Herr Jesus seine Glori denen	Dreien	ganz treu gezeigt hat , ist eine große Furcht entstanden , timuerunt valde , aber warum eine Furcht ?	Grab , Echo , Rab .Auf dem Berg Thabor , wo der Herr Jesus seine Glori denen Dreien ganz treu gezeigt hat , ist eine große Furcht entstanden , timuerunt valde , aber warum eine Furcht ?solcher Respekt ist sehr wenig und gering	11972	12	4-Abraham_a_Sancta_Clara.tsv
