DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
FM	ADJA		NE	aimable		Vous êtes bien	aimable	, Monsieur , erwiderte sie , den dargebotenen Arm annehmend .	nähte wieder eifrig an ihrer Arbeit .Vous êtes bien aimable , Monsieur , erwiderte sie , den dargebotenen Arm annehmend .Und ich werde mich rächen ; ich	6351	3	99023-Spielhagen__Friedrich.tsv
FM	ADJD		NN	arbein		« » Wenn ik	arbein	sall , mutt ik ok singen , Gesa .	doch keeneen wat von to vertellen .« » Wenn ik arbein sall , mutt ik ok singen , Gesa .Und als der bunte Mann langsam zurück	3041	4	26568-Fock__Gorch.tsv
FM	FM		VVFIN	b'suff'n		» Schmeißt's 'n halt außi , bal er	b'suff'n	is !	Dösmal werst as du , Schuller .» Schmeißt's 'n halt außi , bal er b'suff'n is !I glaab nix ; de andern halten	1999	8	104497-Thoma__Ludwig.tsv
FM	ADJA		NE	bien		Vous êtes	bien	aimable , Monsieur , erwiderte sie , den dargebotenen Arm annehmend .	nähte wieder eifrig an ihrer Arbeit .Vous êtes bien aimable , Monsieur , erwiderte sie , den dargebotenen Arm annehmend .Und ich werde mich rächen ; ich	6351	2	99023-Spielhagen__Friedrich.tsv
FM	NE		NE	de		Das Plätzchen ist sehr philosophisch , nur würde Thucydides hier schwerlich die tuskulanischen Quästionen oder gar	de	natura deorum geschrieben haben .	Trajan hat Monumente besserer Bedeutung hinterlassen .Das Plätzchen ist sehr philosophisch , nur würde Thucydides hier schwerlich die tuskulanischen Quästionen oder gar de natura deorum geschrieben haben .Auch sogar sein Grabmahl hat die päpstliche	1234	16	98238-Seume__Johann_Gottfried.tsv
FM	ART		ART	des		Wenn in Molieres Stücken die größte Politur des Verses und des Styls ( école	des	maris , Misantrope , Tartuffe pp ) , echt dramatischer Dialog , der feinste Conversationston , ein ununterbrochener Erguß von Laune , Witz und Schalkheit , eine hinreißende Schilderung der tiefangelegtesten Charactere ( ich nenne nur den Tartuffe !	Scenen eines historischen Dramas eingeschoben steht .Wenn in Molieres Stücken die größte Politur des Verses und des Styls ( école des maris , Misantrope , Tartuffe pp ) , echt dramatischer Dialog , der feinste Conversationston , ein ununterbrochener Erguß von Laune , Witz und Schalkheit , eine hinreißende Schilderung der tiefangelegtesten Charactere ( ich nenne nur den Tartuffe !Wie in der Tragödie , finden wir	190	14	48538-Grabbe__Christian_Dietrich.tsv
FM	APPR		VVFIN	ecole		Wenn in Molieres Stücken die größte Politur des Verses und des Styls (	école	des maris , Misantrope , Tartuffe pp ) , echt dramatischer Dialog , der feinste Conversationston , ein ununterbrochener Erguß von Laune , Witz und Schalkheit , eine hinreißende Schilderung der tiefangelegtesten Charactere ( ich nenne nur den Tartuffe !	Scenen eines historischen Dramas eingeschoben steht .Wenn in Molieres Stücken die größte Politur des Verses und des Styls ( école des maris , Misantrope , Tartuffe pp ) , echt dramatischer Dialog , der feinste Conversationston , ein ununterbrochener Erguß von Laune , Witz und Schalkheit , eine hinreißende Schilderung der tiefangelegtesten Charactere ( ich nenne nur den Tartuffe !Wie in der Tragödie , finden wir	190	13	48538-Grabbe__Christian_Dietrich.tsv
FM	ADV		NN	exemplorum		« Ja , dieses Geschmäl der unstudierten Gelehrten währete so viel und oft , daß ich mich endlich zu Ollingen darüber beklagen und man von daraus eine heimliche Inhibition tun müssen , damit man meiner ab inductione	exemplorum	mit Namen verschonete .	, darnach so kommt es so .« Ja , dieses Geschmäl der unstudierten Gelehrten währete so viel und oft , daß ich mich endlich zu Ollingen darüber beklagen und man von daraus eine heimliche Inhibition tun müssen , damit man meiner ab inductione exemplorum mit Namen verschonete .» Sehet , « sagten etliche Dorfpriester	852	37	11288-Beer__Johann.tsv
FM	ADJA		NE	ik		« » Wenn ik arbein sall , mutt	ik	ok singen , Gesa .	doch keeneen wat von to vertellen .« » Wenn ik arbein sall , mutt ik ok singen , Gesa .Und als der bunte Mann langsam zurück	3041	8	26568-Fock__Gorch.tsv
FM	ADJA		ADJA	inductione		« Ja , dieses Geschmäl der unstudierten Gelehrten währete so viel und oft , daß ich mich endlich zu Ollingen darüber beklagen und man von daraus eine heimliche Inhibition tun müssen , damit man meiner ab	inductione	exemplorum mit Namen verschonete .	, darnach so kommt es so .« Ja , dieses Geschmäl der unstudierten Gelehrten währete so viel und oft , daß ich mich endlich zu Ollingen darüber beklagen und man von daraus eine heimliche Inhibition tun müssen , damit man meiner ab inductione exemplorum mit Namen verschonete .» Sehet , « sagten etliche Dorfpriester	852	36	11288-Beer__Johann.tsv
FM	FM		FM	is		» Schmeißt's 'n halt außi , bal er b'suff'n	is	!	Dösmal werst as du , Schuller .» Schmeißt's 'n halt außi , bal er b'suff'n is !I glaab nix ; de andern halten	1999	9	104497-Thoma__Ludwig.tsv
FM	VVFIN		FM	is		Es	is	keen Fels , sondern Holz .	oft und sehr viel von ihm .Es is keen Fels , sondern Holz .« » In vollem Ernste .	5207	1	79304-May__Karl.tsv
FM	ADJA		NE	maris		Wenn in Molieres Stücken die größte Politur des Verses und des Styls ( école des	maris	, Misantrope , Tartuffe pp ) , echt dramatischer Dialog , der feinste Conversationston , ein ununterbrochener Erguß von Laune , Witz und Schalkheit , eine hinreißende Schilderung der tiefangelegtesten Charactere ( ich nenne nur den Tartuffe !	Scenen eines historischen Dramas eingeschoben steht .Wenn in Molieres Stücken die größte Politur des Verses und des Styls ( école des maris , Misantrope , Tartuffe pp ) , echt dramatischer Dialog , der feinste Conversationston , ein ununterbrochener Erguß von Laune , Witz und Schalkheit , eine hinreißende Schilderung der tiefangelegtesten Charactere ( ich nenne nur den Tartuffe !Wie in der Tragödie , finden wir	190	15	48538-Grabbe__Christian_Dietrich.tsv
FM	NE		NE	misantrope		Wenn in Molieres Stücken die größte Politur des Verses und des Styls ( école des maris ,	Misantrope	, Tartuffe pp ) , echt dramatischer Dialog , der feinste Conversationston , ein ununterbrochener Erguß von Laune , Witz und Schalkheit , eine hinreißende Schilderung der tiefangelegtesten Charactere ( ich nenne nur den Tartuffe !	Scenen eines historischen Dramas eingeschoben steht .Wenn in Molieres Stücken die größte Politur des Verses und des Styls ( école des maris , Misantrope , Tartuffe pp ) , echt dramatischer Dialog , der feinste Conversationston , ein ununterbrochener Erguß von Laune , Witz und Schalkheit , eine hinreißende Schilderung der tiefangelegtesten Charactere ( ich nenne nur den Tartuffe !Wie in der Tragödie , finden wir	190	17	48538-Grabbe__Christian_Dietrich.tsv
FM	NN		FM	monsieur		Vous êtes bien aimable ,	Monsieur	, erwiderte sie , den dargebotenen Arm annehmend .	nähte wieder eifrig an ihrer Arbeit .Vous êtes bien aimable , Monsieur , erwiderte sie , den dargebotenen Arm annehmend .Und ich werde mich rächen ; ich	6351	5	99023-Spielhagen__Friedrich.tsv
FM	PPOSAT		VVFIN	mutt		« » Wenn ik arbein sall ,	mutt	ik ok singen , Gesa .	doch keeneen wat von to vertellen .« » Wenn ik arbein sall , mutt ik ok singen , Gesa .Und als der bunte Mann langsam zurück	3041	7	26568-Fock__Gorch.tsv
FM	NE		NE	natura		Das Plätzchen ist sehr philosophisch , nur würde Thucydides hier schwerlich die tuskulanischen Quästionen oder gar de	natura	deorum geschrieben haben .	Trajan hat Monumente besserer Bedeutung hinterlassen .Das Plätzchen ist sehr philosophisch , nur würde Thucydides hier schwerlich die tuskulanischen Quästionen oder gar de natura deorum geschrieben haben .Auch sogar sein Grabmahl hat die päpstliche	1234	17	98238-Seume__Johann_Gottfried.tsv
FM	NN		FM	numerus		Ohne Quantität der Silben brachte man also Reime und Assonanzen ins Spiel ; man formte einen gewissen	Numerus	der Strophe , der dem alltäglichen Gehör gemäß war , den aber die Griechen und Römer nur in den sogenannten politischen oder gemeinen Volksversen erträglich gefunden hatten .	christlichen Hymnen zeigen , bald verloren .Ohne Quantität der Silben brachte man also Reime und Assonanzen ins Spiel ; man formte einen gewissen Numerus der Strophe , der dem alltäglichen Gehör gemäß war , den aber die Griechen und Römer nur in den sogenannten politischen oder gemeinen Volksversen erträglich gefunden hatten .3. Auch die Sprache ward durch diese	2667	17	61283-Herder__Johann_Gottfried.tsv
FM	ADV		NE	oh		Vor den langen Arbeitstischen an den Fenstern standen einladend die kleinen , gelben Hocker , –	oh	wie gern hätte ich mich dort mit hingesetzt !	Ich ging auf den Zehen hinein .Vor den langen Arbeitstischen an den Fenstern standen einladend die kleinen , gelben Hocker , – oh wie gern hätte ich mich dort mit hingesetzt !Im Vorraum hing zwar ein dicker Mantel	1058	16	26935-Frapan__Ilse.tsv
FM	ADJA		NE	ok		« » Wenn ik arbein sall , mutt ik	ok	singen , Gesa .	doch keeneen wat von to vertellen .« » Wenn ik arbein sall , mutt ik ok singen , Gesa .Und als der bunte Mann langsam zurück	3041	9	26568-Fock__Gorch.tsv
FM	NE		VVFIN	pp		Wenn in Molieres Stücken die größte Politur des Verses und des Styls ( école des maris , Misantrope , Tartuffe	pp	) , echt dramatischer Dialog , der feinste Conversationston , ein ununterbrochener Erguß von Laune , Witz und Schalkheit , eine hinreißende Schilderung der tiefangelegtesten Charactere ( ich nenne nur den Tartuffe !	Scenen eines historischen Dramas eingeschoben steht .Wenn in Molieres Stücken die größte Politur des Verses und des Styls ( école des maris , Misantrope , Tartuffe pp ) , echt dramatischer Dialog , der feinste Conversationston , ein ununterbrochener Erguß von Laune , Witz und Schalkheit , eine hinreißende Schilderung der tiefangelegtesten Charactere ( ich nenne nur den Tartuffe !Wie in der Tragödie , finden wir	190	20	48538-Grabbe__Christian_Dietrich.tsv
FM	VVFIN		VVINF	sall		« » Wenn ik arbein	sall	, mutt ik ok singen , Gesa .	doch keeneen wat von to vertellen .« » Wenn ik arbein sall , mutt ik ok singen , Gesa .Und als der bunte Mann langsam zurück	3041	5	26568-Fock__Gorch.tsv
FM	NE		NE	tartuffe		Wenn in Molieres Stücken die größte Politur des Verses und des Styls ( école des maris , Misantrope ,	Tartuffe	pp ) , echt dramatischer Dialog , der feinste Conversationston , ein ununterbrochener Erguß von Laune , Witz und Schalkheit , eine hinreißende Schilderung der tiefangelegtesten Charactere ( ich nenne nur den Tartuffe !	Scenen eines historischen Dramas eingeschoben steht .Wenn in Molieres Stücken die größte Politur des Verses und des Styls ( école des maris , Misantrope , Tartuffe pp ) , echt dramatischer Dialog , der feinste Conversationston , ein ununterbrochener Erguß von Laune , Witz und Schalkheit , eine hinreißende Schilderung der tiefangelegtesten Charactere ( ich nenne nur den Tartuffe !Wie in der Tragödie , finden wir	190	19	48538-Grabbe__Christian_Dietrich.tsv
FM	NE		ADJD	vous			Vous	êtes bien aimable , Monsieur , erwiderte sie , den dargebotenen Arm annehmend .	nähte wieder eifrig an ihrer Arbeit .Vous êtes bien aimable , Monsieur , erwiderte sie , den dargebotenen Arm annehmend .Und ich werde mich rächen ; ich	6351	0	99023-Spielhagen__Friedrich.tsv
FM	ADJA		ADJA	êtes		Vous	êtes	bien aimable , Monsieur , erwiderte sie , den dargebotenen Arm annehmend .	nähte wieder eifrig an ihrer Arbeit .Vous êtes bien aimable , Monsieur , erwiderte sie , den dargebotenen Arm annehmend .Und ich werde mich rächen ; ich	6351	1	99023-Spielhagen__Friedrich.tsv
