DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
KOKOM	KOKOM		KOKOM	als		Die Stoiker wußten ihren weisen Mann nicht höher zu loben ,	als	wenn sie ihn Gott ähnlich machten , ja ihn einen Freund der Götter nennten .	als der Gottheit selbst zuschreiben dörfe ?Die Stoiker wußten ihren weisen Mann nicht höher zu loben , als wenn sie ihn Gott ähnlich machten , ja ihn einen Freund der Götter nennten .Er könne nämlich diejenigen Scribenten nicht leiden	8157	11	48521-Gottsched__Johann_Christoph.tsv
KOKOM	KOKOM		KOKOM	als		Geist von beeden / wie der Vatter den Sohn gebohren / vnd doch nit älter	als	der Sohn / vnd diser nicht jünger als der Vatter / wie der Heil .	als eine Wissenschafft von göttlichen Dingen .Geist von beeden / wie der Vatter den Sohn gebohren / vnd doch nit älter als der Sohn / vnd diser nicht jünger als der Vatter / wie der Heil .Nichts wenigers / dann die Freund einem	254	15	3-Abraham_a_Sancta_Clara.tsv
KOKOM	KOKOM		KOKOM	als		Geist von beeden / wie der Vatter den Sohn gebohren / vnd doch nit älter als der Sohn / vnd diser nicht jünger	als	der Vatter / wie der Heil .	als eine Wissenschafft von göttlichen Dingen .Geist von beeden / wie der Vatter den Sohn gebohren / vnd doch nit älter als der Sohn / vnd diser nicht jünger als der Vatter / wie der Heil .Nichts wenigers / dann die Freund einem	254	23	3-Abraham_a_Sancta_Clara.tsv
KOKOM	KOKOM		APPR	als		Ich sage dir , wir leisten weit bessere Arbeit	als	andere , und weißt du auch , warum ?	denn die geistlichen Herrn auch dergleichen ?Ich sage dir , wir leisten weit bessere Arbeit als andere , und weißt du auch , warum ?« » Nichts tust du mir «	5211	9	13915-Boccaccio__Giovanni.tsv
KOKOM	KOKOM		KOKOM	als		Ich war nie ein Tänzer ( wenigstens ein geschulter nicht ) , aber in seinen schönsten Walzern ist ein Zauber , der mir das Herz bewegt , der mich rührt , und das mehr	als	je .	, ihre Werke bleiben ewig jung .Ich war nie ein Tänzer ( wenigstens ein geschulter nicht ) , aber in seinen schönsten Walzern ist ein Zauber , der mir das Herz bewegt , der mich rührt , und das mehr als je .Nun schon eine ehrwürdig alte Dynastie ,	2031	34	110282-Wilbrandt__Adolf_von.tsv
KOKOM	KOKOM		KOKOM	als		Ich håtte mich wol eher des himmelfalls versehen /	als	daß ich aus einem kläger / den ich hier fůrstellen wollen / nun ein beklagter werde / und zwar in eben der sache / in welcher ich E. Maj. üm recht anzuruffen vermeinet .	ihren namen und stand zu erforschen .Ich håtte mich wol eher des himmelfalls versehen / als daß ich aus einem kläger / den ich hier fůrstellen wollen / nun ein beklagter werde / und zwar in eben der sache / in welcher ich E. Maj. üm recht anzuruffen vermeinet .Dieses verdoppelte des Ninias wut / also	1093	9	3459-Anton_Ulrich_Herzog_von_Braunschweig.tsv
KOKOM	KOKOM		KOKOM	als		Agripina hůb auff vnnd sprach zu Andolosia : ich bring üch ainen früntlichen trunck (	als	in den selben landen sit ist ) .	, redten gar freüntlich mit ainander .Agripina hůb auff vnnd sprach zu Andolosia : ich bring üch ainen früntlichen trunck ( als in den selben landen sit ist ) .Andolosia kam gar haymlich vnd ward in	1502	15	3444-Anonym.tsv
KOKOM	KOKOM		KOKOM	als		Nun ist das Krankenbett der richtige Ort , von dem aus man Beziehungen wie die unsrigen mit anderen Augen ansieht	als	vorher .	, bin ich ganz armselig daran .Nun ist das Krankenbett der richtige Ort , von dem aus man Beziehungen wie die unsrigen mit anderen Augen ansieht als vorher .« Als ich dem Bootsführer den Brief	883	20	21705-Defoe__Daniel.tsv
KOKOM	APPR		APPR	als		Es hätte Fulvius mit dem Vater gerne noch vor der Mahlzeit die Ehe abgeredet / damit er sie bey Tische	als	eine Braut neben sich haben / uns hiemit Ladisla / den er schon neidete / höhnen möchte ; weil aber der Stathalter eilig davon ging / muste er sich gedulden / und nahm ihn Fr. Pompeja bey der Hand / das Fräulein aber ihren liebsten Ladisla / biß sie den Essesaal erreicheten .	euch in euer Unpaßligkeit auffwarten möge .Es hätte Fulvius mit dem Vater gerne noch vor der Mahlzeit die Ehe abgeredet / damit er sie bey Tische als eine Braut neben sich haben / uns hiemit Ladisla / den er schon neidete / höhnen möchte ; weil aber der Stathalter eilig davon ging / muste er sich gedulden / und nahm ihn Fr. Pompeja bey der Hand / das Fräulein aber ihren liebsten Ladisla / biß sie den Essesaal erreicheten .Fulvius hörete diesen ihren freundlichen Reden zu	14868	20	15210-Buchholtz__Andreas_Heinrich.tsv
KOKOM	APPR		KOKOM	als		dann von deinetwegen und um daß man dir gefolget , gedienet und gehorsamet hat , wird der gottlose Unbußfertige zur ewigen Verdammnus verurteilet , in welcher in Ewigkeit anders nichts zu gewarten	als	anstatt der verbrachten Freude Leid ohne Trost , anstatt des Zechens Durst ohne Labung , anstatt des Fressens Hunger ohn Fülle , anstatt der Herrlichkeit und Prachts Finsternus ohn Liecht , anstatt der Wollüste Schmerzen ohne Linderung , anstatt des Dominierens und Triumphierens Heulen , Weinen und Weheklagen ohn Aufhören , Hitze ohne Kühlung , Feuer ahne Leschung , Kälte ohne Maß und Elend ohne Ende .	, o schnöde , arge Welt !dann von deinetwegen und um daß man dir gefolget , gedienet und gehorsamet hat , wird der gottlose Unbußfertige zur ewigen Verdammnus verurteilet , in welcher in Ewigkeit anders nichts zu gewarten als anstatt der verbrachten Freude Leid ohne Trost , anstatt des Zechens Durst ohne Labung , anstatt des Fressens Hunger ohn Fülle , anstatt der Herrlichkeit und Prachts Finsternus ohn Liecht , anstatt der Wollüste Schmerzen ohne Linderung , anstatt des Dominierens und Triumphierens Heulen , Weinen und Weheklagen ohn Aufhören , Hitze ohne Kühlung , Feuer ahne Leschung , Kälte ohne Maß und Elend ohne Ende .Damit du aber gleichwohl sehest , daß	5017	32	50637-Grimmelshausen__Hans_Jakob_Christoffel_von.tsv
