DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
KOUI	APPR		KOUI	anstatt		Daher wissen wir nun , daß der Erebus und Terror nach ihrem Winteraufenthalt die Wellington-Straße wieder bis zum 70 ° Breite hinausfuhren ; aber	anstatt	weiter nordwärts zu fahren , ohne Zweifel weil dieser Weg nicht fahrbar war , wendeten sie sich wieder südwärts ... – Ja , der Smith-Sund , erwiderte Shandon , ist der Weg , welchen im Jahre 1853 der Amerikaner Kane einschlug , und mit welchen Gefahren .	Satz zum Fuß des Hügels herab .Daher wissen wir nun , daß der Erebus und Terror nach ihrem Winteraufenthalt die Wellington-Straße wieder bis zum 70 ° Breite hinausfuhren ; aber anstatt weiter nordwärts zu fahren , ohne Zweifel weil dieser Weg nicht fahrbar war , wendeten sie sich wieder südwärts ... – Ja , der Smith-Sund , erwiderte Shandon , ist der Weg , welchen im Jahre 1853 der Amerikaner Kane einschlug , und mit welchen Gefahren .Die drei Kameraden stürzten nun flugs auf	5559	24	107490-Verne__Jules.tsv
KOUI	APPR		KOUI	ohne			Ohne	irgend ein bestimmtes Verhältniß in D. , diene ich nur zu Übungen der Güte .	einem Fehltritt jugendlicher Übereilung zu beschützen .Ohne irgend ein bestimmtes Verhältniß in D. , diene ich nur zu Übungen der Güte .Sie folgte nur ihrer Heftigkeit , es	3932	0	110617-Wolzogen__Caroline_von.tsv
KOUI	KOUI		KOUI	ohne		Populairer Vortrag heißt heutzutage nur zu oft der , wodurch die Menge in den Stand gesetzt wird , von etwas zu sprechen ,	ohne	es zu verstehen .	Dummkopf und das Genie zu schaffen ?Populairer Vortrag heißt heutzutage nur zu oft der , wodurch die Menge in den Stand gesetzt wird , von etwas zu sprechen , ohne es zu verstehen .Ein Shakespeare , Ein Newton , Ein	544	23	73691-Lichtenberg__Georg_Christoph.tsv
KOUI	APPR		KOUI	ohne		Kurz und gut , sagen Sie , in einfacher Prosa ,	ohne	Ausrufungen und Phrasen , wie die Gefahr heißt , die Sie heranrücken sehen .	Ich verstehe das nicht .Kurz und gut , sagen Sie , in einfacher Prosa , ohne Ausrufungen und Phrasen , wie die Gefahr heißt , die Sie heranrücken sehen .sollte sie bald an das Vergangene erinnert	10681	11	26894-Fouqu___Caroline_de_la_Motte.tsv
KOUI	APPR		KOUI	ohne		Mit Einem Wort , diese drey Gemüther , Herr und Frau Friedenberg und Stilling , schlossen sich vest zusammen , wurden ewige Freunde ,	ohne	sich es sagen zu dürfen .	umkehrt , und so ganz verändert .Mit Einem Wort , diese drey Gemüther , Herr und Frau Friedenberg und Stilling , schlossen sich vest zusammen , wurden ewige Freunde , ohne sich es sagen zu dürfen .Diese Geschichte ist eine gewisse Wahrheit .	521	24	64912-Jung_Stilling__Johann_Heinrich.tsv
KOUI	KOUI		KOUI	ohne		Nachdem er lange auf die schwankenden Worte geblickt hatte ,	ohne	einen Sinn zu fassen , winkte der Stolz dem Wahn , der auf des Hagren Linke stund .	langen Nägeln bei scharfem Nachdenken hineingerissen .Nachdem er lange auf die schwankenden Worte geblickt hatte , ohne einen Sinn zu fassen , winkte der Stolz dem Wahn , der auf des Hagren Linke stund .Seine Beinkleider waren weite Pumphosen , sie	2561	10	67770-Klinger__Friedrich_Maximilian.tsv
KOUI	KOUI		KOUI	ohne		Daher wissen wir nun , daß der Erebus und Terror nach ihrem Winteraufenthalt die Wellington-Straße wieder bis zum 70 ° Breite hinausfuhren ; aber anstatt weiter nordwärts zu fahren ,	ohne	Zweifel weil dieser Weg nicht fahrbar war , wendeten sie sich wieder südwärts ... – Ja , der Smith-Sund , erwiderte Shandon , ist der Weg , welchen im Jahre 1853 der Amerikaner Kane einschlug , und mit welchen Gefahren .	Satz zum Fuß des Hügels herab .Daher wissen wir nun , daß der Erebus und Terror nach ihrem Winteraufenthalt die Wellington-Straße wieder bis zum 70 ° Breite hinausfuhren ; aber anstatt weiter nordwärts zu fahren , ohne Zweifel weil dieser Weg nicht fahrbar war , wendeten sie sich wieder südwärts ... – Ja , der Smith-Sund , erwiderte Shandon , ist der Weg , welchen im Jahre 1853 der Amerikaner Kane einschlug , und mit welchen Gefahren .Die drei Kameraden stürzten nun flugs auf	5559	30	107490-Verne__Jules.tsv
KOUI	APPR		KOUI	ohne		Dies Gefühl hatte auch der Jaguar gekannt , als er hungernd und krank in die Wälder zurückfloh , so war Mohr durch sein langes Leben gegangen ,	ohne	Hoffnung auf eine bessere Zukunft .	nur den hilflosen Kranken im Auge .Dies Gefühl hatte auch der Jaguar gekannt , als er hungernd und krank in die Wälder zurückfloh , so war Mohr durch sein langes Leben gegangen , ohne Hoffnung auf eine bessere Zukunft .Roberts gutes Herz empörte sich in diesem	1689	27	108449-W_rish_ffer__Sophie.tsv
KOUI	APPR		KOUI	um			Um	diesen Unterschied deutlicher zu machen : muß eine Vergleichung zwischen zweien durch natürliche Mittel wirkenden Künsten gemacht werden , zwischen Malerei und Tonkunst .	wie sehr durchgängig gemildert !Um diesen Unterschied deutlicher zu machen : muß eine Vergleichung zwischen zweien durch natürliche Mittel wirkenden Künsten gemacht werden , zwischen Malerei und Tonkunst .wie oft unterbrochen !	1133	0	61273-Herder__Johann_Gottfried.tsv
KOUI	KOUI		KOUI	um			Um	seine Unruhe nicht zu verrathen , wandte er sich zu einigen Zimmerleuten , die eine gewaltige Holzschraube von der Höhe eines ganzen Stockwerkes probirten .	– Louis wagte nicht zu forschen .Um seine Unruhe nicht zu verrathen , wandte er sich zu einigen Zimmerleuten , die eine gewaltige Holzschraube von der Höhe eines ganzen Stockwerkes probirten .Nach dem Tode dieses Elenden dort ,	30671	0	56355-Gutzkow__Karl.tsv
