DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
NE	NE		NE	Baruch		12 Vnd gab den Kauffbrieff	Baruch	dem son Neria des sons Mahaseja / in gegenwertigkeit Hanameel meines Vettern / vnd der Zeugen die im Kauffbrieff geschrieben stunden / vnd aller Jüden die am Hofe des Gefengnis woneten .	Geld dar / auff einer wage .12 Vnd gab den Kauffbrieff Baruch dem son Neria des sons Mahaseja / in gegenwertigkeit Hanameel meines Vettern / vnd der Zeugen die im Kauffbrieff geschrieben stunden / vnd aller Jüden die am Hofe des Gefengnis woneten .DA merckt ich / das des HERRN	3953	5	78101-Luther__Martin.tsv
NE	NE		NE	Chilon			Chilon	war blaß wie die Wand und zwischen seinen Füßen tröpfelten Blutstropfen auf das Mosaikpflaster des Atriums herab .	Klängen der beiden Lauten zu deklamieren .Chilon war blaß wie die Wand und zwischen seinen Füßen tröpfelten Blutstropfen auf das Mosaikpflaster des Atriums herab .Auch Marcus legte seine Tunika ab und	5122	0	98460-Sienkiewicz__Henryk.tsv
NE	NN		NE	Hanameel		12 Vnd gab den Kauffbrieff Baruch dem son Neria des sons Mahaseja / in gegenwertigkeit	Hanameel	meines Vettern / vnd der Zeugen die im Kauffbrieff geschrieben stunden / vnd aller Jüden die am Hofe des Gefengnis woneten .	Geld dar / auff einer wage .12 Vnd gab den Kauffbrieff Baruch dem son Neria des sons Mahaseja / in gegenwertigkeit Hanameel meines Vettern / vnd der Zeugen die im Kauffbrieff geschrieben stunden / vnd aller Jüden die am Hofe des Gefengnis woneten .DA merckt ich / das des HERRN	3953	15	78101-Luther__Martin.tsv
NE	NE		NE	Hiarbas			Hiarbas	ware / wegen seiner sonderbaren geschicklichkeit und grossen tugend / bei jederman sehr beliebet : hingegen die beide andere / wegen ihres lasterhaften gemütes / sehr verhasset .	vorneme herren ihre kinder auferziehen liessen .Hiarbas ware / wegen seiner sonderbaren geschicklichkeit und grossen tugend / bei jederman sehr beliebet : hingegen die beide andere / wegen ihres lasterhaften gemütes / sehr verhasset .Der König liebte uns / als seine	28787	0	3459-Anton_Ulrich_Herzog_von_Braunschweig.tsv
NE	NE		NE	Kleist		Nun gingen Ihro Majestät wieder zum General von Zieten und Herrn von	Kleist	, und sprachen von verschiedenen Sachen .	den Reichtum und den guten Geschmack .Nun gingen Ihro Majestät wieder zum General von Zieten und Herrn von Kleist , und sprachen von verschiedenen Sachen .« Niemand aber kam uns zu begrüßen	27811	12	26867-Fontane__Theodor.tsv
NE	ADJD		NE	La		Zahlreiche Pics , Berge und Vulkane überragen	la	die Meeresfläche noch heute .	versicherte Morgan , nur die Armut .Zahlreiche Pics , Berge und Vulkane überragen la die Meeresfläche noch heute .« murmelte Thompson .	4708	7	107560-Verne__Michel.tsv
NE	NN		ADV	Lange			Lange	, nachdem sie Frau geworden , hatte sie nicht verstanden , woher ihr gegen den Mann , den sie frei gewählt hatte , wie er sie , oftmals dieses grollende Gefühl kam , dieser sprungbereite Haß , der sich in tausend kleinen Szenen entlud , – da es zur großen Aussprache zwischen ihnen niemals kam , – der hundert eingebildete und konstruierte Vorwände heftiger Entladungen er fand , – bis der wahre Grund ihrer geheimen Feindschaft , ihrem bohrenden Spähen , ihrer wachgehetzten Weibheit klargeworden war : die Versprechungen ihres Körpers schienen für diesen Mann erfüllt .	, welche Juden untereinander oft abstößt .Lange , nachdem sie Frau geworden , hatte sie nicht verstanden , woher ihr gegen den Mann , den sie frei gewählt hatte , wie er sie , oftmals dieses grollende Gefühl kam , dieser sprungbereite Haß , der sich in tausend kleinen Szenen entlud , – da es zur großen Aussprache zwischen ihnen niemals kam , – der hundert eingebildete und konstruierte Vorwände heftiger Entladungen er fand , – bis der wahre Grund ihrer geheimen Feindschaft , ihrem bohrenden Spähen , ihrer wachgehetzten Weibheit klargeworden war : die Versprechungen ihres Körpers schienen für diesen Mann erfüllt .Und Frau Edda fuhr dahin , Einkäufe	5360	0	79543-Meisel_Hess__Grete.tsv
NE	NE		NE	Ludwig		Warum war aber meine Seele nicht von ebenso tiefen Gefühlen ergriffen , als ich jüngst zum ersten Male über den entsetzlichen Platz ging , wo	Ludwig	XVI. gestorben ?	mals mit ihren heitersten Farben geschmückt .Warum war aber meine Seele nicht von ebenso tiefen Gefühlen ergriffen , als ich jüngst zum ersten Male über den entsetzlichen Platz ging , wo Ludwig XVI. gestorben ?Da liegt sie , die Herrlichkeit des	63	25	59696-Heine__Heinrich.tsv
NE	NN		NE	Meister		Beyleibe nicht , sprach der Bauer , potztausend , nur das nicht ,	Meister	Schuster !	du sie vornen in Busen stecken .Beyleibe nicht , sprach der Bauer , potztausend , nur das nicht , Meister Schuster !Der Bauer bedankte sich , und nahm	2140	13	97256-Schreger__Odilo.tsv
NE	NN		NE	Mereau		An die	Mereau	soll ich schreiben ?	, an dem sie sich sattfressen .An die Mereau soll ich schreiben ?Die Schenkel werden dünner , bis nur	2854	2	4083-Arnim__Bettina_von.tsv
