DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PIAT	PIAT		PIS	alle		Harbert und Pencroff eilten auf den Jaguar zu , Nab und Cyrus Smith liefen von der andern Seite herbei , und	Alle	betrachteten einige Minuten das auf dem Boden liegende Thier , dessen prächtiges Fell eine Zierde des großen Saales im Granithause zu werden versprach .	der rechten Wand der Höhle folgte .Harbert und Pencroff eilten auf den Jaguar zu , Nab und Cyrus Smith liefen von der andern Seite herbei , und Alle betrachteten einige Minuten das auf dem Boden liegende Thier , dessen prächtiges Fell eine Zierde des großen Saales im Granithause zu werden versprach .Der Seemann wollte kaum seinen Augen trauen	1116	21	107501-Verne__Jules.tsv
PIAT	PIAT		PIAT	alle		Ein Zustand , wie der bisherige , ist für	alle	Teile auf die Dauer unhaltbar .	dort unter meinem Schutz heiraten würde .Ein Zustand , wie der bisherige , ist für alle Teile auf die Dauer unhaltbar .Er sprach , dramatisch wie immer ,	10841	9	14315-Braun__Lily.tsv
PIAT	PIAT		PIAT	alle		« – fuhr er fort – » Er ist in Lorchen verliebt , er geht ihr auf	allen	Tritten und Schritten nach .	, als Er mit dir sprach .« – fuhr er fort – » Er ist in Lorchen verliebt , er geht ihr auf allen Tritten und Schritten nach .Allein sie behauptete , daß es heute	538	17	25804-Fischer__Christian_August.tsv
PIAT	PIAT		PIAT	beide		Im Attischen Drama wurde die ursprüngliche rohe Energie der wirklichen Natur , in welcher die entgegengesetzten Elemente durchgängig ineinander verschmolzen sind , in die tragische und komische Energie getrennt , und diese dann von neuem so gemischt , daß das Tragische ein geringes Übergewicht hatte 16 : denn bei völligem Gleichgewicht würden die	beiden	entgegengesetzten Kräfte durch ihr Zusammentreffen sich selbst aufheben .	mit einer Spielart der Griechischen übereinstimmt .Im Attischen Drama wurde die ursprüngliche rohe Energie der wirklichen Natur , in welcher die entgegengesetzten Elemente durchgängig ineinander verschmolzen sind , in die tragische und komische Energie getrennt , und diese dann von neuem so gemischt , daß das Tragische ein geringes Übergewicht hatte 16 : denn bei völligem Gleichgewicht würden die beiden entgegengesetzten Kräfte durch ihr Zusammentreffen sich selbst aufheben .Selbst die Spielart hat zwar geringere Ansprüche	690	53	97139-Schlegel__Friedrich.tsv
PIAT	PIAT		PIAT	einige		Der Commandant verweilte	einige	Tage bei seinen Freunden , die ihn durch dramatische Vorstellungen zu ergötzen suchten , und segelte am 6. Mai nach der , bei seiner ersten Fahrt nur oberflächlich untersuchten Legiep-Gruppe ab .	» Nadiejeda « bald vollendet wären .Der Commandant verweilte einige Tage bei seinen Freunden , die ihn durch dramatische Vorstellungen zu ergötzen suchten , und segelte am 6. Mai nach der , bei seiner ersten Fahrt nur oberflächlich untersuchten Legiep-Gruppe ab .Dieser führte sich damit ein , daß	2099	3	107559-Verne__Jules.tsv
PIAT	PIAT		PIAT	einige		Harbert und Pencroff eilten auf den Jaguar zu , Nab und Cyrus Smith liefen von der andern Seite herbei , und Alle betrachteten	einige	Minuten das auf dem Boden liegende Thier , dessen prächtiges Fell eine Zierde des großen Saales im Granithause zu werden versprach .	der rechten Wand der Höhle folgte .Harbert und Pencroff eilten auf den Jaguar zu , Nab und Cyrus Smith liefen von der andern Seite herbei , und Alle betrachteten einige Minuten das auf dem Boden liegende Thier , dessen prächtiges Fell eine Zierde des großen Saales im Granithause zu werden versprach .Der Seemann wollte kaum seinen Augen trauen	1116	23	107501-Verne__Jules.tsv
PIAT	PIAT		PIAT	einige		Alles dauerte 6 bis 8 Minuten , und nach	einigen	Stunden verzog sich auch der Nebel , so , daß gegen Mittag alles wieder hell und ruhig war , als wenn nichts vorgegangen wäre .	noch in der Erde verborgen liegen .Alles dauerte 6 bis 8 Minuten , und nach einigen Stunden verzog sich auch der Nebel , so , daß gegen Mittag alles wieder hell und ruhig war , als wenn nichts vorgegangen wäre .Die Zahl derselben kann niemand angehen .	18	9	58913-Hebel__Johann_Peter.tsv
PIAT	PIAT		PIAT	einige		– Diese weniger treuherzig als aus Bitterkeit abgelegte Beichte konnte unserm Novizen in keiner Rücksicht gleichgültig seyn , obgleich er aus	einigen	Stellen der in ordensgemäßer Ordnung geführten Correspondenz auf etwas von dieser Art hätte schließen können .	zur beschämenden Strafe gezogen zu werden .– Diese weniger treuherzig als aus Bitterkeit abgelegte Beichte konnte unserm Novizen in keiner Rücksicht gleichgültig seyn , obgleich er aus einigen Stellen der in ordensgemäßer Ordnung geführten Correspondenz auf etwas von dieser Art hätte schließen können .wie doch die Rechtsfreunde immer zu spät	1457	21	62296-Hippel__Theodor_Gottlieb_von.tsv
PIAT	PIAT		PIS	jede		« » Ich hasse niemand ; aber , Gott weiß es , diese Priester , welche ausschließende Seligkeit an Lehrformeln binden , haben mich gezwungen , sie zu verabscheuen , weil sie	jeden	hassen und verfolgen , der , so wie ich , glaubt , daß Leben und nicht Lehre hier rechtschaffen und dort selig mache .	sind an allen meinen Leiden schuld !« » Ich hasse niemand ; aber , Gott weiß es , diese Priester , welche ausschließende Seligkeit an Lehrformeln binden , haben mich gezwungen , sie zu verabscheuen , weil sie jeden hassen und verfolgen , der , so wie ich , glaubt , daß Leben und nicht Lehre hier rechtschaffen und dort selig mache .Dies nebst der gedruckten Zueignungsschrift , die	56	32	83243-Nicolai__Friedrich.tsv
PIAT	PIAT		PIAT	jede		Mr. Bartlett , das ist nämlich der Aufseher , soll immer strenger gewesen sein als ein Anderer , aber erst als Mr. Morton seit den letzten Monaten so kränklich war und nur selten hinkam , ist er so schlimm geworden , daß es	jeden	Tag blutige Rücken gegeben hat .	zu , und gehörte Mr. Morton .Mr. Bartlett , das ist nämlich der Aufseher , soll immer strenger gewesen sein als ein Anderer , aber erst als Mr. Morton seit den letzten Monaten so kränklich war und nur selten hinkam , ist er so schlimm geworden , daß es jeden Tag blutige Rücken gegeben hat .« erwiderte er , augenscheinlich etwas verwundert	3042	43	89978-Ruppius__Otto.tsv
