DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PPOSAT	PPOSAT		PPOSAT	deine		Er benahm sich wie einer , der nicht gehört haben will , und sagte : » Willst du für	deinen	Buben das Erbgut aufrecht halten , so mußt du für ihn zur Holdenwehr im Winter einen Ersatzmann stellen .	Der Heiner macht schon alles .Er benahm sich wie einer , der nicht gehört haben will , und sagte : » Willst du für deinen Buben das Erbgut aufrecht halten , so mußt du für ihn zur Holdenwehr im Winter einen Ersatzmann stellen .Da geh mit dem Jakob vom Käser	4783	19	27055-Ganghofer__Ludwig.tsv
PPOSAT	NN		PPOSAT	euer		Die erfreuliche Tatsache , daß die von	Euer	Hochgeboren ins Leben gerufene und der unermüdlichen Leitung Euer Hochgeboren unterstehende Gesellschaft der österreichischen Friedensfreunde bereits auf eine zehnjährige Wirksamkeit zurückblicken kann , bewegt mich dazu , Euer Hochgeboren aus diesem Anlaß auf das wärmste zu begrüßen .	Jude der Mörder des kleinen Mannes !Die erfreuliche Tatsache , daß die von Euer Hochgeboren ins Leben gerufene und der unermüdlichen Leitung Euer Hochgeboren unterstehende Gesellschaft der österreichischen Friedensfreunde bereits auf eine zehnjährige Wirksamkeit zurückblicken kann , bewegt mich dazu , Euer Hochgeboren aus diesem Anlaß auf das wärmste zu begrüßen .Auch da waren die Erfolge nur gering	7284	7	102347-Suttner__Bertha_von.tsv
PPOSAT	NE		PPOSAT	euer		Die erfreuliche Tatsache , daß die von Euer Hochgeboren ins Leben gerufene und der unermüdlichen Leitung	Euer	Hochgeboren unterstehende Gesellschaft der österreichischen Friedensfreunde bereits auf eine zehnjährige Wirksamkeit zurückblicken kann , bewegt mich dazu , Euer Hochgeboren aus diesem Anlaß auf das wärmste zu begrüßen .	Jude der Mörder des kleinen Mannes !Die erfreuliche Tatsache , daß die von Euer Hochgeboren ins Leben gerufene und der unermüdlichen Leitung Euer Hochgeboren unterstehende Gesellschaft der österreichischen Friedensfreunde bereits auf eine zehnjährige Wirksamkeit zurückblicken kann , bewegt mich dazu , Euer Hochgeboren aus diesem Anlaß auf das wärmste zu begrüßen .Auch da waren die Erfolge nur gering	7284	16	102347-Suttner__Bertha_von.tsv
PPOSAT	NN		PPOSAT	euer		Die erfreuliche Tatsache , daß die von Euer Hochgeboren ins Leben gerufene und der unermüdlichen Leitung Euer Hochgeboren unterstehende Gesellschaft der österreichischen Friedensfreunde bereits auf eine zehnjährige Wirksamkeit zurückblicken kann , bewegt mich dazu ,	Euer	Hochgeboren aus diesem Anlaß auf das wärmste zu begrüßen .	Jude der Mörder des kleinen Mannes !Die erfreuliche Tatsache , daß die von Euer Hochgeboren ins Leben gerufene und der unermüdlichen Leitung Euer Hochgeboren unterstehende Gesellschaft der österreichischen Friedensfreunde bereits auf eine zehnjährige Wirksamkeit zurückblicken kann , bewegt mich dazu , Euer Hochgeboren aus diesem Anlaß auf das wärmste zu begrüßen .Auch da waren die Erfolge nur gering	7284	35	102347-Suttner__Bertha_von.tsv
PPOSAT	NE		NE	ihr		Nun gingen	Ihro	Majestät wieder zum General von Zieten und Herrn von Kleist , und sprachen von verschiedenen Sachen .	den Reichtum und den guten Geschmack .Nun gingen Ihro Majestät wieder zum General von Zieten und Herrn von Kleist , und sprachen von verschiedenen Sachen .« Niemand aber kam uns zu begrüßen	27811	2	26867-Fontane__Theodor.tsv
PPOSAT	PPOSAT		PPOSAT	ihr		Er ergriff	ihre	Hand , küßte sie , drückte sie an sein Herz , und wagte nichts weiter .	, oder fast gänzliche Veränderung derselben .Er ergriff ihre Hand , küßte sie , drückte sie an sein Herz , und wagte nichts weiter .u. s.f. Il mio cor , ah	4482	2	59726-Heinse__Wilhelm.tsv
PPOSAT	PPOSAT		PPOSAT	ihr		Nie mochte sie	ihre	Schmerzen in den Busen eines andern ergossen haben ; alles barg sie tief in sich .	Ich sah sie auch niemals lächeln .Nie mochte sie ihre Schmerzen in den Busen eines andern ergossen haben ; alles barg sie tief in sich .Wir sind alte Freunde und müssen gegenseitig	969	3	106903-Turgenev__Ivan_Sergeevi_.tsv
PPOSAT	PPOSAT		PPOSAT	ihr		Lange , nachdem sie Frau geworden , hatte sie nicht verstanden , woher ihr gegen den Mann , den sie frei gewählt hatte , wie er sie , oftmals dieses grollende Gefühl kam , dieser sprungbereite Haß , der sich in tausend kleinen Szenen entlud , – da es zur großen Aussprache zwischen ihnen niemals kam , – der hundert eingebildete und konstruierte Vorwände heftiger Entladungen er fand , – bis der wahre Grund ihrer geheimen Feindschaft ,	ihrem	bohrenden Spähen , ihrer wachgehetzten Weibheit klargeworden war : die Versprechungen ihres Körpers schienen für diesen Mann erfüllt .	, welche Juden untereinander oft abstößt .Lange , nachdem sie Frau geworden , hatte sie nicht verstanden , woher ihr gegen den Mann , den sie frei gewählt hatte , wie er sie , oftmals dieses grollende Gefühl kam , dieser sprungbereite Haß , der sich in tausend kleinen Szenen entlud , – da es zur großen Aussprache zwischen ihnen niemals kam , – der hundert eingebildete und konstruierte Vorwände heftiger Entladungen er fand , – bis der wahre Grund ihrer geheimen Feindschaft , ihrem bohrenden Spähen , ihrer wachgehetzten Weibheit klargeworden war : die Versprechungen ihres Körpers schienen für diesen Mann erfüllt .Und Frau Edda fuhr dahin , Einkäufe	5360	78	79543-Meisel_Hess__Grete.tsv
PPOSAT	PPOSAT		PPOSAT	ihr		Sie hatte geglaubt , von	ihrem	Geliebten auf immerdar getrennt zu sein , und doch war er ihr noch einmal wiedergeschenkt worden .	daß sie ihr Leben lassen müsse .Sie hatte geglaubt , von ihrem Geliebten auf immerdar getrennt zu sein , und doch war er ihr noch einmal wiedergeschenkt worden .« Frau von La Mole rief ihre	1579	5	99250-Stendhal.tsv
PPOSAT	PPOSAT		PPOSAT	ihr		Lange , nachdem sie Frau geworden , hatte sie nicht verstanden , woher ihr gegen den Mann , den sie frei gewählt hatte , wie er sie , oftmals dieses grollende Gefühl kam , dieser sprungbereite Haß , der sich in tausend kleinen Szenen entlud , – da es zur großen Aussprache zwischen ihnen niemals kam , – der hundert eingebildete und konstruierte Vorwände heftiger Entladungen er fand , – bis der wahre Grund	ihrer	geheimen Feindschaft , ihrem bohrenden Spähen , ihrer wachgehetzten Weibheit klargeworden war : die Versprechungen ihres Körpers schienen für diesen Mann erfüllt .	, welche Juden untereinander oft abstößt .Lange , nachdem sie Frau geworden , hatte sie nicht verstanden , woher ihr gegen den Mann , den sie frei gewählt hatte , wie er sie , oftmals dieses grollende Gefühl kam , dieser sprungbereite Haß , der sich in tausend kleinen Szenen entlud , – da es zur großen Aussprache zwischen ihnen niemals kam , – der hundert eingebildete und konstruierte Vorwände heftiger Entladungen er fand , – bis der wahre Grund ihrer geheimen Feindschaft , ihrem bohrenden Spähen , ihrer wachgehetzten Weibheit klargeworden war : die Versprechungen ihres Körpers schienen für diesen Mann erfüllt .Und Frau Edda fuhr dahin , Einkäufe	5360	74	79543-Meisel_Hess__Grete.tsv
