DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PTKA	PTKA		PTKA	allzu		« – » Immerhin , « erwiderte Casanova rasch , » werden Sie mir zugeben müssen , schöne und gelehrte Marcolina , daß auch die Sophisten keineswegs durchaus als so verächtliche und törichte Gesellen zu gelten haben , wie man nach Ihrem	allzu	strengen Urteil annehmen müßte .	wofür ich Ihnen aufrichtig dankbar bin .« – » Immerhin , « erwiderte Casanova rasch , » werden Sie mir zugeben müssen , schöne und gelehrte Marcolina , daß auch die Sophisten keineswegs durchaus als so verächtliche und törichte Gesellen zu gelten haben , wie man nach Ihrem allzu strengen Urteil annehmen müßte .Noch immer war er so geschickt im	766	42	97229-Schnitzler__Arthur.tsv
PTKA	PTKA		PTKA	allzu		Ein	allzu	alter Fürst würde gleichsam wieder zum Kinde / er gläubte allen Hoff-Heuchlern .	erkalteten / und die Gemüths-Kräfften wegfielen .Ein allzu alter Fürst würde gleichsam wieder zum Kinde / er gläubte allen Hoff-Heuchlern .Ausser dem könten seines Erachtens sich auch	41243	1	78039-Lohenstein__Daniel_Casper_von.tsv
PTKA	PTKA		PTKA	allzu		Aber ich sagte mir , daß meine Leute , wenn ich ihnen	allzu	lange ausbliebe , Nachforschungen anstellen würden , die ja nicht ohne Erfolg bleiben konnten .	Ich war eingesperrt , richtig !Aber ich sagte mir , daß meine Leute , wenn ich ihnen allzu lange ausbliebe , Nachforschungen anstellen würden , die ja nicht ohne Erfolg bleiben konnten .» Immerhin , meine Herren , nahm	6366	12	107508-Verne__Jules.tsv
PTKA	PTKA		PTKA	am		Es fehlt ihm noch an realen Bildern seines Sinnes , und so mußte er vielfach undeutlich schweigen , wo er	am	meisten gedrängt war , oder halb-sagen , weil er keinen ganz gemäßen Umriß fand .	so engem Stoff Mannigfaltigkeit zu spielen .Es fehlt ihm noch an realen Bildern seines Sinnes , und so mußte er vielfach undeutlich schweigen , wo er am meisten gedrängt war , oder halb-sagen , weil er keinen ganz gemäßen Umriß fand .Noch fehlt der äußere Raum worin dieses	1621	20	56347-Gundolf__Friedrich.tsv
PTKA	PTKA		PTKA	am		Aber was mir	am	meisten am Herzen lag , war ein Vorrat von Büchern ; denn wie sollte ich ohne Bücher den kommenden Winter verleben !	und der Hofrat trank ihn aus .Aber was mir am meisten am Herzen lag , war ein Vorrat von Büchern ; denn wie sollte ich ohne Bücher den kommenden Winter verleben !Ich schützte Unpäßlichkeit vor – ach ,	2569	3	68619-Kotzebue__August_von.tsv
PTKA	PTKA		PTKA	am		« Vielleicht betrügen wir die Neugierde vieler Leser gerade da , wo sie	am	wenigsten geneigt sind , es uns zu vergeben .	Volk sein « , versetzte Danischmend .« Vielleicht betrügen wir die Neugierde vieler Leser gerade da , wo sie am wenigsten geneigt sind , es uns zu vergeben .Allein da sie ein besonderes Hauptstück des	1944	13	110269-Wieland__Christoph_Martin.tsv
PTKA	APPRART		PTKA	am		Ich weiß , was es heißt , ganz für das und mit dem zu leben , was man auf dieser Welt	am	liebsten hat .	, wenn wir einander nicht heiraten .Ich weiß , was es heißt , ganz für das und mit dem zu leben , was man auf dieser Welt am liebsten hat .Fahren wir fort , nur das zu	5760	21	15086-Bront___Charlotte.tsv
PTKA	PTKA		APPRART	am		Mit Schadenfreude hörte er einige Anekdoten aus dessem Privatleben an , und von den kleinen Blößen , die sich doch auch im Eifer oder Nachlässigkeit der Mann gibt , der sich	am	meisten bewacht .	wohlgefällig dessen Berichte aus Rom anhörte .Mit Schadenfreude hörte er einige Anekdoten aus dessem Privatleben an , und von den kleinen Blößen , die sich doch auch im Eifer oder Nachlässigkeit der Mann gibt , der sich am meisten bewacht .Der Ausdruck seines Gesichtes war milde und	712	31	104894-Tieck__Ludwig.tsv
PTKA	PTKA		PTKA	am		Er widersprache zwar solches mit vielen h \flichen worten / ließe aber doch darbei den eifer nicht blicken / den ich dazu erforderte ; und verdroße mich das	am	meisten / daß er / sich stellend / als ob er mein misfallen nicht merkte / gleichwol fortfuhre / seinen verlust zu beklagen .	er dieses kleinod wieder gefunden håtte .Er widersprache zwar solches mit vielen h \flichen worten / ließe aber doch darbei den eifer nicht blicken / den ich dazu erforderte ; und verdroße mich das am meisten / daß er / sich stellend / als ob er mein misfallen nicht merkte / gleichwol fortfuhre / seinen verlust zu beklagen .Er aber / als er wenig tage	27071	28	3459-Anton_Ulrich_Herzog_von_Braunschweig.tsv
PTKA	PTKA		PTKA	am		Ich habe meinen ältesten und	am	meisten gehaßten Feind und meinen jüngsten und am meisten geliebten Freund wiedergefunden .	groß und schön nimmermehr gehofft habe .Ich habe meinen ältesten und am meisten gehaßten Feind und meinen jüngsten und am meisten geliebten Freund wiedergefunden .Darum habe ich diesen Tag , an	6511	5	99024-Spielhagen__Friedrich.tsv
PTKA	PTKA		PTKA	am		Ich habe meinen ältesten und am meisten gehaßten Feind und meinen jüngsten und	am	meisten geliebten Freund wiedergefunden .	groß und schön nimmermehr gehofft habe .Ich habe meinen ältesten und am meisten gehaßten Feind und meinen jüngsten und am meisten geliebten Freund wiedergefunden .Darum habe ich diesen Tag , an	6511	13	99024-Spielhagen__Friedrich.tsv
PTKA	PTKA		APPR	zu		–	Zu	spät !	nicht Nord-Amerika einst den Engländern gehört ?– Zu spät !Man will Arme und Beine schonen ,	588	1	107492-Verne__Jules.tsv
PTKA	APPR		PTKA	zu		A.{ } Wie mich dünkt , stand er dem großen Friedrich	zu	nahe ; und es war Natur der Sache – Hier eine von Sarbievs unschätzbaren Oden auch in der Form des Römers : Zuerst versuchten wir dieses lyrisch ; wer ist , der eine Ode Uz' , Klopstocks , Ramlers formlos nennen dörfte ?	es ist nie einer darin gewesen .A.{ } Wie mich dünkt , stand er dem großen Friedrich zu nahe ; und es war Natur der Sache – Hier eine von Sarbievs unschätzbaren Oden auch in der Form des Römers : Zuerst versuchten wir dieses lyrisch ; wer ist , der eine Ode Uz' , Klopstocks , Ramlers formlos nennen dörfte ?Ist es ein Wunder , daß Armut	5233	11	61283-Herder__Johann_Gottfried.tsv
PTKA	PTKA		PTKA	zu		Wir dürfen keinen Augenblick verlieren , wenn wir mit unserer Hilfe nicht	zu	spät kommen wollen .	Was mag in dem Pakete stecken ?Wir dürfen keinen Augenblick verlieren , wenn wir mit unserer Hilfe nicht zu spät kommen wollen .Word 159 Augenbraue .	3	12	79321-May__Karl.tsv
PTKA	PTKA		PTKA	zu		Das Rot des Vierecks darf nicht	zu	sehr ins Gelbe fallen , sonst wird oben der dunkelrote Scheinrand zu sehr bemerklich ; es muß aber von der andern Seite genug vom Gelben haben , sonst wird die Veränderung durch den gelben Saum zu deutlich .	Indig recht satt gefärbtes Papier besorgen .Das Rot des Vierecks darf nicht zu sehr ins Gelbe fallen , sonst wird oben der dunkelrote Scheinrand zu sehr bemerklich ; es muß aber von der andern Seite genug vom Gelben haben , sonst wird die Veränderung durch den gelben Saum zu deutlich .268. Eine richtige Einsicht in dieses bedeutende	353	6	32617-Goethe__Johann_Wolfgang.tsv
PTKA	PTKZU		PTKA	zu		Das Rot des Vierecks darf nicht zu sehr ins Gelbe fallen , sonst wird oben der dunkelrote Scheinrand zu sehr bemerklich ; es muß aber von der andern Seite genug vom Gelben haben , sonst wird die Veränderung durch den gelben Saum	zu	deutlich .	Indig recht satt gefärbtes Papier besorgen .Das Rot des Vierecks darf nicht zu sehr ins Gelbe fallen , sonst wird oben der dunkelrote Scheinrand zu sehr bemerklich ; es muß aber von der andern Seite genug vom Gelben haben , sonst wird die Veränderung durch den gelben Saum zu deutlich .268. Eine richtige Einsicht in dieses bedeutende	353	42	32617-Goethe__Johann_Wolfgang.tsv
