DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
PTKNEG	PTKNEG		PTKNEG	nicht		FAUST :	Nicht	aus Furcht , ich war gegen einen Mächtigern kühn , und darum bin ich hier .	weiß man nichts als das Gerücht .FAUST : Nicht aus Furcht , ich war gegen einen Mächtigern kühn , und darum bin ich hier .Man sagt , er habe aus feindlichen	2548	2	67770-Klinger__Friedrich_Maximilian.tsv
PTKNEG	PTKNEG		PTKNEG	nicht		1 Mein Vater konnte sich nie zur Herausgabe dieses Lebens entschließen ; das Manuskript nebst einigen andern Abhandlungen befindet sich in den Händen der Familie und soll seiner Zeit dem Publikum	nicht	vorenthalten werden .	– krink – kronk – krank .1 Mein Vater konnte sich nie zur Herausgabe dieses Lebens entschließen ; das Manuskript nebst einigen andern Abhandlungen befindet sich in den Händen der Familie und soll seiner Zeit dem Publikum nicht vorenthalten werden .Lieber wollte ich der Calliope selbst ein	4789	31	99260-Sterne__Laurence.tsv
PTKNEG	PTKNEG		PTKNEG	nicht		» So schnell geht es	nicht	, Meister , « erwiderte der Junge , » ich gehe , aber du sollst mir zuvor einen Wanderstab schmieden !	» Dich kann ich nicht brauchen !» So schnell geht es nicht , Meister , « erwiderte der Junge , » ich gehe , aber du sollst mir zuvor einen Wanderstab schmieden !» Du musst nicht so grob schlagen	113	5	64814-Jahn__Ulrich.tsv
PTKNEG	PTKNEG		PTKNEG	nicht		‹ und wenn der Hofhund sein Rüdengebell heulte , so war die Täuschung so vollkommen , daß sich meine Blicke ängstlich an die schlecht verriegelte Türe hefteten , denn ich glaubte	nicht	anders , als › Ritter Urian trete auf ‹ .	ein Mensch durch Leichtsinn kommen könne .‹ und wenn der Hofhund sein Rüdengebell heulte , so war die Täuschung so vollkommen , daß sich meine Blicke ängstlich an die schlecht verriegelte Türe hefteten , denn ich glaubte nicht anders , als › Ritter Urian trete auf ‹ .Er trete mir Luisen ab , ich	664	31	58301-Hauff__Wilhelm.tsv
PTKNEG	PTKNEG		PTKNEG	nicht		Diese beiden letztgenannten Eigenschaften sind die Ursache ihrer	nicht	ganz freiwilligen Entfernung aus Berlin , wo man im Zeichen der Tugend und Gottesfurcht steht .	ihrer Tätigkeit hierher verlegt zu haben .Diese beiden letztgenannten Eigenschaften sind die Ursache ihrer nicht ganz freiwilligen Entfernung aus Berlin , wo man im Zeichen der Tugend und Gottesfurcht steht .Alle bösen Geister haben wieder von mir	902	8	14315-Braun__Lily.tsv
PTKNEG	PTKNEG		PTKNEG	nicht		Das Versprechen konnte sie ihm	nicht	abschlagen .	Weise die Ehre der Vaterschaft ankündigte .Das Versprechen konnte sie ihm nicht abschlagen .Julius fühlte das und freute sich damit	781	5	97133-Schlegel__Friedrich.tsv
PTKNEG	PTKNEG		PTKNEG	nicht		Und dennoch verzweifelte dieser große , unbezähmbare und unermüdliche Geist , der allen Prüfungen trotzte , noch immer	nicht	.	Existenz als die des großen Seefahrers ?Und dennoch verzweifelte dieser große , unbezähmbare und unermüdliche Geist , der allen Prüfungen trotzte , noch immer nicht .Er ließ sich also in Cordova ,	3959	18	107557-Verne__Jules.tsv
PTKNEG	PTKNEG		PTKNEG	nicht		16 Denn etliche da sie höreten / richteten eine verbitterung an / Aber	nicht	alle / die von Egypten ausgiengen durch Mosen .	/ bis ans ende feste behalten .16 Denn etliche da sie höreten / richteten eine verbitterung an / Aber nicht alle / die von Egypten ausgiengen durch Mosen .2 Darumb so die Bösen / meine	14083	13	78101-Luther__Martin.tsv
PTKNEG	PTKNEG		PTKNEG	nicht		Was	nicht	einzelnes Atom ist das um sich selber dreht , sondern lebendige Kraft die in sich gebunden und geschlossen nach außen strahlt , das bildet und schließt das durchdringbare nähere oder fernere Wesen sich ein , verselbt es und verinnert es , und da diese Kraft überall einfach und ganz ist , so wird , wie weit sie auch reicht , einfach und ganz was ihr sich eint : nur der Umfang kann wachsen , nicht die Rundheit und die Bindung .	keine Mache , sondern ein Gesetz .Was nicht einzelnes Atom ist das um sich selber dreht , sondern lebendige Kraft die in sich gebunden und geschlossen nach außen strahlt , das bildet und schließt das durchdringbare nähere oder fernere Wesen sich ein , verselbt es und verinnert es , und da diese Kraft überall einfach und ganz ist , so wird , wie weit sie auch reicht , einfach und ganz was ihr sich eint : nur der Umfang kann wachsen , nicht die Rundheit und die Bindung .Die Gotteskunde ist aufgehendes und übergehendes Menschtum	276	1	56347-Gundolf__Friedrich.tsv
PTKNEG	PTKNEG		PTKNEG	nicht		Was nicht einzelnes Atom ist das um sich selber dreht , sondern lebendige Kraft die in sich gebunden und geschlossen nach außen strahlt , das bildet und schließt das durchdringbare nähere oder fernere Wesen sich ein , verselbt es und verinnert es , und da diese Kraft überall einfach und ganz ist , so wird , wie weit sie auch reicht , einfach und ganz was ihr sich eint : nur der Umfang kann wachsen ,	nicht	die Rundheit und die Bindung .	keine Mache , sondern ein Gesetz .Was nicht einzelnes Atom ist das um sich selber dreht , sondern lebendige Kraft die in sich gebunden und geschlossen nach außen strahlt , das bildet und schließt das durchdringbare nähere oder fernere Wesen sich ein , verselbt es und verinnert es , und da diese Kraft überall einfach und ganz ist , so wird , wie weit sie auch reicht , einfach und ganz was ihr sich eint : nur der Umfang kann wachsen , nicht die Rundheit und die Bindung .Die Gotteskunde ist aufgehendes und übergehendes Menschtum	276	76	56347-Gundolf__Friedrich.tsv
PTKNEG	PTKNEG		PTKNEG	nicht		Melo aber eilte mit seinen vier tausend Reitern / welches alles Sicambrische und Tencterische Ritter oder Edelleute waren / dem härtesten Stande zu ; wo der Graf von Oldenburg mehr keinen Athem / wenig Blut / ja	nicht	einen unverwundeten Soldaten / gleichwohl aber noch das Hertze hatte zwölff tausend Römern durch Hülffe des vortheilhaften Ortes die Stirne zu bieten .	/ und Hoffnung zu überwinden hätten .Melo aber eilte mit seinen vier tausend Reitern / welches alles Sicambrische und Tencterische Ritter oder Edelleute waren / dem härtesten Stande zu ; wo der Graf von Oldenburg mehr keinen Athem / wenig Blut / ja nicht einen unverwundeten Soldaten / gleichwohl aber noch das Hertze hatte zwölff tausend Römern durch Hülffe des vortheilhaften Ortes die Stirne zu bieten .Und ich werde mit iedem vergnügt seyn	681	37	78039-Lohenstein__Daniel_Casper_von.tsv
PTKNEG	PTKNEG		PTKNEG	nicht		Weil aber die Ada / wegen dessen / daß sie die Judith weit mehr als sich geliebet sahe / auch derselben die oberstelle lassen muste / endlich in die h \ chste ungedult geriehte : als wolte sie	nicht	långer zu Gerar verbleiben / sondern name ihr fůr / nach Sichem zu ihrem vatter zu reisen .	sich bei diesem seinem schwager aufhielte .Weil aber die Ada / wegen dessen / daß sie die Judith weit mehr als sich geliebet sahe / auch derselben die oberstelle lassen muste / endlich in die h \ chste ungedult geriehte : als wolte sie nicht långer zu Gerar verbleiben / sondern name ihr fůr / nach Sichem zu ihrem vatter zu reisen .Diesem nun fürzukommen / brachte sie die	24359	38	3459-Anton_Ulrich_Herzog_von_Braunschweig.tsv
PTKNEG	PTKNEG		PTKNEG	nicht		Aber Luther war kein Heiliger , und er hatte es	nicht	mit Heiligen zu tun .	das Blut Christi genannt und geglaubt .Aber Luther war kein Heiliger , und er hatte es nicht mit Heiligen zu tun .« Und , auch so angesehen ,	115	10	18627-Claudius__Matthias.tsv
