DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
VAPP	VAPP		VAPP	haben		Kurz und gut , Lange Rübe hat einen Verlust von tausend Skudi	gehabt	.	um die Wurstschale zu tun ist .Kurz und gut , Lange Rübe hat einen Verlust von tausend Skudi gehabt .Nero kennt den Hauptmann Tromba genau ,	23	12	25367-Ernst__Paul.tsv
VAPP	VAPP		VAPP	haben		Offenbar haben Sie in der letzten Zeit nicht Lust	gehabt	, ihnen etwas zu erzählen , und vielleicht auch keinen Stoff , oder zu viel Stoffe .	kommen jetzt so selten zu mir .Offenbar haben Sie in der letzten Zeit nicht Lust gehabt , ihnen etwas zu erzählen , und vielleicht auch keinen Stoff , oder zu viel Stoffe .» Sie müssen alles gelegentlich den Kindern	125	9	89047-Rilke__Rainer_Maria.tsv
VAPP	VAPP		VAPP	haben		Margaretha Bremont deß Novel Laverets Weib / hat bekant / daß sie auff einen Tag mit Marien ihrer Mutter zu einer Versamlung bey einer Mühlen Franquis vor Longui in einer Wiesen kommen / und da habe ihre Mutter einen Besem zwischen den Beinen	gehabt	/ und etliche Wort gesprochen / die ich nicht setzen wil / und alsbald seind sie an den Ort gebracht / da sie Johannam Robert / Johannam Guillim in / Mariam deß Simonis von Lamm Haußfrau / und Guillametta ein Weib eines Manns / den man den Graß nennet / bey einander angetroffen / deren jede einen Besen hatte .	Fer General Leutenant von Laon mitgetheilet .Margaretha Bremont deß Novel Laverets Weib / hat bekant / daß sie auff einen Tag mit Marien ihrer Mutter zu einer Versamlung bey einer Mühlen Franquis vor Longui in einer Wiesen kommen / und da habe ihre Mutter einen Besem zwischen den Beinen gehabt / und etliche Wort gesprochen / die ich nicht setzen wil / und alsbald seind sie an den Ort gebracht / da sie Johannam Robert / Johannam Guillim in / Mariam deß Simonis von Lamm Haußfrau / und Guillametta ein Weib eines Manns / den man den Graß nennet / bey einander angetroffen / deren jede einen Besen hatte .Und auff eine Zeit habe sie der	1243	43	85699-Praetorius__Johannes.tsv
VAPP	VAPP		VAPP	sein		‹ Ich sah mich nach allen Seiten um , ob noch außer mir jemand Zeuge dieses Selbstmords	gewesen	sei , und beschloß , als ich mich des Gegenteils versichert hatte , den Vorfall zu verschweigen , um allen Verfänglichkeiten zu entgehen .	nichts für seine Rettung getan hast ?‹ Ich sah mich nach allen Seiten um , ob noch außer mir jemand Zeuge dieses Selbstmords gewesen sei , und beschloß , als ich mich des Gegenteils versichert hatte , den Vorfall zu verschweigen , um allen Verfänglichkeiten zu entgehen .› Wird man nicht glauben ‹ ,	203	17	58802-Hebbel__Friedrich.tsv
VAPP	VAPP		VAPP	sein		Erst vor einigen Tagen wäre er beim Justizrath mit einem fremden Prediger	gewesen	, der bei einer russischen Herrschaft lebe und hätte den Justizrath wie ein Staatsprokurator über eine alte Bildergeschichte förmlich zu Protokoll genommen .	Schmelzing unterstütze ihn .Erst vor einigen Tagen wäre er beim Justizrath mit einem fremden Prediger gewesen , der bei einer russischen Herrschaft lebe und hätte den Justizrath wie ein Staatsprokurator über eine alte Bildergeschichte förmlich zu Protokoll genommen .Von Hackert hatte er ihr zu ihrem	33039	12	56355-Gutzkow__Karl.tsv
VAPP	VAPP		VAPP	sein		Aus ihren alten Schriften haben diese Männer herausgelesen , daß das Schloß zwischen Wittenbeck und Brunshaupten stehe , nur der bestimmte Berg ist ihnen unbekannt	gewesen	.	den Contract nicht wieder eingegangen ist .Aus ihren alten Schriften haben diese Männer herausgelesen , daß das Schloß zwischen Wittenbeck und Brunshaupten stehe , nur der bestimmte Berg ist ihnen unbekannt gewesen .Der Hirte fand bei einem gewissen Steine	8	25	6823-Bartsch__Karl.tsv
VAPP	VAPP		VAPP	sein		» Sei es nun , daß die Kameradschaft mit dem Neffen oder daß die aus meiner beständigen Exaltation sich erzeugende besondere Art meines ganzen Wesens meiner Unterhaltung , mir selbst ein besonderes Interesse gab , kurz , der Alte gewann mich in kurzer Zeit sehr lieb , vorzüglich müßte ich aber ganz verblendet	gewesen	sein , hätte ich nicht merken sollen , daß Pauline mich vor allen andern jungen Männern , die sie umgaben , ganz besonders auszeichnete .	– jetzt nur weiter .» Sei es nun , daß die Kameradschaft mit dem Neffen oder daß die aus meiner beständigen Exaltation sich erzeugende besondere Art meines ganzen Wesens meiner Unterhaltung , mir selbst ein besonderes Interesse gab , kurz , der Alte gewann mich in kurzer Zeit sehr lieb , vorzüglich müßte ich aber ganz verblendet gewesen sein , hätte ich nicht merken sollen , daß Pauline mich vor allen andern jungen Männern , die sie umgaben , ganz besonders auszeichnete .– nachher , nachher !	85	53	62325-Hoffmann__E__T__A_.tsv
VAPP	VAPP		VAPP	sein		Herr Tyß ahnte nicht , daß alles , was bis jetzt geschehen , nur das Vorspiel des wunderlichsten Abenteuers	gewesen	, und tat ebendeshalb unbewußt sehr wohl daran , den Himmel im voraus um die Erhaltung seines Verstandes zu bitten .	überging in tolles Schreien und Toben .Herr Tyß ahnte nicht , daß alles , was bis jetzt geschehen , nur das Vorspiel des wunderlichsten Abenteuers gewesen , und tat ebendeshalb unbewußt sehr wohl daran , den Himmel im voraus um die Erhaltung seines Verstandes zu bitten .Es begab sich , daß ein junger	1499	19	62359-Hoffmann__E__T__A_.tsv
VAPP	VAPP		VAPP	sein		Der Fürst war in der ersten Zeit der Meinung	gewesen	, daß es für den » armen Knaben « sogar das beste sein würde , wenn er aus seinem Haus wegzöge .	plötzlich gekommen war , leiten ließ .Der Fürst war in der ersten Zeit der Meinung gewesen , daß es für den » armen Knaben « sogar das beste sein würde , wenn er aus seinem Haus wegzöge .Das hatte sich in ganz natürlicher Weise	15385	9	22510-Dostoevskij__F_dor_Michajlovi_.tsv
VAPP	VAPP		VAPP	sein		Kein Fürstenthum oder Königreich wäre nunmehro capable	gewesen	, bey mir ein Æquivalent , gegen diesen vortrefflichen Vogel abzugeben , ja ich war dermassen vergnügt über diese Curiositee , daß nicht viel fehlete , ich hätte deßwegen an alle Insulaner ausserordentliche Notifications-Schreiben abgesendet .	Begebenheit ein mehrers mit einander sprechen .Kein Fürstenthum oder Königreich wäre nunmehro capable gewesen , bey mir ein Æquivalent , gegen diesen vortrefflichen Vogel abzugeben , ja ich war dermassen vergnügt über diese Curiositee , daß nicht viel fehlete , ich hätte deßwegen an alle Insulaner ausserordentliche Notifications-Schreiben abgesendet .Die Ursach dessen solte zwar noch immer	5544	7	97159-Schnabel__Johann_Gottfried.tsv
