DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
VMINF	VMINF		VMINF	dürfen		Diese würde Schlurck wenig interessirt haben , sie würde ihm sogar eine Genugthuung für all' das Unglück gewesen sein , das seit dem Schrein mit dem vierblättrigen Kleeblatt-Kreuze über sein Leben gekommen war , aber er wußte , wie Melanie für den kühnen , entschlossenen , kalten jungen Mann fühlte , dem er damals vergebens die Hand des schönsten Mädchens der Welt anbot , er sah bestürzt in ihr Auge , er wußte , daß sie litt , daß sie Egon , diesen ihm aus tiefster Antipathie verhaßten Schwiegersohn , nur aus Pflichtgefühl in Ehren hielt und voll Wehmuth ihr die Hand reichend , sagte er nach einem Rückblick auf die erste Bekanntschaft mit Dankmar : Es ist viel von Ihnen gesprochen worden , Herr Armand , sagte Sandrart mit einer Art Eifersucht , um sich in das Gespräch mischen zu	dürfen	.	diese stillen Augenblicke seines verkürzten Lebensglückes .Diese würde Schlurck wenig interessirt haben , sie würde ihm sogar eine Genugthuung für all' das Unglück gewesen sein , das seit dem Schrein mit dem vierblättrigen Kleeblatt-Kreuze über sein Leben gekommen war , aber er wußte , wie Melanie für den kühnen , entschlossenen , kalten jungen Mann fühlte , dem er damals vergebens die Hand des schönsten Mädchens der Welt anbot , er sah bestürzt in ihr Auge , er wußte , daß sie litt , daß sie Egon , diesen ihm aus tiefster Antipathie verhaßten Schwiegersohn , nur aus Pflichtgefühl in Ehren hielt und voll Wehmuth ihr die Hand reichend , sagte er nach einem Rückblick auf die erste Bekanntschaft mit Dankmar : Es ist viel von Ihnen gesprochen worden , Herr Armand , sagte Sandrart mit einer Art Eifersucht , um sich in das Gespräch mischen zu dürfen .Der Champagner floß dabei und die Tochter	28051	141	56355-Gutzkow__Karl.tsv
VMINF	VMINF		VMINF	können		In der Ausgabe von 1592 von Gödelmann's Zauberern , Hexen vnd Vnholden heißt es I , S. 45 : » Es hatten etliche Münche im Closter N. einen Schatz auß der Kirche verlohrn , als sie aber den Dieb nirgendts erforschen vnd erkündigen können , rathfragten sie einen Wahrsager , der gab Antwort , daß derselbigt Kirchenräuber sey seiner Gattung ein Schwartzkünstler , es erscheine wol sein Cörper , Strumpf , den Kopf aber möge er nicht sehen	können	.	Nr. 38 .In der Ausgabe von 1592 von Gödelmann's Zauberern , Hexen vnd Vnholden heißt es I , S. 45 : » Es hatten etliche Münche im Closter N. einen Schatz auß der Kirche verlohrn , als sie aber den Dieb nirgendts erforschen vnd erkündigen können , rathfragten sie einen Wahrsager , der gab Antwort , daß derselbigt Kirchenräuber sey seiner Gattung ein Schwartzkünstler , es erscheine wol sein Cörper , Strumpf , den Kopf aber möge er nicht sehen können .Das laß ich nicht geschehn !	70	78	85870-Pr_hle__Heinrich.tsv
VMINF	VMFIN		VMINF	können		Erst mit Rückkehr des Ostmoussons konnte Kapitän Carteret am 22. Mai 1768 Bouthain verlassen , nach langen , unaufhörlichen Quälereien und Beunruhigungen , die wir hier nicht im Einzelnen wiedergeben	können	, die aber seine Geduld oft auf eine sehr harte Probe stellten .	Matava ( etwas knapp geworden waren .Erst mit Rückkehr des Ostmoussons konnte Kapitän Carteret am 22. Mai 1768 Bouthain verlassen , nach langen , unaufhörlichen Quälereien und Beunruhigungen , die wir hier nicht im Einzelnen wiedergeben können , die aber seine Geduld oft auf eine sehr harte Probe stellten .Doch strömten , verlockt durch die außer	1947	30	107558-Verne__Jules.tsv
VMINF	VMINF		VMINF	können		Wer Frau Rehorst hätte sehen	können	, als sie aus Einharts Atelier und dann aus dem Hause auf die Straße trat , hätte am Gange und an der Haltung allein erkennen müssen , daß sie dieses Lied zum ersten Male im Ohre hatte .	außerdem eine alte Schicksalsmelodie daneben geklungen .Wer Frau Rehorst hätte sehen können , als sie aus Einharts Atelier und dann aus dem Hause auf die Straße trat , hätte am Gange und an der Haltung allein erkennen müssen , daß sie dieses Lied zum ersten Male im Ohre hatte .Auch , daß diese Uhr sauber mit	3897	5	58342-Hauptmann__Carl.tsv
VMINF	VMFIN		VMINF	können		Sara 's armes Gemüth war durch die ihr bekannten Worte tief zerrissen , denn sie hatte dieses Lied oft an der Wiege ihres Kindes gesungen , und so überzeugt wie sie von L*** 's Treue war , sich dennoch selten der Thränen dabei enthalten	können	.	und Bewegung drükten träumende Verwirrung aus .Sara 's armes Gemüth war durch die ihr bekannten Worte tief zerrissen , denn sie hatte dieses Lied oft an der Wiege ihres Kindes gesungen , und so überzeugt wie sie von L*** 's Treue war , sich dennoch selten der Thränen dabei enthalten können .Den übrigen Inhalt des Blattes muß ich	1324	44	64147-Huber__Therese.tsv
VMINF	VMFIN		VMINF	können		In den fünfzehn bis sechzehn Jahren , seitdem sie gemacht worden war , hatte mein Onkel Toby ein gänzlich unthätiges Leben geführt und nur selten war er weiter , als bis zum Rasenplatze gegangen ; deshalb war die blau und goldene so erschrecklich eng geworden , daß der Korporal ihn nur mit der größten Anstrengung hineinbringen konnte ; das Herunterziehen der Aermel half nichts : aber sie war auf dem Rücken , den Seitennähten u. s.w. , wie es unter König Wilhelm Mode war , mit Tressen besetzt , und diese schimmerten so hell in der Morgensonne und gaben einen so metallischen , so mannhaften Schein , daß , wenn mein Onkel Toby im Waffenschmuck anzugreifen dachte , nichts seiner Einbildungskraft so gut hätte zu Hülfe kommen	können	.	Sie , dies selbst zu thun .In den fünfzehn bis sechzehn Jahren , seitdem sie gemacht worden war , hatte mein Onkel Toby ein gänzlich unthätiges Leben geführt und nur selten war er weiter , als bis zum Rasenplatze gegangen ; deshalb war die blau und goldene so erschrecklich eng geworden , daß der Korporal ihn nur mit der größten Anstrengung hineinbringen konnte ; das Herunterziehen der Aermel half nichts : aber sie war auf dem Rücken , den Seitennähten u. s.w. , wie es unter König Wilhelm Mode war , mit Tressen besetzt , und diese schimmerten so hell in der Morgensonne und gaben einen so metallischen , so mannhaften Schein , daß , wenn mein Onkel Toby im Waffenschmuck anzugreifen dachte , nichts seiner Einbildungskraft so gut hätte zu Hülfe kommen können .Legen Sie das Buch bei Seite ,	3259	127	99260-Sterne__Laurence.tsv
VMINF	VMINF		VMINF	können		Ich sah mich überall nach Teilnehmern um ; ich hätte gern meinen Apparat , meine Bemerkungen , meine Vermutungen , meine Überzeugungen einem andern übergeben , wenn ich nur irgend hätte hoffen	können	, sie fruchtbar zu sehen .	und Figuren betrachtet und erklärt werden .Ich sah mich überall nach Teilnehmern um ; ich hätte gern meinen Apparat , meine Bemerkungen , meine Vermutungen , meine Überzeugungen einem andern übergeben , wenn ich nur irgend hätte hoffen können , sie fruchtbar zu sehen .Er dankt ihm für seine Bemühung ,	4726	32	32618-Goethe__Johann_Wolfgang.tsv
VMINF	VMFIN		VMINF	können		Während der ersten Stunden hatte Briant ziemlich schnell weiter schreiten und die Hälfte seines Weges zurücklegen	können	.	von den besuchten Seewegen liegen mußte .Während der ersten Stunden hatte Briant ziemlich schnell weiter schreiten und die Hälfte seines Weges zurücklegen können .– Wahl am 10. Juni .	7207	16	107519-Verne__Jules.tsv
VMINF	VMINF		VMINF	können		Es steht schon sehr schlimm um ein Fahrzeug wenn es auf die Seite gelegt dem Steuer nicht mehr gehorcht und Gefahr läuft , sich , ohne daß die Masten gekappt werden , nicht wieder aufrichten zu	können	.	das nur an keiner Stelle möglich .Es steht schon sehr schlimm um ein Fahrzeug wenn es auf die Seite gelegt dem Steuer nicht mehr gehorcht und Gefahr läuft , sich , ohne daß die Masten gekappt werden , nicht wieder aufrichten zu können .Ja , mich martern Gewissensbisse , Dich	1604	36	107535-Verne__Jules.tsv
VMINF	VMINF		VMINF	können		Der Leser erinnert sich wohl , daß John Bruce , der Bote des Mr. Harvey , als sich James Burbank bei dessen Eintreffen im Castle-House nach jenem Umstande erkundigte , nicht hatte behaupten	können	, daß Texar sich an der Spitze jener Uebelthäter befunden habe .	– Nein .Der Leser erinnert sich wohl , daß John Bruce , der Bote des Mr. Harvey , als sich James Burbank bei dessen Eintreffen im Castle-House nach jenem Umstande erkundigte , nicht hatte behaupten können , daß Texar sich an der Spitze jener Uebelthäter befunden habe .Der Tag brach an , ohne daß	1796	33	107518-Verne__Jules.tsv
VMINF	VMINF		VMINF	können		Dem Küster hätte der größte Irrenarzt von Europa ein schriftliches Zeugnis einhändigen	können	, daß der Schulmeister bei Sinnen sei , es würde ihm doch nicht wohl geworden sein in der Nähe dieses Menschen , der mit so gefährlichen Werkzeugen , wie Schüsseln , Tellern , Messern , unbewacht um ihn her hantierte .	Verlegenheit , der andere aus Furcht .Dem Küster hätte der größte Irrenarzt von Europa ein schriftliches Zeugnis einhändigen können , daß der Schulmeister bei Sinnen sei , es würde ihm doch nicht wohl geworden sein in der Nähe dieses Menschen , der mit so gefährlichen Werkzeugen , wie Schüsseln , Tellern , Messern , unbewacht um ihn her hantierte .Verlasset euch nicht **** auf die Kinder	10627	12	64595-Immermann__Karl.tsv
VMINF	VMINF		VMINF	können		Ich erfuhr jetzt , wie viel mir noch fehlte , um das Gebot » segnet eure Feinde « erfüllen zu	können	.	meine letzte Vergangenheit hätte lehren sollen .Ich erfuhr jetzt , wie viel mir noch fehlte , um das Gebot » segnet eure Feinde « erfüllen zu können .« Lady Maria , die meine scharfe	2913	20	64149-Huber__Therese.tsv
VMINF	VMINF		VMINF	können		Werde ich auch so deutlich von meinem Zustande , dessen Veranlassung und Begleitungen reden	können	, daß mich Jedermann versteht ?	Sie wissen auch selbst die Ursachen .Werde ich auch so deutlich von meinem Zustande , dessen Veranlassung und Begleitungen reden können , daß mich Jedermann versteht ?Aber ich habe hierbei stets gezögert ,	214	14	83116-Nebel__Ernst_Ludwig_Wilhelm.tsv
VMINF	VMINF		VMINF	können		Man hätte sie ohne Formen nennen	können	, wären edle Menschen nicht eigentlich überall die Gesetzgeber der wahren Form , und , was in der Welt tausendfältigem , launenhaftem Wechsel unterworfen ist , nur bei denen unverkümmert wieder anzutreffen , welche die Ursache dazu in einer bewahrten menschlichen Würde finden .	Lebhaftigkeit der Huldigung ihm entgegen eilte .Man hätte sie ohne Formen nennen können , wären edle Menschen nicht eigentlich überall die Gesetzgeber der wahren Form , und , was in der Welt tausendfältigem , launenhaftem Wechsel unterworfen ist , nur bei denen unverkümmert wieder anzutreffen , welche die Ursache dazu in einer bewahrten menschlichen Würde finden .Es hatte daher den doppelten Vorzug einer	1272	6	83757-Paalzow__Henriette_von.tsv
VMINF	VMINF		VMINF	können		Ein Menschenkind schien gar nicht im Stande zu sein , ihn ohne Anwendung mechanischer Hilfsmittel bewegen zu	können	.	über den Rand des Plateau's verschwunden .Ein Menschenkind schien gar nicht im Stande zu sein , ihn ohne Anwendung mechanischer Hilfsmittel bewegen zu können .» Ich glaube , Sie haben mich	7503	17	79302-May__Karl.tsv
VMINF	VMINF		VMINF	können		» So würde die Schuld auf Ihre bezaubernden Reize fallen ; allein , Sie werden auch mächtig genug sein , um wieder Kraft zu neuem Vergnügen einflößen zu	können	.	vor Freude in ihrer schönen Hand .» So würde die Schuld auf Ihre bezaubernden Reize fallen ; allein , Sie werden auch mächtig genug sein , um wieder Kraft zu neuem Vergnügen einflößen zu können .Mit Lebhaftigkeit drückte sie mich an ihren	2711	28	96459-Schilling__Friedrich_Gustav.tsv
VMINF	VMINF		VMINF	müssen		Daß die Kapitalanlage nicht gut war , hatte er ja wohl wissen	müssen	; und so muß er wohl einen besonderen Grund gehabt haben , den er für sich behielt .	und den Leuten ein Schauspiel geben ?Daß die Kapitalanlage nicht gut war , hatte er ja wohl wissen müssen ; und so muß er wohl einen besonderen Grund gehabt haben , den er für sich behielt .Das beruhigt ihn ja nun ; er	44	12	25346-Ernst__Paul.tsv
VMINF	VMFIN		VMINF	müssen		Sie werden ihm Ruhe gönnen	müssen	und bald absteigen .	und das Mädchen zu schleppen hat .Sie werden ihm Ruhe gönnen müssen und bald absteigen .Im Dunkel des Forstes läßt sich das	4188	5	79314-May__Karl.tsv
VMINF	VMINF		VMINF	müssen		Wer Frau Rehorst hätte sehen können , als sie aus Einharts Atelier und dann aus dem Hause auf die Straße trat , hätte am Gange und an der Haltung allein erkennen	müssen	, daß sie dieses Lied zum ersten Male im Ohre hatte .	außerdem eine alte Schicksalsmelodie daneben geklungen .Wer Frau Rehorst hätte sehen können , als sie aus Einharts Atelier und dann aus dem Hause auf die Straße trat , hätte am Gange und an der Haltung allein erkennen müssen , daß sie dieses Lied zum ersten Male im Ohre hatte .Auch , daß diese Uhr sauber mit	3897	31	58342-Hauptmann__Carl.tsv
VMINF	VMINF		VMINF	müssen		Die erhabnen Opfer , die den geliebten Boden mit ihrem Blut tränkten , seine Fülle und Glanz hinopferten , bloß um den geweihten nackten Boden , bloß aus brünstiger Begierde , seine Luft zu trinken : die lehren jetzt dem Volk auch diesem Boden sich entreißen , um nicht gezwungen wider ihn sündigen zu	müssen	.	und hell lodert sie wieder empor .Die erhabnen Opfer , die den geliebten Boden mit ihrem Blut tränkten , seine Fülle und Glanz hinopferten , bloß um den geweihten nackten Boden , bloß aus brünstiger Begierde , seine Luft zu trinken : die lehren jetzt dem Volk auch diesem Boden sich entreißen , um nicht gezwungen wider ihn sündigen zu müssen .symbolischer Größe wie Alpenhöhen den umringenden Talen	1891	54	4090-Arnim__Bettina_von.tsv
VMINF	VMFIN		VMINF	müssen		Wir schießen niemals im Spiele , sondern stets nur dann , wenn der Ernst uns dazu zwingt , wenn wir uns verteidigen	müssen	.	sondern er freute sich sogar darüber .Wir schießen niemals im Spiele , sondern stets nur dann , wenn der Ernst uns dazu zwingt , wenn wir uns verteidigen müssen .Ich hatte das Gefühl , daß ich	2774	22	79322-May__Karl.tsv
VMINF	VMINF		VMINF	wollen		Weit entfernt , sie aus meinem Gedächtnisse auslöschen zu	wollen	, finde ich vielmehr ein wehmüthiges Vergnügen darin , sie mir beständig zu vergegenwärtigen , und meinen Schmerz zu nähren .	sein Neffe den Tod gefunden habe .Weit entfernt , sie aus meinem Gedächtnisse auslöschen zu wollen , finde ich vielmehr ein wehmüthiges Vergnügen darin , sie mir beständig zu vergegenwärtigen , und meinen Schmerz zu nähren .Für Don Franzisco de Mendoza war es	1361	9	73145-Lesage__Alain_Ren_.tsv
