DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
VVFIN	VVFIN		NE	bedienen		Wenn alle Künstler , welche εποιησε gebraucht , unter die späten gehören : so gehören darum nicht alle , die sich des εποιει	bedienet	, unter die ältern .	Winckelmann selbst mag hierüber Richter sein !Wenn alle Künstler , welche εποιησε gebraucht , unter die späten gehören : so gehören darum nicht alle , die sich des εποιει bedienet , unter die ältern .Sehr wohl ; Longins Worte , aber	419	23	73654-Lessing__Gotthold_Ephraim.tsv
VVFIN	VVFIN		VVFIN	beginnen		Mit wirbelnden Sinnen und unter tobenden Herzschlägen	begann	sie dieses Entsetzliche zu verstehen : Die Feinde hatten sie gefangen , hatten ihr das blutige Eisen aus der Faust gewunden und hatten sie zu ewiger Strafe verdammt ; und nun lag sie in diesem finsteren Kerker , zu gerechter Buße für die unmenschliche Tat , die sie begangen hatte im Grausen der Schlacht .	und klammerte sieh an das Geländer .Mit wirbelnden Sinnen und unter tobenden Herzschlägen begann sie dieses Entsetzliche zu verstehen : Die Feinde hatten sie gefangen , hatten ihr das blutige Eisen aus der Faust gewunden und hatten sie zu ewiger Strafe verdammt ; und nun lag sie in diesem finsteren Kerker , zu gerechter Buße für die unmenschliche Tat , die sie begangen hatte im Grausen der Schlacht .Ein Wörtl !	8472	7	27055-Ganghofer__Ludwig.tsv
VVFIN	VVFIN		VVFIN	begleiten		Sie nahm es und wie silberner Glockenton tönte mir ihr : » Grazie , Signore « , das ein süßes Lächeln	begleitete	.	auf den Knieen als nötig war .Sie nahm es und wie silberner Glockenton tönte mir ihr : » Grazie , Signore « , das ein süßes Lächeln begleitete .› Steigt hinauf , ‹ flüsterte meine	225	21	79878-Meysenbug__Malwida_Freiin_von.tsv
VVFIN	VVFIN		VVFIN	denken		Ich habe schon im vergangenen Jahre in Neapel ( 1821 ) die Beobachtung gemacht , daß ausgezeichnete Musik – auch ein gutes Ballett , ich	denke	an » Othello « und » Die Vestalin « , Balletts von Viganò , – mich an das denken macht , was tagsüber schon der Gegenstand meiner Träumereien war , und daß ich dabei meine besten Einfälle habe .	, in eine köstliche Frucht verwandelt .Ich habe schon im vergangenen Jahre in Neapel ( 1821 ) die Beobachtung gemacht , daß ausgezeichnete Musik – auch ein gutes Ballett , ich denke an » Othello « und » Die Vestalin « , Balletts von Viganò , – mich an das denken macht , was tagsüber schon der Gegenstand meiner Träumereien war , und daß ich dabei meine besten Einfälle habe .Ist unsre Geliebte unsre vertrauteste Freundin geworden	2182	25	99251-Stendhal.tsv
VVFIN	VVFIN		VVFIN	entspringen		Es ist zu untersuchen , aus welcher Quelle das eine und das andere	entsprang	.	fiel , und Deutschland wurde frei .Es ist zu untersuchen , aus welcher Quelle das eine und das andere entsprang .Es geschah dieses ohne Widersetzlichkeit , ja	31	13	6284-B_rne__Ludwig.tsv
VVFIN	VVFIN		VVFIN	gehören		Wenn alle Künstler , welche εποιησε gebraucht , unter die späten	gehören	: so gehören darum nicht alle , die sich des εποιει bedienet , unter die ältern .	Winckelmann selbst mag hierüber Richter sein !Wenn alle Künstler , welche εποιησε gebraucht , unter die späten gehören : so gehören darum nicht alle , die sich des εποιει bedienet , unter die ältern .Sehr wohl ; Longins Worte , aber	419	11	73654-Lessing__Gotthold_Ephraim.tsv
VVFIN	VVFIN		VVFIN	gehören		Wenn alle Künstler , welche εποιησε gebraucht , unter die späten gehören : so	gehören	darum nicht alle , die sich des εποιει bedienet , unter die ältern .	Winckelmann selbst mag hierüber Richter sein !Wenn alle Künstler , welche εποιησε gebraucht , unter die späten gehören : so gehören darum nicht alle , die sich des εποιει bedienet , unter die ältern .Sehr wohl ; Longins Worte , aber	419	14	73654-Lessing__Gotthold_Ephraim.tsv
VVFIN	VVFIN		VVFIN	hausen		Im Anfang des vierzehnten Jahrhunderts nach Christi des Herrn Menschwerdung ,	hauste	auf dem Schlößchen in Trochtelfingen , da wo man gen Bopfingen geht , Herr Gerung von Emmershofen , ein stattlicher Ritter , edel von Geschlecht wie von Gesinnung .	gar sehr ähnliche Knäblein geboren hatte .Im Anfang des vierzehnten Jahrhunderts nach Christi des Herrn Menschwerdung , hauste auf dem Schlößchen in Trochtelfingen , da wo man gen Bopfingen geht , Herr Gerung von Emmershofen , ein stattlicher Ritter , edel von Geschlecht wie von Gesinnung .Emsig und verständig stand Frau Wiltrude ihrem	50	11	94482-Sch_ppner__Alexander.tsv
VVFIN	VVFIN		VVFIN	heißen		Dies	heißt	, vielmehr hieße , rassenhygienisch in die Sexualkrise entwirrend eingreifen , den Menschen ihr natürliches Anrecht an ein vollerfülltes biologisches Schicksal und damit jenes natürliche Glücksgefühl wiedergeben , dessen Mangel selbst die stolzesten Naturen in ihrer Elastizität zerbricht , sie zu verkümmernden , entartenden Sonderlingen macht / es hieße der schamlosen Verkehrung des Werbekampfes mit ihren verhängnisvollen Folgen auf die Früchte dieses Kampfes Einhalt tun und normale Früchte des Rasseprozesses / befreit von einer verfälschten Auslese / erzielen .	, die die Rasse nicht schädigt .Dies heißt , vielmehr hieße , rassenhygienisch in die Sexualkrise entwirrend eingreifen , den Menschen ihr natürliches Anrecht an ein vollerfülltes biologisches Schicksal und damit jenes natürliche Glücksgefühl wiedergeben , dessen Mangel selbst die stolzesten Naturen in ihrer Elastizität zerbricht , sie zu verkümmernden , entartenden Sonderlingen macht / es hieße der schamlosen Verkehrung des Werbekampfes mit ihren verhängnisvollen Folgen auf die Früchte dieses Kampfes Einhalt tun und normale Früchte des Rasseprozesses / befreit von einer verfälschten Auslese / erzielen .Diese Möglichkeit ist nur zu erzielen :	3220	1	79544-Meisel_Hess__Grete.tsv
VVFIN	VVFIN		VVFIN	heißen		Dies heißt , vielmehr	hieße	, rassenhygienisch in die Sexualkrise entwirrend eingreifen , den Menschen ihr natürliches Anrecht an ein vollerfülltes biologisches Schicksal und damit jenes natürliche Glücksgefühl wiedergeben , dessen Mangel selbst die stolzesten Naturen in ihrer Elastizität zerbricht , sie zu verkümmernden , entartenden Sonderlingen macht / es hieße der schamlosen Verkehrung des Werbekampfes mit ihren verhängnisvollen Folgen auf die Früchte dieses Kampfes Einhalt tun und normale Früchte des Rasseprozesses / befreit von einer verfälschten Auslese / erzielen .	, die die Rasse nicht schädigt .Dies heißt , vielmehr hieße , rassenhygienisch in die Sexualkrise entwirrend eingreifen , den Menschen ihr natürliches Anrecht an ein vollerfülltes biologisches Schicksal und damit jenes natürliche Glücksgefühl wiedergeben , dessen Mangel selbst die stolzesten Naturen in ihrer Elastizität zerbricht , sie zu verkümmernden , entartenden Sonderlingen macht / es hieße der schamlosen Verkehrung des Werbekampfes mit ihren verhängnisvollen Folgen auf die Früchte dieses Kampfes Einhalt tun und normale Früchte des Rasseprozesses / befreit von einer verfälschten Auslese / erzielen .Diese Möglichkeit ist nur zu erzielen :	3220	4	79544-Meisel_Hess__Grete.tsv
