DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
VVIMP	VVFIN		VVFIN	bemerken		Erstlich	bemerk	ich nur , wenn die Seifenblase einer doppelten Erlösung gewärtig sein kann in ihrem einfachen kurzen Dasein , so wollen wir nicht verzweifeln , daß auch der gebundene Sinn im Menschen eine innere Erlösung fände und – vielleicht – eine doppelte Entschädigung !	– Ich frage ?Erstlich bemerk ich nur , wenn die Seifenblase einer doppelten Erlösung gewärtig sein kann in ihrem einfachen kurzen Dasein , so wollen wir nicht verzweifeln , daß auch der gebundene Sinn im Menschen eine innere Erlösung fände und – vielleicht – eine doppelte Entschädigung !– Da wären also die ganzen Denkfähigkeiten	5646	1	4089-Arnim__Bettina_von.tsv
VVIMP	VVFIN		VVFIN	fordern		« » Bist du unzufrieden , weil ich andere mehr ehre als dich , so	fordere	, Gundomar .	in Thorn ein jämmerliches Ende finden .« » Bist du unzufrieden , weil ich andere mehr ehre als dich , so fordere , Gundomar .» Aber darf ich dir einen Rat	11905	15	27046-Freytag__Gustav.tsv
VVIMP	NN		VVIMP	geben			Gebt	ihr mir euer Wort , daß es genau so sein soll , als ob ich euch nichts gesagt habe ?	sagen habe , ist ungeheuer wichtig .Gebt ihr mir euer Wort , daß es genau so sein soll , als ob ich euch nichts gesagt habe ?Das war ein sicheres Zeichen , daß	799	0	79325-May__Karl.tsv
VVIMP	VVFIN		NN	geben		« »	Gieb	sie mir , Herr !	Aber du hattest sie requiriert .« » Gieb sie mir , Herr !Freilich sind sie sehr gut behandelt worden	7670	2	79308-May__Karl.tsv
VVIMP	ADV		VVIMP	geben		‹ Stell dich vor der Tür der Roten auf und	gib	acht , was auf dem Blumenmarkt vorgeht , damit Prélard keinen Verdacht schöpft .	der nach Frau von Saint-Estève fragt .‹ Stell dich vor der Tür der Roten auf und gib acht , was auf dem Blumenmarkt vorgeht , damit Prélard keinen Verdacht schöpft .– Ich habe Eile versprochen , und	5557	10	6204-Balzac__Honor__de.tsv
VVIMP	VVFIN		VVFIN	geben		» Emmy , « sagte Elmerice – » ich will Deine Erbin sein ; aber	gieb	mir uneingeschränkte Vollmacht , mit meinem Erbe nach meiner Einsicht verfahren zu dürfen – und sollte es auch zu Ellens Gunsten sein .	Fennimor Lester , verehelichten Gräfin Crecy-Chabanne .» Emmy , « sagte Elmerice – » ich will Deine Erbin sein ; aber gieb mir uneingeschränkte Vollmacht , mit meinem Erbe nach meiner Einsicht verfahren zu dürfen – und sollte es auch zu Ellens Gunsten sein .Als Reginald in den Wagen stieg ,	4812	15	83757-Paalzow__Henriette_von.tsv
VVIMP	FM		ADJA	grüßen		Ich zeigte dir die Kräfte der Kräuter , lehrte dich allerlei brauen und du brachtest mir aus dem Schmuckkästchen zwei Kristalle – « »	Grüß	Gott !	« » Hernach ?Ich zeigte dir die Kräfte der Kräuter , lehrte dich allerlei brauen und du brachtest mir aus dem Schmuckkästchen zwei Kristalle – « » Grüß Gott !» Schlug sie die Augen nieder ?	912	24	79817-Meyer__Conrad_Ferdinand.tsv
VVIMP	NE		NN	halten		« »	Halt	, schieß nicht !	Wo befand er sich ?« » Halt , schieß nicht !» Was war mit ihm geschehen ?	2730	2	79316-May__Karl.tsv
VVIMP	NN		VVIMP	halten		...	Halt	!	Die Schönsten voraus !... Halt !.. .	51	1	6289-B_rne__Ludwig.tsv
VVIMP	PROAV		VVFIN	horchen		Da drin liegt eine Todte und	horch	!	hat mir die schwarze Marann' erzählt .Da drin liegt eine Todte und horch !Der König hat ihr Recht gegeben und	2791	6	5230-Auerbach__Berthold.tsv
