DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
VVPP	VVPP		VVPP	abstehen		Es waren aber sechs Dutzet altfränkische silberne Tischbecher , ein groß gulden Pokal , etliche Duplet , vier silberne und ein guldenes Salzfaß , eine altfränkische guldne Kette , unterschiedliche Diamanten , Rubinen , Saphiren und Schmaragden , beides in Ringen und andern Kleinodien gefasset ; item ein ganz Lädlein voll großer Perlen , aber alle verdorben oder	abgestanden	, und dann in einem versporten ledernen Sack achtzig von den ältisten Joachimstalern aus feinem Silber , sodann 893 Goldstücke mit dem französischen Wappen und einem Adler , welche Münze niemand kennen wollte , weil man , wie sie sagten , die Schrift nicht lesen konnte .	erst durch den Schuß geöffnet hatte .Es waren aber sechs Dutzet altfränkische silberne Tischbecher , ein groß gulden Pokal , etliche Duplet , vier silberne und ein guldenes Salzfaß , eine altfränkische guldne Kette , unterschiedliche Diamanten , Rubinen , Saphiren und Schmaragden , beides in Ringen und andern Kleinodien gefasset ; item ein ganz Lädlein voll großer Perlen , aber alle verdorben oder abgestanden , und dann in einem versporten ledernen Sack achtzig von den ältisten Joachimstalern aus feinem Silber , sodann 893 Goldstücke mit dem französischen Wappen und einem Adler , welche Münze niemand kennen wollte , weil man , wie sie sagten , die Schrift nicht lesen konnte .Als der Schuß geschehen , wieherte mein	4148	58	50637-Grimmelshausen__Hans_Jakob_Christoffel_von.tsv
VVPP	VVPP		VVPP	anrufen		Wo die Fichten sich beugten wie Rohr , was sollte man da nicht kreideweiße Gesichter sehen und von den blassen Lippen Stoßgebete murmeln und die Heiligen	angerufen	hören .	, wie ein Schneetreiben flog es .Wo die Fichten sich beugten wie Rohr , was sollte man da nicht kreideweiße Gesichter sehen und von den blassen Lippen Stoßgebete murmeln und die Heiligen angerufen hören .Die eine Wand des letzten Zeltes war	3103	26	965-Alexis__Willibald.tsv
VVPP	ADJD		ADJD	bejahen		« Als sie darauf	bejahend	nickte , fragte er höflich : » Sind Sie schon lange in Jalta ?	besucht , « dachte er sich .« Als sie darauf bejahend nickte , fragte er höflich : » Sind Sie schon lange in Jalta ?Man wußte nicht , wohin man sich	101	4	17686-_echov__Anton_Pavlovi_.tsv
VVPP	VVPP		VVPP	bleiben		Allda ist Cyrus so lange	geblieben	/ biß er erwachsen .	/ wo er diesen Knaben bekommen ?Allda ist Cyrus so lange geblieben / biß er erwachsen .Da findet sich einer von den Knaben	4663	5	72312-Lauremberg__Peter.tsv
VVPP	VVPP		VVPP	erfüllen		Lange , nachdem sie Frau geworden , hatte sie nicht verstanden , woher ihr gegen den Mann , den sie frei gewählt hatte , wie er sie , oftmals dieses grollende Gefühl kam , dieser sprungbereite Haß , der sich in tausend kleinen Szenen entlud , – da es zur großen Aussprache zwischen ihnen niemals kam , – der hundert eingebildete und konstruierte Vorwände heftiger Entladungen er fand , – bis der wahre Grund ihrer geheimen Feindschaft , ihrem bohrenden Spähen , ihrer wachgehetzten Weibheit klargeworden war : die Versprechungen ihres Körpers schienen für diesen Mann	erfüllt	.	, welche Juden untereinander oft abstößt .Lange , nachdem sie Frau geworden , hatte sie nicht verstanden , woher ihr gegen den Mann , den sie frei gewählt hatte , wie er sie , oftmals dieses grollende Gefühl kam , dieser sprungbereite Haß , der sich in tausend kleinen Szenen entlud , – da es zur großen Aussprache zwischen ihnen niemals kam , – der hundert eingebildete und konstruierte Vorwände heftiger Entladungen er fand , – bis der wahre Grund ihrer geheimen Feindschaft , ihrem bohrenden Spähen , ihrer wachgehetzten Weibheit klargeworden war : die Versprechungen ihres Körpers schienen für diesen Mann erfüllt .Und Frau Edda fuhr dahin , Einkäufe	5360	96	79543-Meisel_Hess__Grete.tsv
VVPP	VVPP		VVPP	ergießen		Nie mochte sie ihre Schmerzen in den Busen eines andern	ergossen	haben ; alles barg sie tief in sich .	Ich sah sie auch niemals lächeln .Nie mochte sie ihre Schmerzen in den Busen eines andern ergossen haben ; alles barg sie tief in sich .Wir sind alte Freunde und müssen gegenseitig	969	10	106903-Turgenev__Ivan_Sergeevi_.tsv
VVPP	VVPP		VVPP	erreichen		D' amis sûrs et fidèles ; Homburg indessen sollte noch	erreicht	werden , und um zehn Uhr abends rückten wir in seine Straßen ein .	trübseligen Anblick dem Auge zu entziehen .D' amis sûrs et fidèles ; Homburg indessen sollte noch erreicht werden , und um zehn Uhr abends rückten wir in seine Straßen ein .Auch Dorf Glindow hat von diesem allem	8533	10	26867-Fontane__Theodor.tsv
VVPP	VVPP		VVPP	erschüttern		Die letzten funfzig Jahre , die alles umgeworfen oder	erschüttert	, haben nur eins nicht erschüttert – Lafayettes Tugend .	, das kann er nicht fassen .Die letzten funfzig Jahre , die alles umgeworfen oder erschüttert , haben nur eins nicht erschüttert – Lafayettes Tugend .Ein ehrlicher Mann !	1498	9	6286-B_rne__Ludwig.tsv
VVPP	ADJD		VVPP	erschüttern		Die letzten funfzig Jahre , die alles umgeworfen oder erschüttert , haben nur eins nicht	erschüttert	– Lafayettes Tugend .	, das kann er nicht fassen .Die letzten funfzig Jahre , die alles umgeworfen oder erschüttert , haben nur eins nicht erschüttert – Lafayettes Tugend .Ein ehrlicher Mann !	1498	15	6286-B_rne__Ludwig.tsv
VVPP	VVINF		VVPP	erstehen		Infolge der allgemeinen Wohlhabenheit sind seit Napoleons Sturze fast alle Häuserfassaden von Verrières neu	erstanden	.	denn ländlichen Einwohnerschaft ein behagliches Dasein .Infolge der allgemeinen Wohlhabenheit sind seit Napoleons Sturze fast alle Häuserfassaden von Verrières neu erstanden .Sein Wasser treibt eine Menge Sägemühlen .	9064	14	99250-Stendhal.tsv
