DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
XY	XY		XY	=		« 151 Herr des Schwertes	=	Fechtlehrer , Fechtmeister .	« » Drauf !« 151 Herr des Schwertes = Fechtlehrer , Fechtmeister .Wie aber hast du es ermöglicht ,	3707	5	79309-May__Karl.tsv
XY	APPR		APPRART	a.		II. I. 52.	a.	seq. Ahinnius Gallus Heucheley ist dem Tiberius verhast .	II. IV. 633. a.b .II. I. 52. a. seq. Ahinnius Gallus Heucheley ist dem Tiberius verhast .II. II. 378. a. Glücke macht die	25311	3	78039-Lohenstein__Daniel_Casper_von.tsv
XY	NE		NE	amer.			Amer.	p. 269 .	Oldmix .Amer. p. 269 .Die Leute haben sich Profits halber hier	886	0	3455-Anonym.tsv
XY	NE		NE	ardeatina		Nachdem sie mit Mühe die Via Latina , Numicia ,	Ardeatina	, Lavinia , Ostiensis durchritten hatten , an Villen , Gärten , Begräbnisplätzen und Tempeln vorbei , erreichte Vinicius endlich einen kleinen Ort , Vicus Alexandri genannt , wo er den Tiber überschritt .	Betten , Wagen und tragbaren Gegenständen .Nachdem sie mit Mühe die Via Latina , Numicia , Ardeatina , Lavinia , Ostiensis durchritten hatten , an Villen , Gärten , Begräbnisplätzen und Tempeln vorbei , erreichte Vinicius endlich einen kleinen Ort , Vicus Alexandri genannt , wo er den Tiber überschritt .Es war augenscheinlich , daß diese Drohungen	6591	10	98460-Sienkiewicz__Henryk.tsv
XY	NE		NE	bojorich		Corolam und	Bojorich	aber stürmten gar das Römische Läger an dem Flusse Ausser ; dessen schnelle Ergiessung alleine die Eroberung verhinderte .	geriethen in eusserste Noth und Gefahr .Corolam und Bojorich aber stürmten gar das Römische Läger an dem Flusse Ausser ; dessen schnelle Ergiessung alleine die Eroberung verhinderte .Folgendes Früh-Jahr zohen die Bürgemeister Lucius Qvintius	53052	2	78039-Lohenstein__Daniel_Casper_von.tsv
XY	NE		NE	corolam			Corolam	und Bojorich aber stürmten gar das Römische Läger an dem Flusse Ausser ; dessen schnelle Ergiessung alleine die Eroberung verhinderte .	geriethen in eusserste Noth und Gefahr .Corolam und Bojorich aber stürmten gar das Römische Läger an dem Flusse Ausser ; dessen schnelle Ergiessung alleine die Eroberung verhinderte .Folgendes Früh-Jahr zohen die Bürgemeister Lucius Qvintius	53052	0	78039-Lohenstein__Daniel_Casper_von.tsv
XY	NN		NE	corsoventiportoondescogli			CORSOVENTIPORTOONDESCOGLI	31. §. Das Befragen ( COMMUNICATIO ) wird zum XXVI. an die Zuhörer oder gar an sonst wen gerichtet , und ist also jederzeit mit der Anrede verknüpfet : allein es zieht sie auch allezeit zu Rathe , und giebt es ihnen selbst zu erwegen , ob sich die Sache nicht so oder so verhalte , als man gesagt hat , oder es gern haben will. Z.E. Besser läßt den Seladon die Chloris dergestalt anreden und sie um ihre eigene Meynung befragen : Der Lenz kömmt gegangen , und umarmet die Welt , die erwachte Rose thut ihr Auge zu , und die Cypressen taumeln ihm , wenn es Abend wird .	nicht alle Sylben gleichviel Zeit brauchten .CORSOVENTIPORTOONDESCOGLI 31. §. Das Befragen ( COMMUNICATIO ) wird zum XXVI. an die Zuhörer oder gar an sonst wen gerichtet , und ist also jederzeit mit der Anrede verknüpfet : allein es zieht sie auch allezeit zu Rathe , und giebt es ihnen selbst zu erwegen , ob sich die Sache nicht so oder so verhalte , als man gesagt hat , oder es gern haben will. Z.E. Besser läßt den Seladon die Chloris dergestalt anreden und sie um ihre eigene Meynung befragen : Der Lenz kömmt gegangen , und umarmet die Welt , die erwachte Rose thut ihr Auge zu , und die Cypressen taumeln ihm , wenn es Abend wird .2 Doch weil wir unter unsern Deutschen	5071	0	48521-Gottsched__Johann_Christoph.tsv
XY	PDS		XY	dr		warom mag	dr	Kandidat sie gar net ?	solle , « entschied Uli kühl .warom mag dr Kandidat sie gar net ?Roten Kopfes stammelte Enzio : » Dees	1674	2	110544-Wille__Bruno.tsv
XY	VVFIN		NE	ehe		Das aber můs zůvor und	ehe	beschehen , das er ein zeitlang auch andre fremde land und ort erkundigen můs , damit er wiss , wie man sich mit kind und gesind halten sol .	weiter an mit ir zů reden .Das aber můs zůvor und ehe beschehen , das er ein zeitlang auch andre fremde land und ort erkundigen můs , damit er wiss , wie man sich mit kind und gesind halten sol .Dahin uns auch nach disem armen zergencklichen	377	5	110199-Wickram__Georg.tsv
XY	VVFIN		ADJA	lf		Zw \	lf	jungfrauen / die sie die Opfer Nymfen nennen / wonen daselbst / und sind an wůrde die dritten nach der heiligen Oberpriesterinn .	monden auf einen derselben geopfert wird .Zw \ lf jungfrauen / die sie die Opfer Nymfen nennen / wonen daselbst / und sind an wůrde die dritten nach der heiligen Oberpriesterinn .Das dritte gebåude gegen abend / ist	26587	2	3459-Anton_Ulrich_Herzog_von_Braunschweig.tsv
