DTA-Tag	TT-Tag	MM-TAg	Perceptron-Tag	Lemma	newtag	Prefix	Wort	Suffix	Sentence_neighborhood	sentence_index	index	filename
VMPP	VVPP		VVPP	müssen		Darauf hat es im Walde geraschelt und gerauscht , und sind alle Schlangen gekrochen gekommen , und in die Kreise , und haben drin getanzt , und da ist die große und schwere Schlange , die so lang an der Frauenbrust gehangen , auch von ihr abgefallen und hat in den Kreis	gemußt	und hat mittanzen müssen .	ihm nur in den Wald folgen .Darauf hat es im Walde geraschelt und gerauscht , und sind alle Schlangen gekrochen gekommen , und in die Kreise , und haben drin getanzt , und da ist die große und schwere Schlange , die so lang an der Frauenbrust gehangen , auch von ihr abgefallen und hat in den Kreis gemußt und hat mittanzen müssen .Der Schlange gedieh die Menschenmuttermilch wunderbarlich ;	9	52	11225-Bechstein__Ludwig.tsv
VMPP	VVFIN		VMPP	wollen		Gleichwohl versichern uns die geheimen Nachrichten dieser Zeit , daß sein erster Iman , und eine gewisse schwarzaugige Tschirkassierin , die ihm unentbehrlich geworden war , alles was sie	gewollt	aus ihm gemacht hätten .	er durch sich selbst regieren wollte .Gleichwohl versichern uns die geheimen Nachrichten dieser Zeit , daß sein erster Iman , und eine gewisse schwarzaugige Tschirkassierin , die ihm unentbehrlich geworden war , alles was sie gewollt aus ihm gemacht hätten .Kon-Fu-Tsee könnte ihm ein Betrüger , und	1245	29	110269-Wieland__Christoph_Martin.tsv
VMPP	VMPP		VMPP	wollen		Vielleicht sind Sie auch jetzt , da ich Ihnen schreibe , vollkommen ruhig über Hugo ; er ist bei Ihnen , wie er es	gewollt	.	will mir etwas Aehnliches glauben machen .Vielleicht sind Sie auch jetzt , da ich Ihnen schreibe , vollkommen ruhig über Hugo ; er ist bei Ihnen , wie er es gewollt .Wer hätte ahnden sollen , daß gerade	2508	24	26894-Fouqu___Caroline_de_la_Motte.tsv
VMPP	VVPP		VMPP	wollen		Ich brenne vor Ungeduld , meinen Wein , meine Kirschen und meine Melonen wieder zu sehen « , und 1739 noch ( am 16. Juni ) heißt es in einem vom Ruppiner Garten aus datierten Briefe : » Ich werde morgen nach Rheinsberg gehen , um allda nach meiner kleinen Wirtschaft zu sehen ; hier wollen keine Melonen reif werden , so gerne wie ich auch	gewollt	, daß ich meinem gnädigsten Vater die Erstlinge des Jahres hätte schicken können .	nach seiner » geliebten Garnison « .Ich brenne vor Ungeduld , meinen Wein , meine Kirschen und meine Melonen wieder zu sehen « , und 1739 noch ( am 16. Juni ) heißt es in einem vom Ruppiner Garten aus datierten Briefe : » Ich werde morgen nach Rheinsberg gehen , um allda nach meiner kleinen Wirtschaft zu sehen ; hier wollen keine Melonen reif werden , so gerne wie ich auch gewollt , daß ich meinem gnädigsten Vater die Erstlinge des Jahres hätte schicken können .Viele seiner Briefe geben Auskunft darüber ,	15729	66	26867-Fontane__Theodor.tsv
VMPP	VMPP		VMPP	wollen		Daß auch Frau Selle selbst , wenn sie ihn endlich sanft weckte , sich flüchtig ärgern konnte über den schlauen Ausdruck , der durchaus nicht nach Reue aussah , nur mehr nach toller Laune , die unter der einfältigen Armensündergrimasse aufflammen	gewollt	und doch nur heimlich umgegangen war .	ohn' Unterlaß an seinem Jackenzipfel herum .Daß auch Frau Selle selbst , wenn sie ihn endlich sanft weckte , sich flüchtig ärgern konnte über den schlauen Ausdruck , der durchaus nicht nach Reue aussah , nur mehr nach toller Laune , die unter der einfältigen Armensündergrimasse aufflammen gewollt und doch nur heimlich umgegangen war .Einhart stand dann oft ewig wie angewurzelt	5893	41	58342-Hauptmann__Carl.tsv
VMPP	VMPP		VMPP	wollen		rief Buckingham und rieb sich voll Freude die Hände , als ob er nicht grade das Gegentheil	gewollt	, und mit dem tollsten Leichtsinne Ehre und Tugend seiner Nichte an den verdorbensten Mann , den er kannte , gewagt hätte .	, von einigen bewährten Dienern begleitet .rief Buckingham und rieb sich voll Freude die Hände , als ob er nicht grade das Gegentheil gewollt , und mit dem tollsten Leichtsinne Ehre und Tugend seiner Nichte an den verdorbensten Mann , den er kannte , gewagt hätte .– Lord Richmond dagegen eilte in größter	498	17	83756-Paalzow__Henriette_von.tsv
VMPP	VMPP		VMPP	wollen		Ward aufgefunden vom Herzog Boleslao Crispo , als dieser auf der Jagd einen Hirschen verfolgte , der seine Wunde im heilkräftigen Wasser baden	gewollt	.	Gebirge gelegen , seinen Namen hat .Ward aufgefunden vom Herzog Boleslao Crispo , als dieser auf der Jagd einen Hirschen verfolgte , der seine Wunde im heilkräftigen Wasser baden gewollt .Außerdem ist der Aufenthalt zu Warmbrunn meinem	5951	23	110543-Wille__Bruno.tsv
VMPP	VMPP		VMPP	wollen		Er sei zu ihr gekommen , weil er so gern wünschte , Nachricht von ihr zu erhalten ; eigentlich aber habe er nur zum Caesar	gewollt	, und da er diesen nicht sprechen konnte , sei er zu ihr gekommen .	näher gehen , « sagte er .Er sei zu ihr gekommen , weil er so gern wünschte , Nachricht von ihr zu erhalten ; eigentlich aber habe er nur zum Caesar gewollt , und da er diesen nicht sprechen konnte , sei er zu ihr gekommen .Willst du ?	5028	25	98460-Sienkiewicz__Henryk.tsv
VMPP	VMPP		VMPP	wollen		» Seifert , ich habe das nicht	gewollt	– soweit nicht , und das wußten Sie – meine Hand ist rein an dem Morde , wenn er begangen worden ist .	den treuherzigen Ton der Erkundigung lächeln .» Seifert , ich habe das nicht gewollt – soweit nicht , und das wußten Sie – meine Hand ist rein an dem Morde , wenn er begangen worden ist .« fragte Seifert , sich an einem	32	7	89978-Ruppius__Otto.tsv
VMPP	VVPP		VMPP	wollen		Als seine Kinder er verloren hatte und sein irdisch Gut , sprach dennoch er : Von meinem Herren ward es mir gegeben , von meinem Herren ward es mir genommen ; wie es mein Herr	gewollt	hat , so ist 's recht ; gesegnet sei der Name meines Herrn !	unserm zeitlichen Besitz mit Langmuth tragen .Als seine Kinder er verloren hatte und sein irdisch Gut , sprach dennoch er : Von meinem Herren ward es mir gegeben , von meinem Herren ward es mir genommen ; wie es mein Herr gewollt hat , so ist 's recht ; gesegnet sei der Name meines Herrn !Salamo sagt : Wie Motten in der	1101	35	18020-Chaucer__Geoffrey.tsv
